week,game_id,away_team,home_team,sportsbook,provider_event_id,game_row_present,raw_provider_book_present,raw_provider_spread_pair,raw_provider_total_pair,archive_spread_observations,archive_spread_last_seen_file,archive_spread_last_update,archive_total_observations,archive_total_last_seen_file,archive_total_last_update,normalized_spread_pair,normalized_total_pair,current_market_spread_pair,current_market_total_pair,war_room_spread_pair,war_room_total_pair,spread_rejection_reason,total_rejection_reason
0,g5,North Carolina,TCU,DraftKings,2c288580da16e12d35355f2548721be6,True,True,True,True,33,theodds_ncaaf_20260826T163246Z.json,2026-08-26T16:31:48Z,33,theodds_ncaaf_20260826T163246Z.json,2026-08-26T16:31:48Z,False,True,True,True,True,True,NONE,NONE
0,g5,North Carolina,TCU,FanDuel,2c288580da16e12d35355f2548721be6,True,True,True,True,33,theodds_ncaaf_20260826T163246Z.json,2026-08-26T16:31:48Z,33,theodds_ncaaf_20260826T163246Z.json,2026-08-26T16:31:48Z,False,True,True,True,True,True,NONE,NONE
0,g5,North Carolina,TCU,BetMGM,2c288580da16e12d35355f2548721be6,True,False,False,False,30,theodds_ncaaf_20260826T133151Z.json,2026-08-26T13:28:31Z,30,theodds_ncaaf_20260826T133151Z.json,2026-08-26T13:28:31Z,False,False,True,True,False,False,FRESH_CANONICAL_CURRENT_PAIR_NOT_SELECTED,FRESH_CANONICAL_CURRENT_PAIR_NOT_SELECTED
0,g5,North Carolina,TCU,Caesars,2c288580da16e12d35355f2548721be6,True,True,True,True,33,theodds_ncaaf_20260826T163246Z.json,2026-08-26T16:32:34Z,33,theodds_ncaaf_20260826T163246Z.json,2026-08-26T16:32:34Z,False,True,True,True,True,True,NONE,NONE
0,g5,North Carolina,TCU,Pinnacle,2c288580da16e12d35355f2548721be6,True,True,True,True,33,theodds_ncaaf_20260826T163246Z.json,2026-08-26T16:32:18Z,33,theodds_ncaaf_20260826T163246Z.json,2026-08-26T16:32:18Z,False,True,True,True,True,True,NONE,NONE
0,g5,North Carolina,TCU,Novig,2c288580da16e12d35355f2548721be6,True,True,True,True,33,theodds_ncaaf_20260826T163246Z.json,2026-08-26T16:32:08Z,33,theodds_ncaaf_20260826T163246Z.json,2026-08-26T16:32:08Z,False,True,True,True,True,True,NONE,NONE
0,g5,North Carolina,TCU,ProphetX,2c288580da16e12d35355f2548721be6,True,True,True,True,33,theodds_ncaaf_20260826T163246Z.json,2026-08-26T16:32:18Z,32,theodds_ncaaf_20260826T163246Z.json,2026-08-26T16:32:18Z,False,True,True,True,True,True,NONE,NONE
0,g5,North Carolina,TCU,Kalshi,2c288580da16e12d35355f2548721be6,True,False,False,False,0,,,0,,,False,False,False,False,False,False,PROVIDER_SOURCE_DID_NOT_SUPPLY_PAIR,PROVIDER_SOURCE_DID_NOT_SUPPLY_PAIR
0,g7,San Jose State,USC,DraftKings,3313dcc5e91f9a2dda995a5e36e55f52,True,True,True,True,33,theodds_ncaaf_20260826T163246Z.json,2026-08-26T16:31:48Z,33,theodds_ncaaf_20260826T163246Z.json,2026-08-26T16:31:48Z,False,True,True,True,True,True,NONE,NONE
0,g7,San Jose State,USC,FanDuel,3313dcc5e91f9a2dda995a5e36e55f52,True,True,True,True,33,theodds_ncaaf_20260826T163246Z.json,2026-08-26T16:31:48Z,33,theodds_ncaaf_20260826T163246Z.json,2026-08-26T16:31:48Z,False,True,True,True,True,True,NONE,NONE
0,g7,San Jose State,USC,BetMGM,3313dcc5e91f9a2dda995a5e36e55f52,True,True,True,True,33,theodds_ncaaf_20260826T163246Z.json,2026-08-26T16:26:44Z,33,theodds_ncaaf_20260826T163246Z.json,2026-08-26T16:26:44Z,False,True,True,True,True,True,NONE,NONE
0,g7,San Jose State,USC,Caesars,3313dcc5e91f9a2dda995a5e36e55f52,True,True,True,True,33,theodds_ncaaf_20260826T163246Z.json,2026-08-26T16:32:34Z,33,theodds_ncaaf_20260826T163246Z.json,2026-08-26T16:32:34Z,False,True,True,True,True,True,NONE,NONE
0,g7,San Jose State,USC,Pinnacle,3313dcc5e91f9a2dda995a5e36e55f52,True,True,True,True,33,theodds_ncaaf_20260826T163246Z.json,2026-08-26T16:32:18Z,33,theodds_ncaaf_20260826T163246Z.json,2026-08-26T16:32:18Z,False,True,True,True,True,True,NONE,NONE
0,g7,San Jose State,USC,Novig,3313dcc5e91f9a2dda995a5e36e55f52,True,True,True,True,33,theodds_ncaaf_20260826T163246Z.json,2026-08-26T16:32:08Z,33,theodds_ncaaf_20260826T163246Z.json,2026-08-26T16:32:08Z,False,True,True,True,True,True,NONE,NONE
0,g7,San Jose State,USC,ProphetX,3313dcc5e91f9a2dda995a5e36e55f52,True,True,True,True,33,theodds_ncaaf_20260826T163246Z.json,2026-08-26T16:32:18Z,33,theodds_ncaaf_20260826T163246Z.json,2026-08-26T16:32:18Z,False,True,True,True,True,True,NONE,NONE
0,g7,San Jose State,USC,Kalshi,3313dcc5e91f9a2dda995a5e36e55f52,True,False,False,False,0,,,0,,,False,False,False,False,False,False,PROVIDER_SOURCE_DID_NOT_SUPPLY_PAIR,PROVIDER_SOURCE_DID_NOT_SUPPLY_PAIR
