confidence,n,fair_spread_mae,timing_unknown_positive_clv_rate,average_clv,ats_win_rate,roi_at_minus_110
Conflict,30,3.1029249097825433,0.5333333333333333,1.25,0.5517241379310345,0.051515151515151514
Moderate agreement,203,3.1928279878756065,0.4129353233830846,0.6094527363184079,0.5527638190954773,0.054726368159203974
No meaningful change,85,2.785166237571043,0.4578313253012048,0.45180722891566266,0.42168674698795183,-0.19496166484118294
Strong agreement,93,2.954355048997395,0.532608695652174,1.3858695652173914,0.5108695652173914,-0.02470355731225296
