season,model,n,mae_vs_close,median_absolute_error,rmse,signed_bias,correlation
2024,no_update,243,4.575043712502849,3.718923872462545,5.92236770953685,-0.10697697701740178,0.8680049236049678
2024,current_lambda_0.50,243,8.27637810336439,7.515825322084384,10.051419001446419,0.7891135579620224,0.7165004228208138
2024,market_movement,243,4.245672293754799,3.3195115837143874,5.555435206606033,-0.03518721065884625,0.8835469071255123
2024,SP_plus_movement,283,3.653031355766649,3.0389843937434797,4.554663570951294,-0.6220311145047389,0.9506790064083503
2024,aligned_blend,243,3.201950975278822,2.701620118358914,3.9991825878369363,-0.3207828150036989,0.9399351570150918
2024,historical_ESPN_Bet_opening_field,283,1.4045936395759717,1.0,1.8367566283154602,-0.2420494699646643,0.9894183872138463
2025,no_update,395,5.159224807196447,4.410156959323793,6.605835539832014,0.3577560513067212,0.8586110771888268
2025,current_lambda_0.50,395,8.371603996140442,6.8114563804380115,10.537576047673127,0.46281934244596185,0.6650404146115819
2025,market_movement,395,4.73433038916811,3.8619535646278758,6.1215079357649955,0.4763824025065412,0.8787488140590726
2025,SP_plus_movement,411,3.431101799707099,2.9007203797206795,4.350006418713166,0.30885349749887037,0.9492572089348527
2025,aligned_blend,395,3.047288707665909,2.4520865469906212,3.938095246779591,0.4105054511533044,0.9487552082305993
2025,historical_ESPN_Bet_opening_field,406,1.9729064039408868,1.0,3.3090039874806076,-0.2512315270935961,0.9634782362922597
