threshold,direction_model,magnitude_model,balanced_accuracy,macro_f1,direction_accuracy,mae,rmse,scope,model,n,median_absolute_error,signed_bias,correlation,overshoot_rate,undershoot_rate
1.0,ordinal_ridge_proxy,huber,0.6687731971484713,0.6770196815159165,0.6715328467153284,1.0066949366810016,1.352414069258079,selection_2024,,,,,,,
1.0,ordinal_ridge_proxy,ridge,0.6687731971484713,0.6770196815159165,0.6715328467153284,1.0077105712854626,1.3514595998461298,selection_2024,,,,,,,
1.0,ordinal_ridge_proxy,two_stage,0.6687731971484713,0.6770196815159165,0.6715328467153284,1.015612203640012,1.3478671740627963,selection_2024,,,,,,,
1.0,ordinal_ridge_proxy,elastic,0.6687731971484713,0.6770196815159165,0.6715328467153284,1.035511112489684,1.4091976077038264,selection_2024,,,,,,,
0.75,ordinal_ridge_proxy,two_stage,0.6545926792039545,0.6556639641463268,0.6581508515815085,0.9954237900564349,1.3271030350622017,selection_2024,,,,,,,
0.75,ordinal_ridge_proxy,huber,0.6545926792039545,0.6556639641463268,0.6581508515815085,1.0066949366810016,1.352414069258079,selection_2024,,,,,,,
0.75,ordinal_ridge_proxy,ridge,0.6545926792039545,0.6556639641463268,0.6581508515815085,1.0077105712854626,1.3514595998461298,selection_2024,,,,,,,
0.75,ordinal_ridge_proxy,elastic,0.6545926792039545,0.6556639641463268,0.6581508515815085,1.035511112489684,1.4091976077038264,selection_2024,,,,,,,
1.0,multinomial_logistic,huber,0.647515670435165,0.6577875041895861,0.6545012165450121,1.0066949366810016,1.352414069258079,selection_2024,,,,,,,
1.0,multinomial_logistic,ridge,0.647515670435165,0.6577875041895861,0.6545012165450121,1.0077105712854626,1.3514595998461298,selection_2024,,,,,,,
1.0,multinomial_logistic,two_stage,0.647515670435165,0.6577875041895861,0.6545012165450121,1.015612203640012,1.3478671740627963,selection_2024,,,,,,,
1.0,multinomial_logistic,elastic,0.647515670435165,0.6577875041895861,0.6545012165450121,1.035511112489684,1.4091976077038264,selection_2024,,,,,,,
0.5,ordinal_ridge_proxy,two_stage,0.6343750185096338,0.6333356962154402,0.6690997566909975,0.9873497001372546,1.3191795558500725,selection_2024,,,,,,,
0.5,ordinal_ridge_proxy,huber,0.6343750185096338,0.6333356962154402,0.6690997566909975,1.0066949366810016,1.352414069258079,selection_2024,,,,,,,
0.5,ordinal_ridge_proxy,ridge,0.6343750185096338,0.6333356962154402,0.6690997566909975,1.0077105712854626,1.3514595998461298,selection_2024,,,,,,,
0.5,ordinal_ridge_proxy,elastic,0.6343750185096338,0.6333356962154402,0.6690997566909975,1.035511112489684,1.4091976077038264,selection_2024,,,,,,,
