season,alignment_category,team_rows,matchup_rows,actual_market_direction_accuracy,actual_sp_plus_direction_accuracy,market_movement_mae,sp_plus_movement_mae,projected_close_spread_mae,movement_direction_toward_close,positive_clv_rate,average_clv,ats_win_rate,roi_at_minus_110
2024,Both predict downgrade,45,0,0.6,0.7555555555555555,0.5706602502097409,1.1639548701431703,,,,,,
2024,Both predict no meaningful change,269,0,0.7732342007434945,0.5836431226765799,0.46723574602980544,0.966284198901314,,,,,,
2024,Both predict upgrade,34,0,0.6764705882352942,0.7941176470588235,0.5923503287323287,0.8681982923317265,,,,,,
2024,Market only meaningful,88,0,0.4772727272727273,0.5795454545454546,0.7431868266004096,0.9219481746348819,,,,,,
2024,Missing one model,104,0,0.0,0.7884615384615384,,1.3816331631584613,,,,,,
2024,Opposite directions,23,0,0.7391304347826086,0.43478260869565216,0.9907078940161962,1.384773319526941,,,,,,
2024,SP+ only meaningful,259,0,0.7451737451737451,0.7451737451737451,0.529270688278693,0.884189199483163,,,,,,
2025,Both predict downgrade,81,0,0.8271604938271605,0.8641975308641975,1.375806350462209,0.8005328756726184,,,,,,
2025,Both predict no meaningful change,393,0,0.6641221374045801,0.6437659033078881,0.6089413799451675,0.8866421951161054,,,,,,
2025,Both predict upgrade,64,0,0.78125,0.78125,1.4669453260028202,1.2113178088748011,,,,,,
2025,Market only meaningful,149,0,0.6510067114093959,0.5503355704697986,1.0902945350091138,0.9498942497573376,,,,,,
2025,Missing one model,32,0,0.0,0.6875,,1.304298445425242,,,,,,
2025,Opposite directions,31,0,0.6451612903225806,0.7096774193548387,1.9299682455240514,1.4002312020544512,,,,,,
2025,SP+ only meaningful,377,0,0.6525198938992043,0.7957559681697612,0.6964788187452494,0.9284009885964357,,,,,,
2024,Both no meaningful change,0,69,,,,,2.9431481833036703,0.4492753623188406,0.4492753623188406,-0.057971014492753624,0.5294117647058824,0.010540184453227935
2024,Market only meaningful,0,34,,,,,2.599876522629524,0.4117647058823529,0.4117647058823529,0.04411764705882353,0.36363636363636365,-0.2967914438502674
2024,Opposite directions,0,16,,,,,3.5631587900361663,0.5,0.5,-0.34375,0.375,-0.28409090909090906
2024,SP+ only meaningful,0,113,,,,,3.3454139247932906,0.37168141592920356,0.37168141592920356,-0.3141592920353982,0.5675675675675675,0.082059533386967
2024,Same meaningful direction,0,51,,,,,3.5717093626076633,0.35294117647058826,0.35294117647058826,0.09803921568627451,0.5294117647058824,0.010695187165775392
2025,Both no meaningful change,0,85,,,,,2.785166237571043,0.4578313253012048,0.4578313253012048,0.45180722891566266,0.42168674698795183,-0.19496166484118294
2025,Market only meaningful,0,67,,,,,2.772800526128281,0.4393939393939394,0.4393939393939394,0.6136363636363636,0.640625,0.21625344352617076
2025,Opposite directions,0,30,,,,,3.1029249097825433,0.5333333333333333,0.5333333333333333,1.25,0.5517241379310345,0.051515151515151514
2025,SP+ only meaningful,0,136,,,,,3.417962707372173,0.4,0.4,0.6074074074074074,0.5111111111111111,-0.024242424242424235
2025,Same meaningful direction,0,93,,,,,2.954355048997395,0.532608695652174,0.532608695652174,1.3858695652173914,0.5108695652173914,-0.02470355731225296
