snapshot_date,season,game_date,away_team,home_team,away_current_score,home_current_score,away_projected_points,home_projected_points,away_win_prob,home_win_prob,projected_spread_home,projected_total,source_file,source_url
2026-08-17,2026,2026-09-05,North Texas,Indiana,0.0,0.0,14.0,42.0,0.05,0.95,-28.5,59.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Ohio,Nebraska,0.0,0.0,16.0,31.0,0.14,0.86,-15.5,48.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Miami OH,Pittsburgh,0.0,0.0,17.0,35.0,0.11,0.89,-17.5,51.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,New Hampshire,Syracuse,0.0,0.0,7.0,34.0,0.05,0.95,-26.5,51.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Coastal Car,West Virginia,0.0,0.0,17.0,35.0,0.14,0.86,-17.5,55.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Tarleton St,Bowling Green,0.0,0.0,24.0,27.0,0.41,0.59,-3.5,54.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Liberty,James Madison,0.0,0.0,14.0,35.0,0.1,0.9,-20.5,54.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Ball St,Ohio St,0.0,0.0,0.0,45.0,0.0,1.0,-45.5,50.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Kent,South Carolina,0.0,0.0,7.0,42.0,0.01,0.99,-34.5,51.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,SE Missouri St,Iowa St,0.0,0.0,3.0,45.0,0.0,1.0,-41.5,51.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Youngstown St,Kentucky,0.0,0.0,14.0,42.0,0.05,0.95,-28.5,56.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Duquesne,Air Force,0.0,0.0,7.0,41.0,0.02,0.98,-34.5,53.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Rhode Island,Temple,0.0,0.0,17.0,34.0,0.14,0.86,-17.5,54.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Tennessee St,Georgia,0.0,0.0,0.0,52.0,0.0,1.0,-52.5,53.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Baylor,Auburn,0.0,0.0,24.0,28.0,0.38,0.62,-4.5,55.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Citadel,Charlotte,0.0,0.0,14.0,34.0,0.1,0.9,-20.5,50.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Boston College,Cincinnati,0.0,0.0,24.0,31.0,0.29,0.71,-7.5,55.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
