market,model,n,mae,median_absolute_error,rmse,bias
total,rules,278,1.7838203769246719,1.6323530031817874,2.1560787188592583,0.6934517820011071
total,linear,278,1.6886198848594332,1.2160252446082889,2.2811175057373587,0.2498350994230425
total,ridge,278,1.676472230046388,1.3010499838607743,2.250187661878467,0.23883338218943412
total,boost,278,1.4336632369065965,1.2134657028278852,1.8299101560712128,0.3562601523470552
