market,tier,sample_size,average_projected_edge,n,mae,median_absolute_error,rmse,bias,probability_shadow_beats_current,positive_clv_rate,average_clv,ats_win_rate,ats_record,roi_at_minus_110
total,green,122,5.278361270668187,122,3.4125084381254274,3.115089155150727,4.299902319187102,-0.9580923274069766,0.6311475409836066,0.6639344262295082,2.1557377049180326,0.5327868852459017,65-57-0,0.017138599105812242
total,yellow,174,2.0357563502348333,174,2.0106378633149125,1.7335493400526687,2.5363784354156333,0.24051073413805454,0.6839080459770115,0.5804597701149425,0.7126436781609196,0.5114942528735632,89-85-0,-0.02351097178683387
total,red,96,0.4641498769651557,96,1.7394636714118867,1.3795334877732301,2.2475360157950237,0.5053369160602084,0.6875,0.34375,-0.21875,0.4479166666666667,43-53-0,-0.14488636363636362
