market,tier,sample_size,average_projected_edge,average_clv,positive_clv_rate,n,mae,median_absolute_error,rmse,bias
spread,actionable,106,4.597697937560449,0.7877358490566038,0.5188679245283019,106,4.062508301728971,3.225615048290601,4.989975887148303,0.7357346866314722
spread,neutral,112,1.1612872790740172,-0.20982142857142858,0.36607142857142855,112,1.9057792749727749,1.6507217373012204,2.304369852636986,-0.24687829486918117
