as_of,team,conference,off_air,air_rank,style,play_caller,run,proj_run,pass,proj_pass,plays_g,proj_plays_g,diff,secpp,secpp,pace
2026-08-05,UNLV,MWC,11.35,68,Run First Play Action,Corey Dennis,57%,57%,43%,43%,63.0,64.4,1.4,,0.0,0.57
2026-08-05,Iowa,Big10,11.32,69,Pro-Style / Heavy 12,Tim Lester,55%,55%,45%,45%,65.0,65.0,0.0,,0.0,0.55
2026-08-05,UAB,Amer,11.32,70,Spread,Alex Mortensen,47%,47%,53%,53%,70.0,70.0,0.0,,0.0,0.47
2026-08-05,Western Michigan,MAC,11.31,71,Power Run,Walt Bell,67%,67%,33%,33%,66.0,66.0,0.0,,0.0,0.67
2026-08-05,Virginia Tech,ACC,11.28,72,Pro Style,Ty Howle,53%,53%,47%,47%,65.0,65.0,0.0,,0.0,0.53
2026-08-05,Appalachian State,SBC,11.28,73,Run First Pro-Style,Dowell Loggains,60%,60%,40%,40%,68.0,68.0,0.0,,0.0,0.6
2026-08-05,San Diego State,Pac12,11.28,74,Spread,Matt Johnson,57%,57%,43%,43%,75.0,75.0,0.0,,0.0,0.57
2026-08-05,Kansas,Big12,11.27,75,Run Heavy Spread,Andy Kotelnicki,60%,60%,40%,40%,63.0,63.0,0.0,,0.0,0.6
2026-08-05,Boise State,Pac12,11.26,76,Balanced Spread,Nate Potter,53%,53%,47%,47%,73.0,73.0,0.0,,0.0,0.53
2026-08-05,Akron,MAC,11.24,77,Pro Spread,Joe Moorhead,52%,52%,48%,48%,70.0,70.0,0.0,,0.0,0.52
2026-08-05,Boston College,ACC,11.23,78,Pro Spread,Bill O'Brien,50%,50%,50%,50%,66.0,66.0,0.0,,0.0,0.5
2026-08-05,Liberty,CUSA,11.19,79,Run Heavy Spread,Jamey Chadwell,62%,62%,38%,38%,68.7,68.7,0.0,,0.0,0.62
2026-08-05,Air Force,MWC,11.18,80,Triple Option,Mike Thiessen,22%,22%,78%,78%,62.0,62.0,0.0,,0.0,0.22
2026-08-05,Stanford,ACC,11.14,81,Power Spread,Terry Heffernan,54%,54%,46%,46%,63.0,64.4,1.4,,0.0,0.54
2026-08-05,Texas State,Pac12,11.13,82,Run Heavy Spread,Landon Keopple,61%,61%,39%,39%,71.0,71.0,0.0,,0.0,0.61
2026-08-05,Connecticut,Inde,10.91,83,Balanced Spread,Nunzio Campanile,50%,50%,50%,50%,70.0,70.0,0.0,,0.0,0.5
2026-08-05,South Alabama,SBC,10.9,84,Power Spread,Major Applewhite,62%,62%,38%,38%,70.0,70.0,0.0,,0.0,0.62
2026-08-05,Tulane,Amer,10.85,85,Spread,Russ Callaway,48%,48%,52%,52%,65.0,65.0,0.0,,0.0,0.48
2026-08-05,Temple,Amer,10.83,86,RPO Spread,Tyler Walker,45%,45%,55%,55%,68.0,68.0,0.0,,0.0,0.45
2026-08-05,Fresno State,Pac12,10.77,87,Power Run,Josh Davis,57%,57%,43%,43%,66.0,66.0,0.0,,0.0,0.57
2026-08-05,Washington State,Pac12,10.75,88,RPO Spread,Matt Miller,50%,50%,50%,50%,67.0,67.0,0.0,,0.0,0.5
2026-08-05,Tulsa,Amer,10.69,89,Spread,Kevin Barbay,44%,44%,56%,56%,67.0,67.0,0.0,,0.0,0.44
2026-08-05,Georgia State,SBC,10.66,90,Spread,Hue Jackson,44%,44%,56%,56%,70.0,70.0,0.0,,0.0,0.44
2026-08-05,Wyoming,MWC,10.65,91,Pro Style,Christian Taylor,52%,52%,48%,48%,64.0,64.0,0.0,,0.0,0.52
2026-08-05,Oregon State,Pac12,10.64,92,Spread,Mitch Dahlen,44%,44%,56%,56%,66.0,66.0,0.0,,0.0,0.44
2026-08-05,Western Kentucky,CUSA,10.51,93,Spread,Bodie Reeder,40%,40%,60%,60%,69.0,69.0,0.0,,0.0,0.4
2026-08-05,FIU,CUSA,10.51,94,Spread,Nick Coleman,54%,54%,46%,46%,70.0,70.0,0.0,,0.0,0.54
2026-08-05,Memphis,Amer,10.47,95,Pro Spread,Kevin Decker,52%,52%,48%,48%,70.0,68.6,-1.4,,0.0,0.52
2026-08-05,Hawaii,MWC,10.44,96,Run-and-Shoot,Anthony Arceneaux,41%,41%,59%,59%,70.0,68.6,-1.4,,0.0,0.41
2026-08-05,New Mexico,MWC,10.43,97,Run First Play Action,Luke Schleusner,57%,57%,43%,43%,63.0,63.0,0.0,,0.0,0.57
2026-08-05,Colorado State,Pac12,10.42,98,Spread,Pryce Tracy,46%,46%,54%,54%,65.0,65.0,0.0,,0.0,0.46
2026-08-05,Troy,SBC,10.4,99,Up Tempo Spread,Adam Austin,42%,42%,58%,58%,74.0,74.0,0.0,,0.0,0.42
2026-08-05,Toledo,MAC,10.38,100,Spread,Cris Reisert,48%,48%,52%,52%,67.0,67.0,0.0,,0.0,0.48
2026-08-05,Rice,Amer,10.31,101,Power Run,Vince Munch,74%,74%,26%,26%,67.0,67.0,0.0,,0.0,0.74
2026-08-05,Delaware,CUSA,10.3,102,Balanced Spread,Terence Archer,53%,53%,47%,47%,70.0,70.0,0.0,,0.0,0.53
2026-08-05,Army,Amer,10.3,103,Triple Option,Cody Worley,85%,85%,15%,15%,67.0,67.0,0.0,,0.0,0.85
2026-08-05,New Mexico State,CUSA,10.29,104,Spread,David Yost,43%,43%,57%,57%,69.0,68.6,-0.4,,0.0,0.43
2026-08-05,Arkansas State,SBC,10.24,105,Spread,Garrett Altman,45%,45%,55%,55%,72.0,72.0,0.0,,0.0,0.45
2026-08-05,Marshall,SBC,10.22,106,Run First Pro-Style,Rod Smith,60%,60%,40%,40%,70.0,70.0,0.0,,0.0,0.6
2026-08-05,Middle Tennessee,CUSA,10.21,107,Spread,Brian Stewart,42%,42%,58%,58%,67.0,67.0,0.0,,0.0,0.42
2026-08-05,Central Michigan,MAC,10.21,108,Spread,Jim Chapin,45%,45%,55%,55%,65.0,65.0,0.0,,0.0,0.45
2026-08-05,Navy,Amer,10.21,109,Triple Option,Drew Cronic,77%,77%,23%,23%,62.0,62.0,0.0,,0.0,0.77
2026-08-05,Louisiana Tech,SBC,10.17,110,Power Spread,Nathan Young,63%,63%,37%,37%,65.5,65.5,0.0,,0.0,0.63
2026-08-05,Georgia Southern,SBC,10.16,111,Balanced Spread,Ryan Aplin,52%,52%,48%,48%,69.0,69.0,0.0,,0.0,0.52
2026-08-05,Charlotte,Amer,10.12,112,Spread,Todd Fitch,50%,50%,50%,50%,62.0,62.0,0.0,,0.0,0.5
2026-08-05,Missouri State,CUSA,10.1,113,Spread,Mark Cala,44%,44%,56%,56%,65.0,65.0,0.0,,0.0,0.44
2026-08-05,Utah State,Pac12,10.08,114,Pro Spread,Robert Anae,52%,52%,48%,48%,65.0,65.0,0.0,,0.0,0.52
2026-08-05,Ball State,MAC,10.02,115,Run First Pro-Style,Mike Uremovich,62%,62%,38%,38%,61.0,61.0,0.0,,0.0,0.62
2026-08-05,Ohio,MAC,9.9,116,Run Heavy Spread,Scott Isphording,64%,64%,36%,36%,67.0,67.0,0.0,,0.0,0.64
2026-08-05,Iowa State,Big12,9.89,117,Pro Style,Tyler Roehl,57%,57%,43%,43%,69.0,69.0,0.0,,0.0,0.57
2026-08-05,Louisiana,SBC,9.8,118,Run Heavy Spread,Tim Leger,60%,60%,40%,40%,66.0,66.0,0.0,,0.0,0.6
2026-08-05,Eastern Michigan,MAC,9.77,119,Balanced Spread,Mike Piatkowski,49%,49%,51%,51%,66.0,65.6,-0.42,,0.0,0.49
2026-08-05,Miami OH,MAC,9.71,120,Multiple Run-First,Gus Ragland,57%,57%,43%,43%,61.9,61.9,0.0,,0.0,0.57
2026-08-05,Sam Houston,CUSA,9.69,121,Balanced Spread,Zack Patterson,46%,46%,54%,54%,66.0,66.0,0.0,,0.0,0.46
2026-08-05,Coastal Carolina,SBC,9.63,122,Spread,Nick Petrino,42%,42%,58%,58%,67.0,67.0,0.0,,0.0,0.42
2026-08-05,Southern Miss,SBC,9.59,123,Spread,Kyle Cefalo,42%,42%,58%,58%,71.0,71.0,0.0,,0.0,0.42
2026-08-05,Jacksonville State,CUSA,9.51,124,RPO Spread,Taylor Housewright,60%,60%,40%,40%,69.0,67.4,-1.6,,0.0,0.6
2026-08-05,San Jose State,MWC,9.43,125,Spread-N-Shred,Craig Stutzmann,39%,39%,61%,61%,67.0,66.8,-0.2,,0.0,0.39
2026-08-05,Nevada,MWC,9.37,126,RPO Spread,Brett Bartolone,53%,53%,47%,47%,62.0,62.0,0.0,,0.0,0.53
2026-08-05,UMass,MAC,9.31,127,Balanced Spread,Max Warner,47%,47%,53%,53%,64.0,64.0,0.0,,0.0,0.47
2026-08-05,UTEP,MWC,9.27,128,Up Tempo Spread,Joe Pappalardo,50%,50%,50%,50%,65.5,65.5,0.0,,0.0,0.5
2026-08-05,James Madison,SBC,9.25,129,Pro Spread,Cam Aiken,53%,53%,47%,47%,70.0,70.0,0.0,,0.0,0.53
2026-08-05,Old Dominion,SBC,9.24,130,Run First Pro-Style,Kody Cook,62%,62%,38%,38%,68.0,68.0,0.0,,0.0,0.62
2026-08-05,Northern Illinois,MWC,9.22,131,Pro Style,Tony Petersen,65%,65%,35%,35%,62.0,62.0,0.0,,0.0,0.65
2026-08-05,Louisiana-Monroe,SBC,9.22,132,Run First Pro-Style,Jesse Montalto,58%,58%,42%,42%,61.0,61.0,0.0,,0.0,0.58
2026-08-05,Bowling Green,MAC,9.21,133,Power Run,Greg Nosal,61%,61%,39%,39%,63.0,63.0,0.0,,0.0,0.61
2026-08-05,Kennesaw State,CUSA,9.14,134,Balanced Spread,Mitch Militello,56%,56%,44%,44%,68.0,68.0,0.0,,0.0,0.56
2026-08-05,Kent State,MAC,8.76,135,Multiple Run-First,Clay Patterson,58%,58%,42%,42%,58.0,58.0,0.0,,0.0,0.58
2026-08-05,North Dakota State,MWC,8.7,136,Run First Pro-Style,Dan Larson,56%,56%,44%,44%,61.0,62.6,1.6,,0.0,0.56
2026-08-05,Sacramento State,MAC,8.46,137,Pass Heavy Spread,Eric Kiesau,53%,53%,47%,47%,63.9,64.3,0.42,,0.0,0.53
2026-08-05,Buffalo,MAC,8.36,138,Pro Style,Tony Tokarz,50%,50%,50%,50%,69.0,69.0,0.0,,0.0,0.5
