design,test_season,conference,training_games,raw_hfa,shrunk_hfa,capped_hfa,global_training_hfa
leave_one_season_out,2021,ACC,182,2.8033076923076923,2.719996479486911,2.719996479486911,2.5304634703196345
leave_one_season_out,2021,American Athletic,180,1.8734666666666668,2.0756195293291184,2.25,2.5304634703196345
leave_one_season_out,2021,Big 12,254,2.735055118110236,2.686051130615481,2.686051130615481,2.5304634703196345
leave_one_season_out,2021,Big Ten,340,2.4806058823529407,2.4901025657751683,2.4901025657751683,2.5304634703196345
leave_one_season_out,2021,Conference USA,56,2.0305357142857146,2.3246108648939026,2.3246108648939026,2.5304634703196345
leave_one_season_out,2021,FBS Independents,69,3.1971014492753627,2.8391750176212804,2.8391750176212804,2.5304634703196345
leave_one_season_out,2021,Mid-American,36,1.4750000000000003,2.202905841599748,2.25,2.5304634703196345
leave_one_season_out,2021,Mountain West,201,2.8681791044776115,2.7720323047173334,2.7720323047173334,2.5304634703196345
leave_one_season_out,2021,Pac-12,152,2.264605263157895,2.3562805070067707,2.3562805070067707,2.5304634703196345
leave_one_season_out,2021,SEC,210,2.578095238095238,2.5649554400881747,2.5649554400881747,2.5304634703196345
leave_one_season_out,2021,Sun Belt,72,2.7541944444444444,2.6364413001682285,2.6364413001682285,2.5304634703196345
leave_one_season_out,2022,ACC,184,2.523978260869565,2.536465488694572,2.536465488694572,2.5651861126920883
leave_one_season_out,2022,American Athletic,178,1.9990561797752802,2.1746003450208025,2.25,2.5651861126920883
leave_one_season_out,2022,Big 12,254,2.850188976377953,2.7819248174112783,2.7819248174112783,2.5651861126920883
leave_one_season_out,2022,Big Ten,337,2.518433234421365,2.527402611547643,2.527402611547643,2.5651861126920883
leave_one_season_out,2022,Conference USA,57,1.5227368421052627,2.1314663431778618,2.25,2.5651861126920883
leave_one_season_out,2022,FBS Independents,63,2.626349206349206,2.592132091016553,2.592132091016553,2.5651861126920883
leave_one_season_out,2022,Mid-American,41,1.773170731707317,2.2968172645898104,2.2968172645898104,2.5651861126920883
leave_one_season_out,2022,Mountain West,203,3.318857142857142,3.105805261538399,2.85,2.5651861126920883
leave_one_season_out,2022,Pac-12,153,2.2521568627450974,2.3596347168041505,2.3596347168041505,2.5651861126920883
leave_one_season_out,2022,SEC,208,2.7566153846153845,2.7034405868589135,2.7034405868589135,2.5651861126920883
leave_one_season_out,2022,Sun Belt,79,2.4998481012658225,2.532722572423692,2.532722572423692,2.5651861126920883
leave_one_season_out,2023,ACC,189,2.821164021164021,2.740883126303382,2.740883126303382,2.551219512195122
leave_one_season_out,2023,American Athletic,180,1.9805555555555556,2.156144465290807,2.25,2.551219512195122
leave_one_season_out,2023,Big 12,234,2.9128205128205122,2.8206928693490756,2.8206928693490756,2.551219512195122
leave_one_season_out,2023,Big Ten,342,2.583918128654971,2.5777193388047626,2.5777193388047626,2.551219512195122
leave_one_season_out,2023,Conference USA,64,2.1203125000000003,2.3597052845528457,2.3597052845528457,2.551219512195122
