design,test_season,training_seasons,model,games,mae,rmse,mean_error,median_absolute_error,within_1_point_pct,within_2_points_pct,global_training_hfa,conference_shrinkage,conference_cap_low,conference_cap_high
leave_one_season_out,2021,"2022,2023,2024,2025",generic_2_5,452,3.3882743362831858,4.523838040808825,-0.08606194690265481,2.5500000000000007,20.79646017699115,42.92035398230089,2.5304634703196345,80.0,2.25,2.85
leave_one_season_out,2021,"2022,2023,2024,2025",conference_uncapped,452,3.3881511492176624,4.525213489911036,-0.06410080954907613,2.6098974342248313,21.01769911504425,41.3716814159292,2.5304634703196345,80.0,2.25,2.85
leave_one_season_out,2021,"2022,2023,2024,2025",conference_capped,452,3.3861105959485527,4.523819160888082,-0.0453854439751979,2.5830273255642844,21.01769911504425,41.5929203539823,2.5304634703196345,80.0,2.25,2.85
leave_one_season_out,2021,"2022,2023,2024,2025",current_site,452,3.4449115044247787,4.600430433882372,-0.16438053097345132,2.6999999999999993,22.123893805309734,39.38053097345133,2.5304634703196345,80.0,2.25,2.85
leave_one_season_out,2021,"2022,2023,2024,2025",blend_current_25,452,3.391620620056209,4.533380818349535,-0.07513421572476121,2.6318917099669346,21.460176991150444,42.0353982300885,2.5304634703196345,80.0,2.25,2.85
leave_one_season_out,2021,"2022,2023,2024,2025",blend_current_50,452,3.404314582490541,4.5493859279609135,-0.10488298747432469,2.6332143217740143,21.238938053097346,41.5929203539823,2.5304634703196345,80.0,2.25,2.85
leave_one_season_out,2021,"2022,2023,2024,2025",blend_current_75,452,3.4216676950101386,4.571766817376625,-0.13463175922388806,2.632876531899311,21.01769911504425,41.150442477876105,2.5304634703196345,80.0,2.25,2.85
leave_one_season_out,2022,"2021,2023,2024,2025",generic_2_5,447,3.3295302013422816,4.21535756177359,0.01543624161073818,2.6000000000000014,19.23937360178971,39.14988814317674,2.5651861126920883,80.0,2.25,2.85
leave_one_season_out,2022,"2021,2023,2024,2025",conference_uncapped,447,3.349678984337483,4.235286715520572,0.07653519215537052,2.6941947384616007,16.55480984340045,36.68903803131991,2.5651861126920883,80.0,2.25,2.85
leave_one_season_out,2022,"2021,2023,2024,2025",conference_capped,447,3.3448658678411407,4.225477535421326,0.06035754757612819,2.6819248174112786,16.10738255033557,37.58389261744966,2.5651861126920883,80.0,2.25,2.85
leave_one_season_out,2022,"2021,2023,2024,2025",current_site,447,3.4087248322147654,4.311186738729473,0.00156599552572702,2.8999999999999986,19.23937360178971,35.57046979865772,2.5651861126920883,80.0,2.25,2.85
leave_one_season_out,2022,"2021,2023,2024,2025",blend_current_25,447,3.3541012128748795,4.237456277428487,0.04565965956352794,2.6773491165209293,17.225950782997764,37.360178970917225,2.5651861126920883,80.0,2.25,2.85
leave_one_season_out,2022,"2021,2023,2024,2025",blend_current_50,447,3.3662681275284485,4.255792826922123,0.03096177155092753,2.703933954491724,16.778523489932887,37.13646532438479,2.5651861126920883,80.0,2.25,2.85
leave_one_season_out,2022,"2021,2023,2024,2025",blend_current_75,447,3.385343208807275,4.280405477293172,0.016263883538327317,2.7874999999999996,18.120805369127517,36.241610738255034,2.5651861126920883,80.0,2.25,2.85
leave_one_season_out,2023,"2021,2022,2024,2025",generic_2_5,441,4.127210884353742,5.850648742058255,-0.01836734693877557,2.8999999999999986,17.687074829931973,35.147392290249435,2.551219512195122,80.0,2.25,2.85
leave_one_season_out,2023,"2021,2022,2024,2025",conference_uncapped,441,4.140083573498819,5.853557497202859,0.040347152987024515,2.90806161745828,17.233560090702948,33.560090702947846,2.551219512195122,80.0,2.25,2.85
leave_one_season_out,2023,"2021,2022,2024,2025",conference_capped,441,4.139529829034717,5.853224140495597,0.05299052358889996,2.90806161745828,17.46031746031746,33.78684807256236,2.551219512195122,80.0,2.25,2.85
leave_one_season_out,2023,"2021,2022,2024,2025",current_site,441,4.185941043083901,5.91860512463158,-0.0757369614512472,2.9999999999999982,19.047619047619047,34.467120181405896,2.551219512195122,80.0,2.25,2.85
leave_one_season_out,2023,"2021,2022,2024,2025",blend_current_25,441,4.144700007167932,5.86199670322872,0.02080865232886325,2.868594909862141,17.46031746031746,33.33333333333333,2.551219512195122,80.0,2.25,2.85
leave_one_season_out,2023,"2021,2022,2024,2025",blend_current_50,441,4.155159084244501,5.875843640051316,-0.011373218931173577,2.939653565325461,17.46031746031746,34.01360544217687,2.551219512195122,80.0,2.25,2.85
leave_one_season_out,2023,"2021,2022,2024,2025",blend_current_75,441,4.169863854902369,5.89472919139478,-0.04355509019121045,2.9375,17.46031746031746,34.01360544217687,2.551219512195122,80.0,2.25,2.85
