market,snapshot_prev,snapshot_latest,season,conference,team,book,field,previous,latest,change,implied_prob_change_pct,summary
Conference Title,2026-05-06,2026-05-07,2026,Big 12,BYU,BetMGM,American Odds,+750,+600,-150.0,2.52,BYU BetMGM Big 12 title +750 → +600
Conference Title,2026-05-06,2026-05-07,2026,Big 12,OK State,BetMGM,American Odds,+3500,+3000,-500.0,0.45,OK State BetMGM Big 12 title +3500 → +3000
Conference Title,2026-05-06,2026-05-07,2026,Big 12,Utah,BetMGM,American Odds,+600,+700,100.0,-1.79,Utah BetMGM Big 12 title +600 → +700
Win Total,2026-05-06,2026-05-07,2026,,Iowa,BetMGM,Over Odds,-160,-145,15.0,-2.35,Iowa BetMGM over -160 → -145
Win Total,2026-05-06,2026-05-07,2026,,Iowa,BetMGM,Under Odds,+125,+110,-15.0,3.17,Iowa BetMGM under +125 → +110
Win Total,2026-05-06,2026-05-07,2026,,LSU,BetMGM,Over Odds,-155,-110,45.0,-8.4,LSU BetMGM over -155 → -110
Win Total,2026-05-06,2026-05-07,2026,,LSU,BetMGM,Under Odds,+120,-118,-238.0,8.67,LSU BetMGM under +120 → -118
Win Total,2026-05-06,2026-05-07,2026,,Miami-FL,DraftKings,Over Odds,+110,-110,-220.0,4.76,Miami-FL DraftKings over +110 → -110
Win Total,2026-05-06,2026-05-07,2026,,Miami-FL,DraftKings,Under Odds,-130,-110,20.0,-4.14,Miami-FL DraftKings under -130 → -110
Win Total,2026-05-06,2026-05-07,2026,,NC State,BetMGM,Over Odds,-185,-115,70.0,-11.42,NC State BetMGM over -185 → -115
Win Total,2026-05-06,2026-05-07,2026,,NC State,BetMGM,Under Odds,+140,-115,-255.0,11.82,NC State BetMGM under +140 → -115
Win Total,2026-05-06,2026-05-07,2026,,NC State,BetMGM,Win Total,6.5,7.5,1.0,,NC State BetMGM win total 6.5 → 7.5
Win Total,2026-05-06,2026-05-07,2026,Big Ten,Nebraska,Caesars,Over Odds,+115,+125,10.0,-2.07,Nebraska Caesars over +115 → +125
Win Total,2026-05-06,2026-05-07,2026,Big Ten,Nebraska,Caesars,Under Odds,-145,-155,-10.0,1.6,Nebraska Caesars under -145 → -155
