market,snapshot_prev,snapshot_latest,season,conference,team,book,field,previous,latest,change,implied_prob_change_pct,summary
Conference Title,2026-05-07,2026-05-08,2026,ACC,NC State,BetMGM,American Odds,+2800,+2500,-300.0,0.4,NC State BetMGM ACC title +2800 → +2500
Win Total,2026-05-07,2026-05-08,2026,Atlantic Coast,Boston College,Caesars,Over Odds,+105,-105,-210.0,2.44,Boston College Caesars over +105 → -105
Win Total,2026-05-07,2026-05-08,2026,Atlantic Coast,Boston College,Caesars,Under Odds,-135,-125,10.0,-1.89,Boston College Caesars under -135 → -125
Win Total,2026-05-07,2026-05-08,2026,Atlantic Coast,California,Caesars,Over Odds,-130,-115,15.0,-3.03,California Caesars over -130 → -115
Win Total,2026-05-07,2026-05-08,2026,Atlantic Coast,California,Caesars,Under Odds,+100,-115,-215.0,3.49,California Caesars under +100 → -115
Win Total,2026-05-07,2026-05-08,2026,Big 12,Colorado,Caesars,Over Odds,+115,+125,10.0,-2.07,Colorado Caesars over +115 → +125
Win Total,2026-05-07,2026-05-08,2026,Big 12,Colorado,Caesars,Under Odds,-150,-160,-10.0,1.54,Colorado Caesars under -150 → -160
Win Total,2026-05-07,2026-05-08,2026,Atlantic Coast,Florida State,Caesars,Over Odds,+120,+140,20.0,-3.79,Florida State Caesars over +120 → +140
Win Total,2026-05-07,2026-05-08,2026,Atlantic Coast,Florida State,Caesars,Under Odds,-150,-180,-30.0,4.29,Florida State Caesars under -150 → -180
Win Total,2026-05-07,2026-05-08,2026,Big 12,Kansas State,Caesars,Over Odds,-160,-175,-15.0,2.1,Kansas State Caesars over -160 → -175
Win Total,2026-05-07,2026-05-08,2026,Big 12,Kansas State,Caesars,Under Odds,+120,+135,15.0,-2.9,Kansas State Caesars under +120 → +135
Win Total,2026-05-07,2026-05-08,2026,Atlantic Coast,Louisville,Caesars,Over Odds,-145,-165,-20.0,3.08,Louisville Caesars over -145 → -165
Win Total,2026-05-07,2026-05-08,2026,Atlantic Coast,Louisville,Caesars,Under Odds,+115,+130,15.0,-3.03,Louisville Caesars under +115 → +130
Win Total,2026-05-07,2026-05-08,2026,Big Ten,Maryland,Caesars,Over Odds,-150,-175,-25.0,3.64,Maryland Caesars over -150 → -175
Win Total,2026-05-07,2026-05-08,2026,Big Ten,Maryland,Caesars,Under Odds,+120,+135,15.0,-2.9,Maryland Caesars under +120 → +135
Win Total,2026-05-07,2026-05-08,2026,Atlantic Coast,NC State,Caesars,Over Odds,-170,+130,300.0,-19.48,NC State Caesars over -170 → +130
Win Total,2026-05-07,2026-05-08,2026,Atlantic Coast,NC State,Caesars,Under Odds,+140,-160,-300.0,19.87,NC State Caesars under +140 → -160
Win Total,2026-05-07,2026-05-08,2026,Atlantic Coast,NC State,Caesars,Win Total,6.5,7.5,1.0,,NC State Caesars win total 6.5 → 7.5
Win Total,2026-05-07,2026-05-08,2026,,Sac State,DraftKings,Over Odds,+105,+120,15.0,-3.33,Sac State DraftKings over +105 → +120
Win Total,2026-05-07,2026-05-08,2026,,Sac State,DraftKings,Under Odds,-135,-150,-15.0,2.55,Sac State DraftKings under -135 → -150
Win Total,2026-05-07,2026-05-08,2026,Big 12,TCU,Caesars,Over Odds,-145,-160,-15.0,2.35,TCU Caesars over -145 → -160
Win Total,2026-05-07,2026-05-08,2026,Big 12,TCU,Caesars,Under Odds,+115,+125,10.0,-2.07,TCU Caesars under +115 → +125
Win Total,2026-05-07,2026-05-08,2026,,UConn,DraftKings,Over Odds,+120,+130,10.0,-1.98,UConn DraftKings over +120 → +130
Win Total,2026-05-07,2026-05-08,2026,,UConn,DraftKings,Under Odds,-150,-165,-15.0,2.26,UConn DraftKings under -150 → -165
