run_date,category,title,team,grade,score,reason,action,source,research_query,book,current_line,projected_line,opening_line,last_move_date,game_date,game_week,ev_pct
2026-07-17,Game line move,Oregon State at Houston — Caesars Total Over Price -114 → +100,,LINE MOVE,214.0,Moved +214 point(s) · price nan → nan · moved between 2026-07-16 8:01 AM EDT and 2026-07-17 1:09 PM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,
2026-07-17,Game line move,Oregon State at Houston — Caesars Total Under Price -107 → -121,,LINE MOVE,14.0,Moved -14 point(s) · price nan → nan · moved between 2026-07-16 8:01 AM EDT and 2026-07-17 1:09 PM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,
2026-07-17,Game line move,Liberty at James Madison — Caesars Total Over Price -106 → -109,,LINE MOVE,3.0,Moved -3 point(s) · price nan → nan · moved between 2026-07-16 8:01 AM EDT and 2026-07-17 1:09 PM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,
2026-07-17,Game line move,Liberty at James Madison — Caesars Total Under Price -115 → -112,,LINE MOVE,3.0,Moved +3 point(s) · price nan → nan · moved between 2026-07-16 8:01 AM EDT and 2026-07-17 1:09 PM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,
2026-07-17,Game line move,Northern Illinois at Iow — Caesars Total Under Price -120 → -122,,LINE MOVE,2.0,Moved -2 point(s) · price nan → nan · moved between 2026-07-16 8:01 AM EDT and 2026-07-17 1:09 PM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,
2026-07-17,Game line move,Coastal Carolina at West Virgini — DraftKings Spread -18.5 → -19.5,,LINE MOVE,1.0,Moved -1 point(s) · price -110 → -112 · moved between 2026-07-16 8:01 AM EDT and 2026-07-17 1:09 PM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,
2026-07-17,Game line move,Liberty at James Madison — Caesars Total +51.5 → +52.5,,LINE MOVE,1.0,Moved +1 point(s) · price nan → nan · moved between 2026-07-16 8:01 AM EDT and 2026-07-17 1:09 PM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,
2026-07-17,Game line move,Northern Illinois at Iow — Caesars Total Over Price +100 → +101,,LINE MOVE,1.0,Moved +1 point(s) · price nan → nan · moved between 2026-07-16 8:01 AM EDT and 2026-07-17 1:09 PM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,
2026-07-17,Game line move,Oregon State at Houston — Caesars Total +50.5 → +51.5,,LINE MOVE,1.0,Moved +1 point(s) · price nan → nan · moved between 2026-07-16 8:01 AM EDT and 2026-07-17 1:09 PM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,
2026-07-17,Game line edge,ATS: Georgia -13.5 (+100),Georgia,ATS,100.0,Georgia at Arkansas · edge Georgia +5.2 · EV +24.1%,Confirm current sportsbook price before betting.,Market Lab,,fanduel,Georgia -13.5,Proj: Georgia -18.7,,,2026-09-19,3.0,24.08
2026-07-17,Game line edge,ATS: Ohio State -50.5 (-106),Ohio State,ATS,100.0,Ball State at Ohio State · edge Ohio State +5.3 · EV +20.8%,Confirm current sportsbook price before betting.,Market Lab,,FanDuel,Ohio State -50.5,Proj: Ohio State -55.8,Ohio State -49.5,,2026-09-05,1.0,20.85
2026-07-17,Game line edge,ATS: Ohio State +1.5 (-102),Ohio State,ATS,100.0,Ohio State at Indiana · edge Ohio State +4.5 · EV +19.9%,Confirm current sportsbook price before betting.,Market Lab,,FanDuel,Ohio State +1.5,Proj: Ohio State -3,Ohio State PK,,2026-10-17,7.0,19.86
2026-07-17,Game line edge,ATS: North Texas +39.5 (-105),North Texas,ATS,90.39,North Texas at Indiana · edge North Texas +3.0 · EV +11.2%,Confirm current sportsbook price before betting.,Market Lab,,FanDuel,North Texas +39.5,Proj: North Texas +36.5,North Texas +40.5,,2026-09-05,1.0,11.23
2026-07-17,Game line edge,ATS: Iowa -30.5 (-105),Iowa,ATS,89.87,Northern Illinois at Iowa · edge Iowa +2.9 · EV +11.0%,Confirm current sportsbook price before betting.,Market Lab,,DraftKings,Iowa -30.5,Proj: Iowa -33.4,Iowa -29.5,,2026-09-05,1.0,11.04
