check,passed,detail
exists:game_level_audit.csv,True,
exists:total_bias_correction_comparison.csv,True,
exists:spread_lambda_reconciliation.csv,True,
exists:summary.json,True,
signed spread impact arithmetic,True,
total impact arithmetic,True,
2025 not used for correction selection,True,
protected files unchanged,True,
preview exists,True,
