model,n,mae,median_absolute_error,rmse,signed_bias
frozen_no_update,395,5.159224807196446,4.410156959323793,6.605835539832014,0.35775605130672117
current_lambda_0.50,395,8.371603996140442,6.8114563804380115,10.537576047673127,0.4628193424459619
predicted_market,395,4.734330389168111,3.8619535646278758,6.1215079357649955,0.47638240250654124
predicted_SP+,395,3.4486156672915653,2.883697582432326,4.377634093869022,0.3446284998000675
aligned_simple_average,395,3.047288707665909,2.4520865469906195,3.938095246779591,0.41050545115330433
timing_unknown_ESPN_Bet_open,391,1.979539641943734,1.0,3.3402528351245424,-0.24296675191815856
