candidate,sample,n,mae,median_absolute_error,rmse,signed_bias,detail
none,selection_2024,278,2.722069729652573,2.3653223528877128,3.465404476445542,1.1572554705483324,"{""intercept"": 0.0}"
none,locked_2025,392,2.5595028116706646,2.107322012481756,3.3210754399656754,1.0895869698803518,"{""intercept"": 0.0}"
fixed_intercept,selection_2024,278,2.549899584943981,2.1245282521000703,3.266464137451192,-2.964854580869483e-15,"{""intercept"": -1.1572554705483324}"
fixed_intercept,locked_2025,392,2.380524311539893,1.8309436922002824,3.137980455482923,-0.06766850066798373,"{""intercept"": -1.1572554705483324}"
projected_total_band,selection_2024,278,2.554267622060331,2.136821192406405,3.2651705674543647,-1.2268363782908205e-15,"{""corrections"": {""high"": -1.0290281351897321, ""low"": -1.1986983647946416, ""middle"": -1.2421934341901497}, ""stable"": true}"
projected_total_band,locked_2025,392,2.3949686807734665,1.88307668441956,3.152767662055707,-0.07292739568360981,"{""corrections"": {""high"": -1.0290281351897321, ""low"": -1.1986983647946416, ""middle"": -1.2421934341901497}, ""stable"": true}"
