team,conference,rank,combo,avg_total_wins,avg_conference_wins,conference_title_pct,make_title_game_pct,bowl_eligibility_pct,win_distribution
Penn State,B1G,18,15.2667,9.5708,6.6301,0.0148,0.0892,0.9995,"[{""wins"":5,""probability"":0.0005},{""wins"":6,""probability"":0.0063},{""wins"":7,""probability"":0.0298},{""wins"":8,""probability"":0.131},{""wins"":9,""probability"":0.2967},{""wins"":10,""probability"":0.3253},{""wins"":11,""probability"":0.1742},{""wins"":12,""probability"":0.0362}]"
BYU,B12,19,14.4,8.1233,6.9905,0.1548,0.5054,0.9762,"[{""wins"":3,""probability"":0.0004},{""wins"":4,""probability"":0.0036},{""wins"":5,""probability"":0.0198},{""wins"":6,""probability"":0.0793},{""wins"":7,""probability"":0.1889},{""wins"":8,""probability"":0.3087},{""wins"":9,""probability"":0.2664},{""wins"":10,""probability"":0.1185},{""wins"":11,""probability"":0.0144}]"
Florida,SEC,17,15.3,6.0457,4.3811,0.0035,0.0138,0.6525,"[{""wins"":1,""probability"":0.0004},{""wins"":2,""probability"":0.0058},{""wins"":3,""probability"":0.0296},{""wins"":4,""probability"":0.1018},{""wins"":5,""probability"":0.2099},{""wins"":6,""probability"":0.2688},{""wins"":7,""probability"":0.232},{""wins"":8,""probability"":0.1171},{""wins"":9,""probability"":0.0316},{""wins"":10,""probability"":0.0028},{""wins"":11,""probability"":0.0002}]"
Missouri,SEC,20,14.1333,5.9421,4.1995,0.0019,0.0119,0.6224,"[{""wins"":1,""probability"":0.0002},{""wins"":2,""probability"":0.005},{""wins"":3,""probability"":0.0286},{""wins"":4,""probability"":0.1105},{""wins"":5,""probability"":0.2333},{""wins"":6,""probability"":0.2821},{""wins"":7,""probability"":0.2097},{""wins"":8,""probability"":0.1012},{""wins"":9,""probability"":0.0265},{""wins"":10,""probability"":0.0029}]"
Washington,B1G,21,13.6,6.7962,4.877,0.0014,0.0129,0.8587,"[{""wins"":2,""probability"":0.0003},{""wins"":3,""probability"":0.0034},{""wins"":4,""probability"":0.0278},{""wins"":5,""probability"":0.1098},{""wins"":6,""probability"":0.2548},{""wins"":7,""probability"":0.3188},{""wins"":8,""probability"":0.2102},{""wins"":9,""probability"":0.0661},{""wins"":10,""probability"":0.0085},{""wins"":11,""probability"":0.0003}]"
Iowa,B1G,22,12.7,7.1741,5.2703,0.0016,0.0115,0.9102,"[{""wins"":2,""probability"":0.0002},{""wins"":3,""probability"":0.0014},{""wins"":4,""probability"":0.0161},{""wins"":5,""probability"":0.0721},{""wins"":6,""probability"":0.1995},{""wins"":7,""probability"":0.3041},{""wins"":8,""probability"":0.2644},{""wins"":9,""probability"":0.1193},{""wins"":10,""probability"":0.0219},{""wins"":11,""probability"":0.001}]"
Clemson,ACC,23,12.6,7.2417,5.5193,0.0346,0.1044,0.9067,"[{""wins"":2,""probability"":0.0002},{""wins"":3,""probability"":0.0048},{""wins"":4,""probability"":0.0187},{""wins"":5,""probability"":0.0696},{""wins"":6,""probability"":0.1832},{""wins"":7,""probability"":0.289},{""wins"":8,""probability"":0.2663},{""wins"":9,""probability"":0.1334},{""wins"":10,""probability"":0.0319},{""wins"":11,""probability"":0.0029}]"
South Carolina,SEC,26,12.0,5.1102,3.7243,0.0005,0.0038,0.379,"[{""wins"":1,""probability"":0.0018},{""wins"":2,""probability"":0.0178},{""wins"":3,""probability"":0.0897},{""wins"":4,""probability"":0.2241},{""wins"":5,""probability"":0.2876},{""wins"":6,""probability"":0.2287},{""wins"":7,""probability"":0.1103},{""wins"":8,""probability"":0.0354},{""wins"":9,""probability"":0.0042},{""wins"":10,""probability"":0.0004}]"
Utah,B12,28,11.0667,7.9499,6.1844,0.0595,0.2604,0.958,"[{""wins"":2,""probability"":0.0002},{""wins"":3,""probability"":0.0013},{""wins"":4,""probability"":0.0066},{""wins"":5,""probability"":0.0339},{""wins"":6,""probability"":0.1057},{""wins"":7,""probability"":0.2148},{""wins"":8,""probability"":0.2785},{""wins"":9,""probability"":0.2284},{""wins"":10,""probability"":0.1083},{""wins"":11,""probability"":0.0223}]"
Auburn,SEC,24,12.2,5.4643,3.7192,0.001,0.004,0.4847,"[{""wins"":1,""probability"":0.001},{""wins"":2,""probability"":0.0095},{""wins"":3,""probability"":0.0529},{""wins"":4,""probability"":0.1646},{""wins"":5,""probability"":0.2873},{""wins"":6,""probability"":0.2696},{""wins"":7,""probability"":0.1587},{""wins"":8,""probability"":0.0464},{""wins"":9,""probability"":0.009},{""wins"":10,""probability"":0.001}]"
Louisville,ACC,27,11.4,7.4551,6.5912,0.0912,0.3524,0.9072,"[{""wins"":1,""probability"":0.0001},{""wins"":2,""probability"":0.0005},{""wins"":3,""probability"":0.0033},{""wins"":4,""probability"":0.0203},{""wins"":5,""probability"":0.0686},{""wins"":6,""probability"":0.1581},{""wins"":7,""probability"":0.248},{""wins"":8,""probability"":0.2574},{""wins"":9,""probability"":0.1699},{""wins"":10,""probability"":0.0648},{""wins"":11,""probability"":0.009}]"
SMU,ACC,25,12.1333,7.9396,6.8885,0.1064,0.4114,0.9732,"[{""wins"":3,""probability"":0.0001},{""wins"":4,""probability"":0.0039},{""wins"":5,""probability"":0.0228},{""wins"":6,""probability"":0.0831},{""wins"":7,""probability"":0.2304},{""wins"":8,""probability"":0.3274},{""wins"":9,""probability"":0.2481},{""wins"":10,""probability"":0.08},{""wins"":11,""probability"":0.0042}]"
Kansas State,B12,32,8.5667,7.5309,5.7067,0.0184,0.09,0.915,"[{""wins"":1,""probability"":0.0001},{""wins"":2,""probability"":0.0004},{""wins"":3,""probability"":0.0029},{""wins"":4,""probability"":0.0187},{""wins"":5,""probability"":0.0629},{""wins"":6,""probability"":0.1506},{""wins"":7,""probability"":0.2402},{""wins"":8,""probability"":0.2609},{""wins"":9,""probability"":0.1839},{""wins"":10,""probability"":0.0687},{""wins"":11,""probability"":0.0107}]"
