team,conference,rank,combo,avg_total_wins,avg_conference_wins,conference_title_pct,make_title_game_pct,bowl_eligibility_pct,win_distribution
Central Florida,B12,59,2.5667,4.7752,3.5396,0.0001,0.0049,0.3033,"[{""wins"":0,""probability"":0.0001},{""wins"":1,""probability"":0.008},{""wins"":2,""probability"":0.0464},{""wins"":3,""probability"":0.1372},{""wins"":4,""probability"":0.2455},{""wins"":5,""probability"":0.2595},{""wins"":6,""probability"":0.1791},{""wins"":7,""probability"":0.0905},{""wins"":8,""probability"":0.0285},{""wins"":9,""probability"":0.0048},{""wins"":10,""probability"":0.0004}]"
Rutgers,B1G,64,0.8,3.7111,2.1343,0.0,0.0,0.0803,"[{""wins"":0,""probability"":0.0001},{""wins"":1,""probability"":0.0278},{""wins"":2,""probability"":0.136},{""wins"":3,""probability"":0.2873},{""wins"":4,""probability"":0.295},{""wins"":5,""probability"":0.1735},{""wins"":6,""probability"":0.0634},{""wins"":7,""probability"":0.014},{""wins"":8,""probability"":0.0026},{""wins"":9,""probability"":0.0003}]"
Wisconsin,B1G,46,5.0,5.1196,4.1235,0.0002,0.0011,0.3894,"[{""wins"":0,""probability"":0.0001},{""wins"":1,""probability"":0.0016},{""wins"":2,""probability"":0.0212},{""wins"":3,""probability"":0.0874},{""wins"":4,""probability"":0.2096},{""wins"":5,""probability"":0.2907},{""wins"":6,""probability"":0.2421},{""wins"":7,""probability"":0.1134},{""wins"":8,""probability"":0.0302},{""wins"":9,""probability"":0.0035},{""wins"":10,""probability"":0.0002}]"
Navy,American,65,0.4333,7.7084,6.4494,0.3925,0.631,0.955,"[{""wins"":2,""probability"":0.0001},{""wins"":3,""probability"":0.0009},{""wins"":4,""probability"":0.0079},{""wins"":5,""probability"":0.0361},{""wins"":6,""probability"":0.1182},{""wins"":7,""probability"":0.25},{""wins"":8,""probability"":0.3142},{""wins"":9,""probability"":0.2061},{""wins"":10,""probability"":0.0658},{""wins"":11,""probability"":0.0007}]"
Iowa State,B12,68,0.0333,3.7219,2.696,0.0,0.0014,0.0951,"[{""wins"":0,""probability"":0.0018},{""wins"":1,""probability"":0.0336},{""wins"":2,""probability"":0.1491},{""wins"":3,""probability"":0.266},{""wins"":4,""probability"":0.2788},{""wins"":5,""probability"":0.1756},{""wins"":6,""probability"":0.0715},{""wins"":7,""probability"":0.0194},{""wins"":8,""probability"":0.0037},{""wins"":9,""probability"":0.0005}]"
Colorado,B12,62,1.3333,3.2798,2.6393,0.0003,0.0011,0.0694,"[{""wins"":0,""probability"":0.0167},{""wins"":1,""probability"":0.0925},{""wins"":2,""probability"":0.2016},{""wins"":3,""probability"":0.2598},{""wins"":4,""probability"":0.2339},{""wins"":5,""probability"":0.1261},{""wins"":6,""probability"":0.0511},{""wins"":7,""probability"":0.0149},{""wins"":8,""probability"":0.0029},{""wins"":9,""probability"":0.0005}]"
West Virginia,B12,61,1.8333,4.4068,3.1877,0.0,0.001,0.2152,"[{""wins"":0,""probability"":0.0008},{""wins"":1,""probability"":0.0129},{""wins"":2,""probability"":0.0702},{""wins"":3,""probability"":0.1789},{""wins"":4,""probability"":0.2696},{""wins"":5,""probability"":0.2524},{""wins"":6,""probability"":0.147},{""wins"":7,""probability"":0.0529},{""wins"":8,""probability"":0.0137},{""wins"":9,""probability"":0.0015},{""wins"":10,""probability"":0.0001}]"
Michigan State,B1G,67,0.1333,3.9029,2.1434,0.0,0.0,0.1072,"[{""wins"":0,""probability"":0.0013},{""wins"":1,""probability"":0.02},{""wins"":2,""probability"":0.1101},{""wins"":3,""probability"":0.2583},{""wins"":4,""probability"":0.3003},{""wins"":5,""probability"":0.2028},{""wins"":6,""probability"":0.0812},{""wins"":7,""probability"":0.0228},{""wins"":8,""probability"":0.003},{""wins"":9,""probability"":0.0002}]"
New Mexico,MW,75,-2.0333,7.2771,5.534,0.1998,0.4292,0.9095,"[{""wins"":3,""probability"":0.0048},{""wins"":4,""probability"":0.0188},{""wins"":5,""probability"":0.0669},{""wins"":6,""probability"":0.1763},{""wins"":7,""probability"":0.2832},{""wins"":8,""probability"":0.2733},{""wins"":9,""probability"":0.1414},{""wins"":10,""probability"":0.0345},{""wins"":11,""probability"":0.0008}]"
Syracuse,ACC,69,-0.5667,3.1684,2.3642,0.0001,0.0007,0.0412,"[{""wins"":0,""probability"":0.0112},{""wins"":1,""probability"":0.0851},{""wins"":2,""probability"":0.2181},{""wins"":3,""probability"":0.2995},{""wins"":4,""probability"":0.2304},{""wins"":5,""probability"":0.1145},{""wins"":6,""probability"":0.0348},{""wins"":7,""probability"":0.0056},{""wins"":8,""probability"":0.0007},{""wins"":9,""probability"":0.0001}]"
Memphis,American,71,-1.5,6.4731,5.1566,0.1156,0.2387,0.7648,"[{""wins"":2,""probability"":0.0009},{""wins"":3,""probability"":0.0127},{""wins"":4,""probability"":0.0572},{""wins"":5,""probability"":0.1644},{""wins"":6,""probability"":0.2754},{""wins"":7,""probability"":0.2633},{""wins"":8,""probability"":0.1584},{""wins"":9,""probability"":0.0583},{""wins"":10,""probability"":0.0084},{""wins"":11,""probability"":0.001}]"
San Diego State,PAC12,66,0.4,6.6347,4.9911,0.1619,0.4472,0.7788,"[{""wins"":1,""probability"":0.0002},{""wins"":2,""probability"":0.0023},{""wins"":3,""probability"":0.0176},{""wins"":4,""probability"":0.0604},{""wins"":5,""probability"":0.1407},{""wins"":6,""probability"":0.2329},{""wins"":7,""probability"":0.2578},{""wins"":8,""probability"":0.1857},{""wins"":9,""probability"":0.081},{""wins"":10,""probability"":0.02},{""wins"":11,""probability"":0.0014}]"
North Dakota State,MW,84,-4.1667,7.4302,5.0391,0.0887,0.2246,0.9286,"[{""wins"":2,""probability"":0.0001},{""wins"":3,""probability"":0.0023},{""wins"":4,""probability"":0.0129},{""wins"":5,""probability"":0.0561},{""wins"":6,""probability"":0.1616},{""wins"":7,""probability"":0.2814},{""wins"":8,""probability"":0.2769},{""wins"":9,""probability"":0.1566},{""wins"":10,""probability"":0.0461},{""wins"":11,""probability"":0.006}]"
Boston College,ACC,81,-3.4667,2.0495,1.4139,0.0,0.0,0.0048,"[{""wins"":0,""probability"":0.0893},{""wins"":1,""probability"":0.2585},{""wins"":2,""probability"":0.3189},{""wins"":3,""probability"":0.2159},{""wins"":4,""probability"":0.0874},{""wins"":5,""probability"":0.0252},{""wins"":6,""probability"":0.004},{""wins"":7,""probability"":0.0005},{""wins"":8,""probability"":0.0003}]"
UTSA,American,79,-2.7667,6.4927,5.2122,0.0859,0.195,0.7712,"[{""wins"":1,""probability"":0.0001},{""wins"":2,""probability"":0.0023},{""wins"":3,""probability"":0.0152},{""wins"":4,""probability"":0.0629},{""wins"":5,""probability"":0.1483},{""wins"":6,""probability"":0.2645},{""wins"":7,""probability"":0.2622},{""wins"":8,""probability"":0.181},{""wins"":9,""probability"":0.0562},{""wins"":10,""probability"":0.0072},{""wins"":11,""probability"":0.0001}]"
Stanford,ACC,78,-2.7333,2.0533,1.4371,0.0,0.0002,0.0039,"[{""wins"":0,""probability"":0.076},{""wins"":1,""probability"":0.2677},{""wins"":2,""probability"":0.3257},{""wins"":3,""probability"":0.2176},{""wins"":4,""probability"":0.088},{""wins"":5,""probability"":0.0211},{""wins"":6,""probability"":0.0034},{""wins"":7,""probability"":0.0005}]"
East Carolina,American,77,-2.1,7.1279,5.7267,0.1226,0.2708,0.8959,"[{""wins"":1,""probability"":0.0001},{""wins"":2,""probability"":0.0003},{""wins"":3,""probability"":0.0042},{""wins"":4,""probability"":0.0224},{""wins"":5,""probability"":0.0771},{""wins"":6,""probability"":0.2013},{""wins"":7,""probability"":0.2967},{""wins"":8,""probability"":0.2524},{""wins"":9,""probability"":0.1196},{""wins"":10,""probability"":0.0257},{""wins"":11,""probability"":0.0002}]"
James Madison,Sun Belt,72,-1.8667,7.3366,6.2382,0.4342,0.6279,0.9216,"[{""wins"":3,""probability"":0.0021},{""wins"":4,""probability"":0.0145},{""wins"":5,""probability"":0.0618},{""wins"":6,""probability"":0.1745},{""wins"":7,""probability"":0.2817},{""wins"":8,""probability"":0.2773},{""wins"":9,""probability"":0.155},{""wins"":10,""probability"":0.0331}]"
Fresno State,PAC12,70,-0.9333,7.3458,4.5895,0.1012,0.285,0.9058,"[{""wins"":2,""probability"":0.0004},{""wins"":3,""probability"":0.0032},{""wins"":4,""probability"":0.0165},{""wins"":5,""probability"":0.0741},{""wins"":6,""probability"":0.177},{""wins"":7,""probability"":0.2629},{""wins"":8,""probability"":0.2587},{""wins"":9,""probability"":0.1524},{""wins"":10,""probability"":0.0475},{""wins"":11,""probability"":0.0072},{""wins"":12,""probability"":0.0001}]"
Air Force,MW,87,-5.5333,6.8172,5.2824,0.0984,0.2533,0.8213,"[{""wins"":2,""probability"":0.0008},{""wins"":3,""probability"":0.0085},{""wins"":4,""probability"":0.046},{""wins"":5,""probability"":0.1234},{""wins"":6,""probability"":0.2288},{""wins"":7,""probability"":0.2693},{""wins"":8,""probability"":0.2052},{""wins"":9,""probability"":0.0928},{""wins"":10,""probability"":0.0228},{""wins"":11,""probability"":0.0024}]"
South Florida,American,75,-2.0333,7.6796,4.967,0.0842,0.1914,0.9394,"[{""wins"":2,""probability"":0.0001},{""wins"":3,""probability"":0.0012},{""wins"":4,""probability"":0.0105},{""wins"":5,""probability"":0.0488},{""wins"":6,""probability"":0.1349},{""wins"":7,""probability"":0.2414},{""wins"":8,""probability"":0.2799},{""wins"":9,""probability"":0.194},{""wins"":10,""probability"":0.0758},{""wins"":11,""probability"":0.0134}]"
Miami-OH,MAC,91,-6.8333,7.0698,6.0833,0.3044,0.5456,0.8944,"[{""wins"":2,""probability"":0.0005},{""wins"":3,""probability"":0.0031},{""wins"":4,""probability"":0.0223},{""wins"":5,""probability"":0.0797},{""wins"":6,""probability"":0.2087},{""wins"":7,""probability"":0.3078},{""wins"":8,""probability"":0.2546},{""wins"":9,""probability"":0.1057},{""wins"":10,""probability"":0.0167},{""wins"":11,""probability"":0.0009}]"
Purdue,B1G,73,-1.9667,1.9358,1.5692,0.0,0.0,0.0031,"[{""wins"":0,""probability"":0.1077},{""wins"":1,""probability"":0.2779},{""wins"":2,""probability"":0.3117},{""wins"":3,""probability"":0.2021},{""wins"":4,""probability"":0.078},{""wins"":5,""probability"":0.0195},{""wins"":6,""probability"":0.003},{""wins"":7,""probability"":0.0001}]"
Army,American,80,-3.2667,6.3956,4.756,0.0527,0.1259,0.7169,"[{""wins"":1,""probability"":0.0006},{""wins"":2,""probability"":0.0061},{""wins"":3,""probability"":0.0271},{""wins"":4,""probability"":0.079},{""wins"":5,""probability"":0.1703},{""wins"":6,""probability"":0.2369},{""wins"":7,""probability"":0.2353},{""wins"":8,""probability"":0.1579},{""wins"":9,""probability"":0.067},{""wins"":10,""probability"":0.0185},{""wins"":11,""probability"":0.0013}]"
Hawaii,MW,85,-4.2,7.8592,5.5293,0.1544,0.3669,0.9495,"[{""wins"":2,""probability"":0.0001},{""wins"":3,""probability"":0.0006},{""wins"":4,""probability"":0.0076},{""wins"":5,""probability"":0.0422},{""wins"":6,""probability"":0.1133},{""wins"":7,""probability"":0.2192},{""wins"":8,""probability"":0.2889},{""wins"":9,""probability"":0.2131},{""wins"":10,""probability"":0.0941},{""wins"":11,""probability"":0.0193},{""wins"":12,""probability"":0.0016}]"
Washington State,PAC12,82,-3.6667,4.4432,4.1175,0.0489,0.1664,0.2237,"[{""wins"":0,""probability"":0.0008},{""wins"":1,""probability"":0.0132},{""wins"":2,""probability"":0.0621},{""wins"":3,""probability"":0.1737},{""wins"":4,""probability"":0.2753},{""wins"":5,""probability"":0.2512},{""wins"":6,""probability"":0.1546},{""wins"":7,""probability"":0.0544},{""wins"":8,""probability"":0.0133},{""wins"":9,""probability"":0.0013},{""wins"":10,""probability"":0.0001}]"
Western Kentucky,CUSA,89,-6.2,6.7584,6.0477,0.3842,0.6468,0.843,"[{""wins"":1,""probability"":0.0001},{""wins"":2,""probability"":0.0007},{""wins"":3,""probability"":0.0051},{""wins"":4,""probability"":0.033},{""wins"":5,""probability"":0.1181},{""wins"":6,""probability"":0.2342},{""wins"":7,""probability"":0.3206},{""wins"":8,""probability"":0.2243},{""wins"":9,""probability"":0.0637},{""wins"":10,""probability"":0.0002}]"
Tulane,American,74,-2.0,7.6363,5.5307,0.1316,0.2904,0.9416,"[{""wins"":2,""probability"":0.0003},{""wins"":3,""probability"":0.0011},{""wins"":4,""probability"":0.0109},{""wins"":5,""probability"":0.0461},{""wins"":6,""probability"":0.1423},{""wins"":7,""probability"":0.249},{""wins"":8,""probability"":0.2817},{""wins"":9,""probability"":0.1897},{""wins"":10,""probability"":0.0677},{""wins"":11,""probability"":0.0108},{""wins"":12,""probability"":0.0004}]"
Old Dominion,Sun Belt,86,-4.9333,6.7216,5.5224,0.192,0.3741,0.8069,"[{""wins"":1,""probability"":0.0001},{""wins"":2,""probability"":0.0025},{""wins"":3,""probability"":0.0124},{""wins"":4,""probability"":0.05},{""wins"":5,""probability"":0.1281},{""wins"":6,""probability"":0.2368},{""wins"":7,""probability"":0.2685},{""wins"":8,""probability"":0.1961},{""wins"":9,""probability"":0.0864},{""wins"":10,""probability"":0.018},{""wins"":11,""probability"":0.0011}]"
Texas State,PAC12,83,-4.0667,5.3622,4.0601,0.0353,0.1441,0.4663,"[{""wins"":0,""probability"":0.0001},{""wins"":1,""probability"":0.0034},{""wins"":2,""probability"":0.0193},{""wins"":3,""probability"":0.0773},{""wins"":4,""probability"":0.1744},{""wins"":5,""probability"":0.2592},{""wins"":6,""probability"":0.2485},{""wins"":7,""probability"":0.1512},{""wins"":8,""probability"":0.0547},{""wins"":9,""probability"":0.0113},{""wins"":10,""probability"":0.0006}]"
Troy,Sun Belt,92,-7.0333,6.1412,4.8174,0.0756,0.1741,0.6842,"[{""wins"":1,""probability"":0.0003},{""wins"":2,""probability"":0.0028},{""wins"":3,""probability"":0.0254},{""wins"":4,""probability"":0.0836},{""wins"":5,""probability"":0.2037},{""wins"":6,""probability"":0.281},{""wins"":7,""probability"":0.2438},{""wins"":8,""probability"":0.1244},{""wins"":9,""probability"":0.0316},{""wins"":10,""probability"":0.0034}]"
Oregon State,PAC12,96,-8.1333,3.6671,2.797,0.004,0.031,0.0899,"[{""wins"":0,""probability"":0.0048},{""wins"":1,""probability"":0.0442},{""wins"":2,""probability"":0.1422},{""wins"":3,""probability"":0.2686},{""wins"":4,""probability"":0.2791},{""wins"":5,""probability"":0.1712},{""wins"":6,""probability"":0.0714},{""wins"":7,""probability"":0.0162},{""wins"":8,""probability"":0.0022},{""wins"":9,""probability"":0.0001}]"
Liberty,CUSA,93,-7.5333,7.3396,5.7658,0.285,0.5276,0.9127,"[{""wins"":2,""probability"":0.0004},{""wins"":3,""probability"":0.0029},{""wins"":4,""probability"":0.015},{""wins"":5,""probability"":0.069},{""wins"":6,""probability"":0.1647},{""wins"":7,""probability"":0.278},{""wins"":8,""probability"":0.279},{""wins"":9,""probability"":0.1511},{""wins"":10,""probability"":0.0399}]"
Marshall,Sun Belt,95,-8.0,6.3868,4.7753,0.056,0.1442,0.7537,"[{""wins"":1,""probability"":0.0002},{""wins"":2,""probability"":0.0023},{""wins"":3,""probability"":0.0157},{""wins"":4,""probability"":0.0627},{""wins"":5,""probability"":0.1654},{""wins"":6,""probability"":0.2757},{""wins"":7,""probability"":0.2786},{""wins"":8,""probability"":0.1468},{""wins"":9,""probability"":0.0478},{""wins"":10,""probability"":0.0047},{""wins"":11,""probability"":0.0001}]"
Florida Atlantic,American,101,-9.0333,4.529,2.9504,0.0025,0.0099,0.2363,"[{""wins"":0,""probability"":0.0007},{""wins"":1,""probability"":0.011},{""wins"":2,""probability"":0.0572},{""wins"":3,""probability"":0.1648},{""wins"":4,""probability"":0.2575},{""wins"":5,""probability"":0.2725},{""wins"":6,""probability"":0.1565},{""wins"":7,""probability"":0.0628},{""wins"":8,""probability"":0.0149},{""wins"":9,""probability"":0.0021}]"
Western Michigan,MAC,90,-6.5,6.6627,5.7878,0.272,0.4864,0.809,"[{""wins"":2,""probability"":0.0011},{""wins"":3,""probability"":0.0099},{""wins"":4,""probability"":0.0454},{""wins"":5,""probability"":0.1346},{""wins"":6,""probability"":0.2482},{""wins"":7,""probability"":0.2846},{""wins"":8,""probability"":0.1999},{""wins"":9,""probability"":0.0676},{""wins"":10,""probability"":0.0085},{""wins"":11,""probability"":0.0002}]"
Tulsa,American,98,-8.9667,4.4257,3.4011,0.0032,0.0109,0.2087,"[{""wins"":0,""probability"":0.0003},{""wins"":1,""probability"":0.0081},{""wins"":2,""probability"":0.0571},{""wins"":3,""probability"":0.1789},{""wins"":4,""probability"":0.2868},{""wins"":5,""probability"":0.2601},{""wins"":6,""probability"":0.153},{""wins"":7,""probability"":0.0459},{""wins"":8,""probability"":0.0087},{""wins"":9,""probability"":0.0009},{""wins"":10,""probability"":0.0002}]"
Jacksonville State,CUSA,98,-8.9667,6.6652,5.3358,0.1416,0.3149,0.7964,"[{""wins"":1,""probability"":0.0001},{""wins"":2,""probability"":0.0015},{""wins"":3,""probability"":0.0111},{""wins"":4,""probability"":0.0471},{""wins"":5,""probability"":0.1438},{""wins"":6,""probability"":0.2487},{""wins"":7,""probability"":0.266},{""wins"":8,""probability"":0.1896},{""wins"":9,""probability"":0.0721},{""wins"":10,""probability"":0.0185},{""wins"":11,""probability"":0.0015}]"
Utah State,PAC12,88,-6.0667,3.6924,2.982,0.0082,0.0427,0.0946,"[{""wins"":0,""probability"":0.0049},{""wins"":1,""probability"":0.0455},{""wins"":2,""probability"":0.1432},{""wins"":3,""probability"":0.2568},{""wins"":4,""probability"":0.2748},{""wins"":5,""probability"":0.1802},{""wins"":6,""probability"":0.075},{""wins"":7,""probability"":0.0172},{""wins"":8,""probability"":0.0021},{""wins"":9,""probability"":0.0003}]"
Colorado State,PAC12,106,-10.4667,2.7206,1.8835,0.0006,0.0061,0.0232,"[{""wins"":0,""probability"":0.0329},{""wins"":1,""probability"":0.14},{""wins"":2,""probability"":0.2811},{""wins"":3,""probability"":0.2836},{""wins"":4,""probability"":0.1719},{""wins"":5,""probability"":0.0673},{""wins"":6,""probability"":0.0193},{""wins"":7,""probability"":0.0035},{""wins"":8,""probability"":0.0004}]"
Louisiana Tech,Sun Belt,97,-8.8333,5.0277,4.5711,0.0505,0.1459,0.3741,"[{""wins"":0,""probability"":0.0003},{""wins"":1,""probability"":0.0046},{""wins"":2,""probability"":0.0275},{""wins"":3,""probability"":0.1129},{""wins"":4,""probability"":0.2158},{""wins"":5,""probability"":0.2648},{""wins"":6,""probability"":0.223},{""wins"":7,""probability"":0.11},{""wins"":8,""probability"":0.0362},{""wins"":9,""probability"":0.0044},{""wins"":10,""probability"":0.0005}]"
Arkansas State,Sun Belt,104,-9.5667,5.8066,4.9473,0.0525,0.1505,0.5874,"[{""wins"":1,""probability"":0.0011},{""wins"":2,""probability"":0.0093},{""wins"":3,""probability"":0.0416},{""wins"":4,""probability"":0.1249},{""wins"":5,""probability"":0.2357},{""wins"":6,""probability"":0.2671},{""wins"":7,""probability"":0.2055},{""wins"":8,""probability"":0.0922},{""wins"":9,""probability"":0.0208},{""wins"":10,""probability"":0.0017},{""wins"":11,""probability"":0.0001}]"
Temple,American,103,-9.4,4.647,3.6034,0.003,0.0105,0.2415,"[{""wins"":0,""probability"":0.0002},{""wins"":1,""probability"":0.0051},{""wins"":2,""probability"":0.0351},{""wins"":3,""probability"":0.1385},{""wins"":4,""probability"":0.2769},{""wins"":5,""probability"":0.3027},{""wins"":6,""probability"":0.17},{""wins"":7,""probability"":0.0585},{""wins"":8,""probability"":0.0115},{""wins"":9,""probability"":0.0014},{""wins"":10,""probability"":0.0001}]"
Georgia Southern,Sun Belt,105,-9.7667,4.6269,4.1375,0.0325,0.0759,0.2759,"[{""wins"":0,""probability"":0.0011},{""wins"":1,""probability"":0.0117},{""wins"":2,""probability"":0.0554},{""wins"":3,""probability"":0.1536},{""wins"":4,""probability"":0.2424},{""wins"":5,""probability"":0.2599},{""wins"":6,""probability"":0.1817},{""wins"":7,""probability"":0.0722},{""wins"":8,""probability"":0.0194},{""wins"":9,""probability"":0.0023},{""wins"":10,""probability"":0.0003}]"
Louisiana,Sun Belt,102,-9.2333,6.9585,5.2341,0.075,0.2086,0.8567,"[{""wins"":1,""probability"":0.0002},{""wins"":2,""probability"":0.0013},{""wins"":3,""probability"":0.007},{""wins"":4,""probability"":0.0317},{""wins"":5,""probability"":0.1031},{""wins"":6,""probability"":0.2122},{""wins"":7,""probability"":0.2793},{""wins"":8,""probability"":0.2419},{""wins"":9,""probability"":0.1042},{""wins"":10,""probability"":0.019},{""wins"":11,""probability"":0.0001}]"
Kennesaw State,CUSA,108,-10.8333,6.0508,4.8278,0.0928,0.2329,0.6549,"[{""wins"":0,""probability"":0.0001},{""wins"":1,""probability"":0.0007},{""wins"":2,""probability"":0.0053},{""wins"":3,""probability"":0.0313},{""wins"":4,""probability"":0.1005},{""wins"":5,""probability"":0.2072},{""wins"":6,""probability"":0.2705},{""wins"":7,""probability"":0.2278},{""wins"":8,""probability"":0.1217},{""wins"":9,""probability"":0.0326},{""wins"":10,""probability"":0.0023}]"
Wyoming,MW,113,-12.0,4.5952,3.1865,0.0052,0.0203,0.266,"[{""wins"":0,""probability"":0.0014},{""wins"":1,""probability"":0.0123},{""wins"":2,""probability"":0.064},{""wins"":3,""probability"":0.151},{""wins"":4,""probability"":0.2521},{""wins"":5,""probability"":0.2532},{""wins"":6,""probability"":0.1648},{""wins"":7,""probability"":0.0746},{""wins"":8,""probability"":0.0233},{""wins"":9,""probability"":0.003},{""wins"":10,""probability"":0.0002},{""wins"":11,""probability"":0.0001}]"
Connecticut,Independent,111,-11.1,3.8021,0.0,0.0,0.0,0.1116,"[{""wins"":0,""probability"":0.0029},{""wins"":1,""probability"":0.0365},{""wins"":2,""probability"":0.1374},{""wins"":3,""probability"":0.2512},{""wins"":4,""probability"":0.2712},{""wins"":5,""probability"":0.1892},{""wins"":6,""probability"":0.0817},{""wins"":7,""probability"":0.024},{""wins"":8,""probability"":0.005},{""wins"":9,""probability"":0.0008},{""wins"":10,""probability"":0.0001}]"
Toledo,MAC,94,-7.7,7.1091,5.9608,0.2376,0.4612,0.8773,"[{""wins"":2,""probability"":0.0009},{""wins"":3,""probability"":0.0046},{""wins"":4,""probability"":0.0269},{""wins"":5,""probability"":0.0903},{""wins"":6,""probability"":0.1993},{""wins"":7,""probability"":0.2772},{""wins"":8,""probability"":0.2451},{""wins"":9,""probability"":0.1222},{""wins"":10,""probability"":0.0309},{""wins"":11,""probability"":0.0026}]"
North Texas,American,98,-8.9667,4.6851,4.1932,0.0062,0.025,0.255,"[{""wins"":1,""probability"":0.0042},{""wins"":2,""probability"":0.0329},{""wins"":3,""probability"":0.1367},{""wins"":4,""probability"":0.2751},{""wins"":5,""probability"":0.2961},{""wins"":6,""probability"":0.1766},{""wins"":7,""probability"":0.0642},{""wins"":8,""probability"":0.0129},{""wins"":9,""probability"":0.0011},{""wins"":10,""probability"":0.0002}]"
Buffalo,MAC,115,-13.0667,4.8788,4.4173,0.0287,0.0858,0.321,"[{""wins"":0,""probability"":0.0002},{""wins"":1,""probability"":0.004},{""wins"":2,""probability"":0.0298},{""wins"":3,""probability"":0.1148},{""wins"":4,""probability"":0.2387},{""wins"":5,""probability"":0.2915},{""wins"":6,""probability"":0.2119},{""wins"":7,""probability"":0.0876},{""wins"":8,""probability"":0.0196},{""wins"":9,""probability"":0.0019}]"
Appalachian State,Sun Belt,110,-10.9333,5.0076,3.8939,0.0132,0.0376,0.3523,"[{""wins"":0,""probability"":0.0001},{""wins"":1,""probability"":0.0028},{""wins"":2,""probability"":0.0239},{""wins"":3,""probability"":0.1034},{""wins"":4,""probability"":0.2249},{""wins"":5,""probability"":0.2926},{""wins"":6,""probability"":0.2219},{""wins"":7,""probability"":0.0962},{""wins"":8,""probability"":0.0289},{""wins"":9,""probability"":0.0048},{""wins"":10,""probability"":0.0005}]"
Nevada,MW,118,-14.0667,3.6526,2.6704,0.0013,0.0064,0.0839,"[{""wins"":0,""probability"":0.007},{""wins"":1,""probability"":0.0432},{""wins"":2,""probability"":0.1447},{""wins"":3,""probability"":0.2633},{""wins"":4,""probability"":0.2852},{""wins"":5,""probability"":0.1727},{""wins"":6,""probability"":0.0646},{""wins"":7,""probability"":0.0163},{""wins"":8,""probability"":0.0029},{""wins"":9,""probability"":0.0001}]"
Central Michigan,MAC,114,-12.6,4.9512,4.2543,0.0335,0.0862,0.351,"[{""wins"":0,""probability"":0.0002},{""wins"":1,""probability"":0.0066},{""wins"":2,""probability"":0.0344},{""wins"":3,""probability"":0.1148},{""wins"":4,""probability"":0.2209},{""wins"":5,""probability"":0.2721},{""wins"":6,""probability"":0.2119},{""wins"":7,""probability"":0.1036},{""wins"":8,""probability"":0.0295},{""wins"":9,""probability"":0.0053},{""wins"":10,""probability"":0.0007}]"
Delaware,CUSA,107,-10.7,5.2118,4.456,0.0696,0.176,0.4242,"[{""wins"":0,""probability"":0.0001},{""wins"":1,""probability"":0.0039},{""wins"":2,""probability"":0.0269},{""wins"":3,""probability"":0.085},{""wins"":4,""probability"":0.1877},{""wins"":5,""probability"":0.2722},{""wins"":6,""probability"":0.2387},{""wins"":7,""probability"":0.1359},{""wins"":8,""probability"":0.0429},{""wins"":9,""probability"":0.0064},{""wins"":10,""probability"":0.0003}]"
Bowling Green,MAC,120,-14.9,4.0905,3.8582,0.0086,0.0263,0.1232,"[{""wins"":0,""probability"":0.0007},{""wins"":1,""probability"":0.0107},{""wins"":2,""probability"":0.0812},{""wins"":3,""probability"":0.2202},{""wins"":4,""probability"":0.3298},{""wins"":5,""probability"":0.2342},{""wins"":6,""probability"":0.0984},{""wins"":7,""probability"":0.0229},{""wins"":8,""probability"":0.0013},{""wins"":9,""probability"":0.0005},{""wins"":10,""probability"":0.0001}]"
South Alabama,Sun Belt,112,-11.5333,4.6043,3.8746,0.0139,0.0434,0.2703,"[{""wins"":0,""probability"":0.0009},{""wins"":1,""probability"":0.0118},{""wins"":2,""probability"":0.057},{""wins"":3,""probability"":0.1547},{""wins"":4,""probability"":0.2509},{""wins"":5,""probability"":0.2544},{""wins"":6,""probability"":0.1759},{""wins"":7,""probability"":0.0744},{""wins"":8,""probability"":0.0176},{""wins"":9,""probability"":0.0022},{""wins"":10,""probability"":0.0002}]"
Ohio,MAC,108,-10.8333,6.2238,5.2154,0.0968,0.2354,0.6971,"[{""wins"":1,""probability"":0.0003},{""wins"":2,""probability"":0.0037},{""wins"":3,""probability"":0.0294},{""wins"":4,""probability"":0.0854},{""wins"":5,""probability"":0.1841},{""wins"":6,""probability"":0.2617},{""wins"":7,""probability"":0.2459},{""wins"":8,""probability"":0.138},{""wins"":9,""probability"":0.0448},{""wins"":10,""probability"":0.0066},{""wins"":11,""probability"":0.0001}]"
Florida International,CUSA,117,-13.7667,4.912,3.9936,0.0147,0.0539,0.3367,"[{""wins"":0,""probability"":0.0001},{""wins"":1,""probability"":0.005},{""wins"":2,""probability"":0.0339},{""wins"":3,""probability"":0.1209},{""wins"":4,""probability"":0.2245},{""wins"":5,""probability"":0.2789},{""wins"":6,""probability"":0.2101},{""wins"":7,""probability"":0.0944},{""wins"":8,""probability"":0.0277},{""wins"":9,""probability"":0.004},{""wins"":10,""probability"":0.0005}]"
