conference,team,conference_title_pct,make_title_game_pct,avg_conference_wins,avg_total_wins
SEC,South Carolina,0.0005,0.0038,3.7243,5.1102
SEC,Auburn,0.001,0.004,3.7192,5.4643
SEC,Vanderbilt,0.0,0.0014,3.154,4.8222
SEC,Kentucky,0.0,0.0,1.6868,3.0525
SEC,Mississippi State,0.0,0.0001,1.5865,2.9848
SEC,Arkansas,0.0,0.0,1.4578,2.5734
Sun Belt,James Madison,0.4342,0.6279,6.2382,7.3366
Sun Belt,Louisiana,0.075,0.2086,5.2341,6.9585
Sun Belt,Troy,0.0756,0.1741,4.8174,6.1412
Sun Belt,Old Dominion,0.192,0.3741,5.5224,6.7216
Sun Belt,Arkansas State,0.0525,0.1505,4.9473,5.8066
Sun Belt,Louisiana Tech,0.0505,0.1459,4.5711,5.0277
Sun Belt,Marshall,0.056,0.1442,4.7753,6.3868
Sun Belt,Georgia Southern,0.0325,0.0759,4.1375,4.6269
Sun Belt,South Alabama,0.0139,0.0434,3.8746,4.6043
Sun Belt,Appalachian State,0.0132,0.0376,3.8939,5.0076
Sun Belt,Coastal Carolina,0.0037,0.012,2.9871,3.7233
Sun Belt,UL-Monroe,0.0001,0.0003,1.2608,1.676
Sun Belt,Southern Miss,0.0008,0.0052,2.4683,2.9733
Sun Belt,Georgia State,0.0,0.0003,1.272,1.9094
