holdout_season,training_seasons,candidate,hfa,games,mae,rmse,mean_error,median_error,within_1_point_pct,within_2_points_pct
2023,"2021,2022",selected_grid_mae,2.7,441,4.125396825396826,5.853438627351648,0.1816326530612245,0.09999999999999787,18.140589569160998,34.92063492063492
2023,"2021,2022",selected_grid_rmse,2.54,441,4.126394557823129,5.850659904249498,0.021632653061224135,-0.060000000000002274,16.780045351473923,34.01360544217687
2023,"2021,2022",training_median,2.6999999999999993,441,4.125396825396825,5.853438627351647,0.18163265306122378,0.09999999999999787,18.140589569160998,34.69387755102041
2023,"2021,2022",training_mean,2.5355951056729698,441,4.1264844536257215,5.850645275453407,0.017227758734193993,-0.06440489432703167,16.780045351473923,34.01360544217687
2023,"2021,2022",benchmark_2_40,2.4,441,4.131972789115646,5.8518171683961215,-0.11836734693877579,-0.20000000000000107,17.46031746031746,34.467120181405896
2023,"2021,2022",benchmark_2_45,2.45,441,4.129591836734694,5.851019350304844,-0.0683673469387755,-0.15000000000000213,17.233560090702948,34.467120181405896
2023,"2021,2022",benchmark_2_50,2.5,441,4.127210884353742,5.850648742058255,-0.01836734693877557,-0.10000000000000142,17.687074829931973,35.147392290249435
2023,"2021,2022",benchmark_2_55,2.55,441,4.126190476190477,5.850705424840151,0.03163265306122442,-0.05000000000000071,16.780045351473923,34.01360544217687
2023,"2021,2022",benchmark_2_60,2.6,441,4.125170068027211,5.85118938623252,0.08163265306122462,-1.7763568394002505e-15,17.233560090702948,34.24036281179138
2024,"2021,2022,2023",selected_grid_mae,2.6,436,4.169036697247706,5.477244418685216,0.4644495412844039,0.3999999999999999,17.201834862385322,33.25688073394495
2024,"2021,2022,2023",selected_grid_rmse,2.53,436,4.166788990825688,5.471753236965144,0.3944495412844036,0.3299999999999996,16.28440366972477,32.56880733944954
2024,"2021,2022,2023",training_median,2.6500000000000004,436,4.171330275229358,5.48171062499169,0.514449541284404,0.4500000000000002,16.743119266055047,32.3394495412844
2024,"2021,2022,2023",training_mean,2.5299253731343287,436,4.166786594550185,5.471747857745442,0.39437491441873274,0.32992537313432835,16.28440366972477,32.56880733944954
2024,"2021,2022,2023",benchmark_2_40,2.4,436,4.163532110091743,5.463920442823503,0.26444954128440334,0.1999999999999993,15.59633027522936,32.56880733944954
2024,"2021,2022,2023",benchmark_2_45,2.45,436,4.16467889908257,5.466568536077548,0.3144495412844037,0.25,15.825688073394495,32.56880733944954
2024,"2021,2022,2023",benchmark_2_50,2.5,436,4.165825688073395,5.469672432034799,0.36444954128440377,0.2999999999999998,16.51376146788991,33.02752293577982
2024,"2021,2022,2023",benchmark_2_55,2.55,436,4.16743119266055,5.473231355231561,0.41444954128440376,0.34999999999999964,16.28440366972477,32.56880733944954
2024,"2021,2022,2023",benchmark_2_60,2.6,436,4.169036697247706,5.477244418685216,0.4644495412844039,0.3999999999999999,17.201834862385322,33.25688073394495
2025,"2021,2022,2023,2024",selected_grid_mae,2.6,428,3.746261682242991,5.295911842448914,-0.3714953271028035,-0.29999999999999805,22.429906542056074,38.55140186915888
2025,"2021,2022,2023,2024",selected_grid_rmse,2.43,428,3.7582242990654207,5.310545231349189,-0.5414953271028039,-0.46999999999999886,21.261682242990652,38.55140186915888
2025,"2021,2022,2023,2024",training_median,2.5999999999999996,428,3.746261682242991,5.295911842448914,-0.3714953271028038,-0.29999999999999805,22.429906542056074,39.48598130841122
2025,"2021,2022,2023,2024",training_mean,2.4331081081081076,428,3.7579628694114673,5.310229209978443,-0.5383872189946958,-0.4668918918918905,21.261682242990652,38.55140186915888
2025,"2021,2022,2023,2024",benchmark_2_40,2.4,428,3.760747663551402,5.313688019994379,-0.5714953271028038,-0.4999999999999989,21.261682242990652,39.48598130841122
2025,"2021,2022,2023,2024",benchmark_2_45,2.45,428,3.7565420560747667,5.3085431938641605,-0.5214953271028037,-0.4499999999999993,21.261682242990652,38.55140186915888
2025,"2021,2022,2023,2024",benchmark_2_50,2.5,428,3.7523364485981308,5.303864752085145,-0.4714953271028038,-0.3999999999999986,22.19626168224299,39.48598130841122
2025,"2021,2022,2023,2024",benchmark_2_55,2.55,428,3.7492990654205602,5.2996539298053165,-0.4214953271028037,-0.34999999999999787,21.962616822429908,39.018691588785046
2025,"2021,2022,2023,2024",benchmark_2_60,2.6,428,3.746261682242991,5.295911842448914,-0.3714953271028035,-0.29999999999999805,22.429906542056074,38.55140186915888
