hfa,games,mae,rmse,mean_error,median_error,within_1_point_pct,within_2_points_pct,distance_from_2_5,holdout_season,training_seasons
2.7,899,3.357508342602892,4.376120863887375,0.16440489432703004,0.0,20.24471635150167,40.266963292547274,0.20000000000000018,2023,"2021,2022"
2.69,899,3.357519466073415,4.375756588004393,0.15440489432703,-0.009999999999999787,19.688542825361512,39.71078976640712,0.18999999999999995,2023,"2021,2022"
2.68,899,3.3575305895439373,4.375415136827282,0.1444048943270299,-0.019999999999999574,19.688542825361512,39.71078976640712,0.18000000000000016,2023,"2021,2022"
2.67,899,3.3575417130144607,4.375096515700056,0.13440489432703023,-0.02999999999999936,19.688542825361512,39.71078976640712,0.16999999999999993,2023,"2021,2022"
2.66,899,3.3575528364849827,4.374800729610918,0.12440489432703014,-0.03999999999999915,19.688542825361512,39.71078976640712,0.16000000000000014,2023,"2021,2022"
2.65,899,3.357563959955506,4.3745277831918825,0.11440489432702984,-0.049999999999998934,19.688542825361512,39.71078976640712,0.1499999999999999,2023,"2021,2022"
2.64,899,3.357575083426029,4.3742776807184,0.10440489432703047,-0.05999999999999872,19.688542825361512,39.71078976640712,0.14000000000000012,2023,"2021,2022"
2.63,899,3.357586206896552,4.374050426109032,0.09440489432702977,-0.07000000000000028,19.688542825361512,39.71078976640712,0.1299999999999999,2023,"2021,2022"
2.62,899,3.357597330367074,4.37384602292514,0.08440489432703029,-0.0799999999999983,19.688542825361512,39.71078976640712,0.1200000000000001,2023,"2021,2022"
2.61,899,3.3576084538375977,4.3736644743706075,0.0744048943270296,-0.08999999999999986,19.688542825361512,39.71078976640712,0.10999999999999988,2023,"2021,2022"
2.6,899,3.35761957730812,4.37350578329159,0.06440489432703028,-0.09999999999999964,19.911012235817573,41.045606229143495,0.10000000000000009,2023,"2021,2022"
2.71,899,3.357652947719689,4.37650795877683,0.17440489432703038,0.010000000000001563,19.799777530589544,39.59955506117909,0.20999999999999996,2023,"2021,2022"
2.59,899,3.3577641824249165,4.373369952176289,0.05440489432702998,-0.10999999999999943,19.021134593993324,40.48943270300334,0.08999999999999986,2023,"2021,2022"
2.72,899,3.3577975528364847,4.376917866618411,0.18440489432703003,0.02000000000000135,19.799777530589544,39.59955506117909,0.2200000000000002,2023,"2021,2022"
2.58,899,3.357908787541713,4.373256983154763,0.04440489432702986,-0.11999999999999922,19.021134593993324,40.48943270300334,0.08000000000000007,2023,"2021,2022"
2.73,899,3.3579421579532815,4.377350581003309,0.19440489432703015,0.030000000000001137,19.799777530589544,39.59955506117909,0.22999999999999998,2023,"2021,2022"
2.57,899,3.358053392658509,4.373166877998753,0.03440489432703017,-0.129999999999999,19.021134593993324,40.48943270300334,0.06999999999999984,2023,"2021,2022"
2.74,899,3.358086763070078,4.377806095168737,0.2044048943270305,0.040000000000000924,19.799777530589544,39.59955506117909,0.2400000000000002,2023,"2021,2022"
2.56,899,3.358197997775306,4.373099638121548,0.024404894327030087,-0.1399999999999988,19.021134593993324,40.48943270300334,0.06000000000000005,2023,"2021,2022"
