candidate,hfa_values_by_fold,seasons_tested,games,weighted_mae,weighted_rmse,weighted_mean_error,seasons_best_or_tied
benchmark_2_60,"2.600,2.600,2.600",3,1305,4.015555555555555,5.548969045801605,0.06091954022988528,2
selected_grid_mae,"2.700,2.600,2.600",3,1305,4.015632183908045,5.54977062796189,0.09471264367816111,1
benchmark_2_55,"2.550,2.550,2.550",3,1305,4.016360153256706,5.548645376778135,0.01091954022988508,0
training_median,"2.700,2.650,2.600",3,1305,4.01639846743295,5.551243690688597,0.11141762452107266,1
benchmark_2_50,"2.500,2.500,2.500",3,1305,4.017164750957854,5.548772257285245,-0.03908045977011494,0
benchmark_2_45,"2.450,2.450,2.450",3,1305,4.01896551724138,5.549349656418795,-0.08908045977011489,0
training_mean,"2.536,2.530,2.433",3,1305,4.019085599525619,5.551450434165189,-0.03899220340335843,0
selected_grid_rmse,"2.540,2.530,2.430",3,1305,4.019141762452107,5.55155655918996,-0.03849808429118792,0
benchmark_2_40,"2.400,2.400,2.400",3,1305,4.020766283524904,5.550377433578046,-0.13908045977011516,1
