metric,value
rp_rule_rows_2024_2025,88
rp_unique_games_2024_2025,61
sgo_usable_1h_rows_2024_2025,1943
matched_rule_rows,79
matched_unique_games,55
primary_unique_games,55
unmatched_rule_rows,9
matched_2024_rule_rows,39
matched_2025_rule_rows,40
coverage_warning,Interpret 2025 separately because the local 2025 SGO halves history may be incomplete.
