game_id,week,date,away_team,home_team,signal_team,signal_opponent,signal_side,overall_rp_edge,offense_vs_defense_edge,defense_vs_offense_edge,model_field,projected_home_margin,full_game_model_betting_spread,estimated_1h_spread,estimated_1h_role,candidate_a_defensive_favorite,candidate_b_offensive_underdog,candidate_key,candidate_label,historical_record,historical_ats_pct,historical_avg_ats_margin,historical_median_ats_margin
g119,2,2026-09-12,Maryland,Connecticut,Maryland,Connecticut,away,40.0,31.0,49.0,projection_spread_home,-8.9575,-8.9575,-4.47875,Favorite,True,False,A_DEFENSIVE_FAVORITE,Defensive RP edge 25+ with estimated 1H favorite,22-10,68.8,3.84,5.5
g147,2,2026-09-12,Bowling Green,Nebraska,Nebraska,Bowling Green,home,34.0,31.0,37.0,projection_spread_home,23.8875,-23.8875,-11.94375,Favorite,True,False,A_DEFENSIVE_FAVORITE,Defensive RP edge 25+ with estimated 1H favorite,22-10,68.8,3.84,5.5
g153,2,2026-09-12,Rice,Notre Dame,Notre Dame,Rice,home,33.0,29.0,37.0,projection_spread_home,45.6475,-45.6475,-22.82375,Favorite,True,False,A_DEFENSIVE_FAVORITE,Defensive RP edge 25+ with estimated 1H favorite,22-10,68.8,3.84,5.5
g126,2,2026-09-12,Tennessee,Georgia Tech,Tennessee,Georgia Tech,away,13.0,-3.0,28.0,projection_spread_home,-8.24,-8.24,-4.12,Favorite,True,False,A_DEFENSIVE_FAVORITE,Defensive RP edge 25+ with estimated 1H favorite,22-10,68.8,3.84,5.5
g180,2,2026-09-12,Old Dominion,Virginia Tech,Virginia Tech,Old Dominion,home,29.0,13.0,44.0,projection_spread_home,10.5025,-10.5025,-5.25125,Favorite,True,False,A_DEFENSIVE_FAVORITE,Defensive RP edge 25+ with estimated 1H favorite,22-10,68.8,3.84,5.5
g129,2,2026-09-12,Duke,Illinois,Duke,Illinois,away,-1.0,1.0,-1.0,projection_spread_home,6.1625,6.1625,3.08125,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g131,2,2026-09-12,Iowa State,Iowa,Iowa State,Iowa,away,1.0,4.0,-2.0,projection_spread_home,13.9825,13.9825,6.99125,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g137,2,2026-09-12,Louisiana Tech,LSU,Louisiana Tech,LSU,away,-5.0,4.0,-13.0,projection_spread_home,31.17,31.17,15.585,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g142,2,2026-09-12,Oklahoma,Michigan,Oklahoma,Michigan,away,2.0,20.0,-17.0,projection_spread_home,0.81,0.81,0.405,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g164,2,2026-09-12,California,Syracuse,Syracuse,California,home,4.0,11.0,-3.0,projection_spread_home,-2.1125,2.1125,1.05625,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g166,2,2026-09-12,Penn State,Temple,Temple,Penn State,home,1.0,9.0,-7.0,projection_spread_home,-21.915,21.915,10.9575,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g167,2,2026-09-12,Ohio State,Texas,Texas,Ohio State,home,8.0,23.0,-8.0,projection_spread_home,-2.7225,2.7225,1.36125,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g169,2,2026-09-12,UTSA,Texas State,UTSA,Texas State,away,-2.0,21.0,-26.0,projection_spread_home,1.2425,1.2425,0.62125,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g187,3,2026-09-18,Houston,Texas Tech,Houston,Texas Tech,away,0.0,7.0,-9.0,projection_spread_home,17.9375,17.9375,8.96875,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g202,3,2026-09-19,BYU,Colorado State,BYU,Colorado State,away,18.0,5.0,31.0,projection_spread_home,-24.305,-24.305,-12.1525,Favorite,True,False,A_DEFENSIVE_FAVORITE,Defensive RP edge 25+ with estimated 1H favorite,22-10,68.8,3.84,5.5
g211,3,2026-09-19,Georgia Southern,Jacksonville State,Jacksonville State,Georgia Southern,home,14.0,-2.0,31.0,projection_spread_home,3.2025,-3.2025,-1.60125,Favorite,True,False,A_DEFENSIVE_FAVORITE,Defensive RP edge 25+ with estimated 1H favorite,22-10,68.8,3.84,5.5
g220,3,2026-09-19,UTEP,Michigan,Michigan,UTEP,home,28.0,29.0,28.0,projection_spread_home,38.6925,-38.6925,-19.34625,Favorite,True,False,A_DEFENSIVE_FAVORITE,Defensive RP edge 25+ with estimated 1H favorite,22-10,68.8,3.84,5.5
g238,3,2026-09-19,North Dakota State,Sacramento State,North Dakota State,Sacramento State,away,20.0,3.0,39.0,projection_spread_home,-10.7666,-10.7666,-5.3833,Favorite,True,False,A_DEFENSIVE_FAVORITE,Defensive RP edge 25+ with estimated 1H favorite,22-10,68.8,3.84,5.5
g227,3,2026-09-19,Michigan State,Notre Dame,Notre Dame,Michigan State,home,26.0,22.0,29.0,projection_spread_home,29.95,-29.95,-14.975,Favorite,True,False,A_DEFENSIVE_FAVORITE,Defensive RP edge 25+ with estimated 1H favorite,22-10,68.8,3.84,5.5
g231,3,2026-09-19,East Carolina,Old Dominion,Old Dominion,East Carolina,home,-2.0,-27.0,25.0,projection_spread_home,0.56,-0.56,-0.28,Favorite,True,False,A_DEFENSIVE_FAVORITE,Defensive RP edge 25+ with estimated 1H favorite,22-10,68.8,3.84,5.5
g235,3,2026-09-19,Buffalo,Penn State,Penn State,Buffalo,home,22.0,17.0,27.0,projection_spread_home,32.1025,-32.1025,-16.05125,Favorite,True,False,A_DEFENSIVE_FAVORITE,Defensive RP edge 25+ with estimated 1H favorite,22-10,68.8,3.84,5.5
g228,3,2026-09-19,Kent State,Ohio State,Kent State,Ohio State,away,-12.0,7.0,-32.0,projection_spread_home,53.5225,53.5225,26.76125,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
