provider,canonical_game_id,season,canonical_site_week,kickoff,away_team,home_team,neutral_site,game_classification,market_type,selected_sportsbook,away_line,home_line,away_price,home_price,total_line,over_price,under_price,source_updated_at,available,stale_flag,selection_reason,fallback_reason,paired_market_id,source_run_id,coverage_status,acceptance_eligibility,ingestion_timestamp,payload_hash
sports_game_odds,g5,2026,0,2026-08-29,North Carolina,TCU,True,FBS_vs_FBS,spread,draftkings,6.5,-6.5,-108,-112,,,,2026-07-30T03:49:56.917Z,True,False,DraftKings priority,,f85d4ce585efebd3af4180c0701a872a3d935ebf8f23228068da7c186f147981,replay-20260730T035405Z-85165416-corrected,PARTIAL,False,2026-07-30T13:23:09.432257+00:00,132b902a730c8fff6561083136a4992a257446758de16e9711fa2475a371e483
sports_game_odds,g5,2026,0,2026-08-29,North Carolina,TCU,True,FBS_vs_FBS,total,draftkings,,,,,49.5,-110,-110,2026-07-30T03:49:56.917Z,True,False,DraftKings priority,,65ee93e1c2be1c9d83982c1c443756ff588f34aac4c68d380177ec95e06860ef,replay-20260730T035405Z-85165416-corrected,PARTIAL,False,2026-07-30T13:23:09.432257+00:00,132b902a730c8fff6561083136a4992a257446758de16e9711fa2475a371e483
sports_game_odds,g6,2026,0,2026-08-29,Memphis,UNLV,False,FBS_vs_FBS,moneyline,draftkings,,,164,-198,,,,2026-07-30T03:49:56.917Z,True,False,DraftKings priority,,a01893277cf141663b29ec5969c2b559ff8e1f576310a48e6d7f5c07b2438d52,replay-20260730T035405Z-85165416-corrected,PARTIAL,False,2026-07-30T13:23:09.432257+00:00,132b902a730c8fff6561083136a4992a257446758de16e9711fa2475a371e483
sports_game_odds,g6,2026,0,2026-08-29,Memphis,UNLV,False,FBS_vs_FBS,spread,draftkings,5.5,-5.5,-112,-108,,,,2026-07-30T03:49:56.917Z,True,False,DraftKings priority,,eba5163a06fb05096a22621a828747a8ba3c76b5d6041526d502e0055c08cc16,replay-20260730T035405Z-85165416-corrected,PARTIAL,False,2026-07-30T13:23:09.432257+00:00,132b902a730c8fff6561083136a4992a257446758de16e9711fa2475a371e483
sports_game_odds,g6,2026,0,2026-08-29,Memphis,UNLV,False,FBS_vs_FBS,total,draftkings,,,,,59.5,-108,-112,2026-07-30T03:49:56.917Z,True,False,DraftKings priority,,4ac616fd54fa42c8c5285147e311639f48c157e3abe8fa8249439a0cf4c301fd,replay-20260730T035405Z-85165416-corrected,PARTIAL,False,2026-07-30T13:23:09.432257+00:00,132b902a730c8fff6561083136a4992a257446758de16e9711fa2475a371e483
sports_game_odds,g7,2026,0,2026-08-29,San Jose State,USC,False,FBS_vs_FBS,moneyline,draftkings,,,4000,-50000,,,,2026-07-30T03:49:56.917Z,True,False,DraftKings priority,,fb09a8de0c1aeba46c8e6c5e6aa014f0467fd7df882e3db9ab9c66d84407dc1b,replay-20260730T035405Z-85165416-corrected,PARTIAL,False,2026-07-30T13:23:09.432257+00:00,132b902a730c8fff6561083136a4992a257446758de16e9711fa2475a371e483
sports_game_odds,g7,2026,0,2026-08-29,San Jose State,USC,False,FBS_vs_FBS,spread,draftkings,35.5,-35.5,-105,-115,,,,2026-07-30T03:49:56.917Z,True,False,DraftKings priority,,157fb63e9ba0a9cfcfb0d2d9c3ba8c9ec81baa0318e4f596ee4b53b055ae3ff4,replay-20260730T035405Z-85165416-corrected,PARTIAL,False,2026-07-30T13:23:09.432257+00:00,132b902a730c8fff6561083136a4992a257446758de16e9711fa2475a371e483
sports_game_odds,g7,2026,0,2026-08-29,San Jose State,USC,False,FBS_vs_FBS,total,draftkings,,,,,58.5,-112,-108,2026-07-30T03:49:56.917Z,True,False,DraftKings priority,,79baf0ea1d642c3ef4306e16f3c43e8ff1d7e7bd4496dadf7cc509dcea9f35bd,replay-20260730T035405Z-85165416-corrected,PARTIAL,False,2026-07-30T13:23:09.432257+00:00,132b902a730c8fff6561083136a4992a257446758de16e9711fa2475a371e483
sports_game_odds,g8,2026,0,2026-08-29,NC State,Virginia,True,FBS_vs_FBS,moneyline,draftkings,,,170,-205,,,,2026-07-30T03:49:45.000Z,True,False,DraftKings priority,,edd237e31ac3a84673a62ae190cbc87ed637ea6d84818e2a3586166ff6ee92c3,replay-20260730T035405Z-85165416-corrected,PARTIAL,False,2026-07-30T13:23:09.432257+00:00,132b902a730c8fff6561083136a4992a257446758de16e9711fa2475a371e483
sports_game_odds,g8,2026,0,2026-08-29,NC State,Virginia,True,FBS_vs_FBS,spread,draftkings,5.5,-5.5,-110,-110,,,,2026-07-30T03:49:45.000Z,True,False,DraftKings priority,,be6014d9d30e2da2cd59fa91643ebe406fdac27e7cb8d3004a11d5ec3686472f,replay-20260730T035405Z-85165416-corrected,PARTIAL,False,2026-07-30T13:23:09.432257+00:00,132b902a730c8fff6561083136a4992a257446758de16e9711fa2475a371e483
sports_game_odds,g8,2026,0,2026-08-29,NC State,Virginia,True,FBS_vs_FBS,total,draftkings,,,,,54.5,-108,-112,2026-07-30T03:49:45.000Z,True,False,DraftKings priority,,db2c9f59bc9ab4121e0f2b65a59bbf58e5b62867dd7bb874ecee10f6b2261df8,replay-20260730T035405Z-85165416-corrected,PARTIAL,False,2026-07-30T13:23:09.432257+00:00,132b902a730c8fff6561083136a4992a257446758de16e9711fa2475a371e483
