venue_key,venue,home_team,latitude,longitude,timezone,roof_type,stadium_orientation_deg,notes
arizona stadium,Arizona Stadium,Arizona,32.228836,-110.94878,,outdoor,,"geocoded via Nominatim: Arizona Stadium stadium United States | Arizona Stadium, Enke Drive, Tucson, Pima County, Arizona, 85709, United States"
arkansas state,Arkansas State,Arkansas State,34.676792,-92.340976,,outdoor,,"geocoded via Nominatim: Arkansas State Arkansas State United States | Arkansas State Police Troop A, State Police Plaza Drive, Windamere, Little Rock, Big Rock Township, Pulaski County, Arkansas, 72209, United States"
autzen stadium,Autzen Stadium,Oregon,44.058218,-123.068438,,outdoor,,"geocoded via Nominatim: Autzen Stadium stadium United States | Autzen Stadium, 2700, Leo Harris Parkway, Eugene, Lane County, Oregon, 97401, United States"
aviva stadium,Aviva Stadium,TCU,53.3351,-6.2283,Europe/Dublin,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable | geocode failed | geocode failed
bank of america stadium,Bank of America Stadium,West Virginia,35.225774,-80.852828,,outdoor,,"geocoded via Nominatim: Bank of America Stadium stadium United States | Bank of America Stadium, 800, South Mint Street, Third Ward, Uptown, Charlotte, Mecklenburg County, North Carolina, 28202, United States"
beaver stadium,Beaver Stadium,Penn State,40.812074,-77.855942,,outdoor,,"geocoded via Nominatim: Beaver Stadium stadium United States | Beaver Stadium, 775, Curtin Road, College Township, Centre County, Pennsylvania, 16802, United States"
ben hill griffin stadium,Ben Hill Griffin Stadium,Florida,29.650037,-82.348767,,outdoor,,"geocoded via Nominatim: Ben Hill Griffin Stadium stadium United States | Ben Hill Griffin Stadium, 157, Gale Lemerand Drive, Gainesville, Alachua County, Florida, 32611, United States"
big 12 no. 1,Big 12 No. 1,Big 12 No. 1,,,,outdoor,,skipped placeholder/conference TBD venue
big ten no. 1,Big Ten No. 1,Big Ten No. 1,,,,outdoor,,skipped placeholder/conference TBD venue
bill snyder family stadium,Bill Snyder Family Stadium,Kansas State,39.202039,-96.593776,,outdoor,,"geocoded via Nominatim: Bill Snyder Family Stadium stadium United States | Bill Snyder Family Stadium, 1800, College Avenue, Manhattan, Riley County, Kansas, 66502, United States"
bobby dodd stadium,Bobby Dodd Stadium,Georgia Tech,33.772476,-84.392959,,outdoor,,"geocoded via Nominatim: Bobby Dodd Stadium stadium United States | Bobby Dodd Stadium, Fowler Street Northwest, Atlanta, Fulton County, Georgia, 30332, United States"
bobcat stadium (tx),Bobcat Stadium (TX),Texas State,29.891377,-97.924034,,outdoor,,"geocoded via Nominatim: Bobcat Stadium (TX) stadium United States | Bobcat Stadium East (P10E), Stadium Drive, Millview West, San Marcos, Hays County, Texas, 78666, United States"
boone pickens stadium,Boone Pickens Stadium,Oklahoma State,36.125696,-97.067614,,outdoor,,"geocoded via Nominatim: Boone Pickens Stadium stadium United States | Boone Pickens Stadium, 700, West Hall of Fame Avenue, Stillwater, Payne County, Oklahoma, 74075, United States"
bridgeforth stadium,Bridgeforth Stadium,James Madison,38.435156,-78.873053,,outdoor,,"geocoded via Nominatim: Bridgeforth Stadium stadium United States | Bridgeforth Stadium, Champions Drive, Ridge Area, Harrisonburg, Virginia, 22801, United States"
brooks stadium (sc),Brooks Stadium (SC),Coastal Carolina,33.7931,-79.0188,America/New_York,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable | geocode failed | geocode failed
bryant-denny stadium,Bryant-Denny Stadium,Alabama,33.20772,-87.550453,,outdoor,,"geocoded via Nominatim: Bryant-Denny Stadium stadium United States | Bryant-Denny Stadium, Wallace Wade Avenue, The Strip, Riverside Circle, Tuscaloosa, Tuscaloosa County, Alabama, 35401, United States"
cajun field,Cajun Field,Louisiana,30.215873,-92.041736,,outdoor,,"geocoded via Nominatim: Cajun Field stadium United States | Cajun Field, Reinhardt Drive, Lafayette, Lafayette Parish, Louisiana, 70598, United States"
california memorial stadium,California Memorial Stadium,California,37.870995,-122.250736,,outdoor,,"geocoded via Nominatim: California Memorial Stadium stadium United States | California Memorial Stadium, North Stairs, Panoramic Hill, Berkeley, Alameda County, California, 94720, United States"
camp randall stadium,Camp Randall Stadium,Wisconsin,43.070053,-89.41265,,outdoor,,"geocoded via Nominatim: Camp Randall Stadium stadium United States | Camp Randall Stadium, 1440, Monroe Street, South Campus, Bowens Addition, Madison, Dane County, Wisconsin, 53711, United States"
canvas stadium,Canvas Stadium,Colorado State,40.569831,-105.088506,,outdoor,,"geocoded via Nominatim: Canvas Stadium stadium United States | Canvas Stadium, West Pitkin Street, Fort Collins, Larimer County, Colorado, 80523, United States"
carter-finley stadium,Carter-Finley Stadium,NC State,35.800846,-78.719605,,outdoor,,"geocoded via Nominatim: Carter-Finley Stadium stadium United States | Carter-Finley Stadium, 4600, Trinity Road, Wade, Westover, Raleigh, Wake County, North Carolina, 27607, United States"
cefcu stadium,CEFCU Stadium,San Jose State,37.31969,-121.868314,,outdoor,,"geocoded via Nominatim: CEFCU Stadium stadium United States | CEFCU Stadium, East Alma Avenue, Spartan Keyes, San Jose, Santa Clara County, California, 95192, United States"
centennial bank stadium,Centennial Bank Stadium,Arkansas State,35.8487,-90.6673,America/Chicago,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable | geocode failed
center parc stadium,Center Parc Stadium,Georgia State,33.735527,-84.388651,,outdoor,,"geocoded via Nominatim: Center Parc Stadium stadium United States | Center Parc Stadium, 755, Hank Aaron Drive Southeast, Atlanta, Fulton County, Georgia, 30315, United States"
chapman stadium,Chapman Stadium,Tulsa,33.794309,-117.850983,,outdoor,,"geocoded via Nominatim: Chapman Stadium stadium United States | Chapman Stadium, East Walnut Avenue, Orange, Orange County, California, 92867, United States"
clarence t.c. ching athletics complex,Clarence T.C. Ching Athletics Complex,Hawaii,21.294291,-157.817121,,outdoor,,"geocoded via Nominatim: Clarence T.C. Ching Athletics Complex Hawaii United States | Clarence T.C. Ching Athletics Complex, Lower Campus Road, Moiliili, McCully, East Honolulu, Honolulu, Honolulu County, Hawaii, 96848, United States"
coastal carolina,Coastal Carolina,Coastal Carolina,33.703803,-78.918132,,outdoor,,"geocoded via Nominatim: Coastal Carolina Coastal Carolina United States | Coastal Grand Circle, Coastal Grand Mall, Myrtle Beach, Horry County, South Carolina, 29577, United States"
colorado state,Colorado State,Colorado State,40.569831,-105.088506,,outdoor,,"geocoded via Nominatim: Canvas Stadium stadium United States | Canvas Stadium, West Pitkin Street, Fort Collins, Larimer County, Colorado, 80523, United States"
cotton bowl,Cotton Bowl,Oklahoma,32.779612,-96.759602,,outdoor,,"geocoded via Nominatim: Cotton Bowl stadium United States | Cotton Bowl Stadium, 3750, The Midway, Fair Park, Dallas, Dallas County, Texas, 75210, United States"
cusa no. 1,CUSA No. 1,CUSA No. 1,,,,outdoor,,skipped placeholder/conference TBD venue
datcu stadium,DATCU Stadium,North Texas,33.20394,-97.15942,,outdoor,,"geocoded via Nominatim: DATCU Stadium stadium United States | DATCU Stadium, 1251, South Bonnie Brae Street, Denton, Denton County, Texas, 76207, United States"
davis wade stadium,Davis Wade Stadium,Mississippi State,33.456453,-88.793404,,outdoor,,"geocoded via Nominatim: Davis Wade Stadium stadium United States | Davis Wade Stadium, Walker Road, College Vista, Oktibbeha County, Mississippi, 39762, United States"
delaware,Delaware,Delaware,39.661671,-75.748899,,outdoor,,"geocoded via Nominatim: Delaware Stadium stadium United States | Delaware Stadium, Richardson Lane, Robscott Manor, Newark, New Castle County, Delaware, 19713, United States"
delaware stadium,Delaware Stadium,Delaware,39.661671,-75.748899,,outdoor,,"geocoded via Nominatim: Delaware Stadium stadium United States | Delaware Stadium, Richardson Lane, Robscott Manor, Newark, New Castle County, Delaware, 19713, United States"
dix stadium,Dix Stadium,Kent State,41.139027,-81.313675,,outdoor,,"geocoded via Nominatim: Dix Stadium stadium United States | Dix Stadium, 2213, Summit Road, Kent, Franklin Township, Portage County, Ohio, 44266, United States"
dkr-texas memorial stadium,DKR-Texas Memorial Stadium,Texas,30.2837,-97.7325,America/Chicago,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable | geocode failed
doak campbell stadium,Doak Campbell Stadium,Florida State,30.438151,-84.304392,,outdoor,,"geocoded via Nominatim: Doak Campbell Stadium stadium United States | Doak S. Campbell Stadium, Champions Way, Tallahassee, Leon County, Florida, 32306, United States"
dowdy-ficklen stadium,Dowdy-Ficklen Stadium,East Carolina,35.596464,-77.365306,,outdoor,,"geocoded via Nominatim: Dowdy-Ficklen Stadium stadium United States | Dowdy-Ficklen Stadium, West Berkley Road, Sheraton Place, Greenville, Pitt County, North Carolina, 27658, United States"
doyt l. perry stadium,Doyt L. Perry Stadium,Bowling Green,41.378026,-83.622497,,outdoor,,"geocoded via Nominatim: Doyt L. Perry Stadium stadium United States | Doyt L. Perry Stadium, Stadium Drive, Athletics District, Bowling Green, Wood County, Ohio, 43403, United States"
elliott t. bowers stadium,Elliott T. Bowers Stadium,Sam Houston,30.7163,-95.547,America/Chicago,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable | geocode failed
falcon stadium,Falcon Stadium,Air Force,38.997056,-104.84365,,outdoor,,"geocoded via Nominatim: Falcon Stadium stadium United States | Falcon Stadium, 2169, A, El Paso County, Colorado, 80840, United States"
fargodome,Fargodome,North Dakota State,46.903022,-96.801342,,outdoor,,"geocoded via Nominatim: Fargodome stadium United States | Fargodome, 1800, North University Drive, Washington, Fargo, Cass County, North Dakota, 58102, United States"
fau stadium,FAU Stadium,Florida Atlantic,26.376295,-80.101718,,outdoor,,"geocoded via Nominatim: FAU Stadium stadium United States | FAU Stadium, FAU Boulevard, Boca Raton, Palm Beach County, Florida, 33431, United States"
fbc mortgage stadium,FBC Mortgage Stadium,Central Florida,28.608145,-81.192675,,outdoor,,"geocoded via Nominatim: FBC Mortgage Stadium stadium United States | Acrisure Bounce House, Ken Dixon Way, University, Orange County, Florida, 32816, United States"
fifth third stadium,Fifth Third Stadium,Kennesaw State,42.733376,-84.546079,,outdoor,,"geocoded via Nominatim: Fifth Third Stadium stadium United States | Fifth Third Bank, East Michigan Avenue, Stadium District, Lansing, Ingham County, Michigan, 48912, United States"
firstbank stadium,FirstBank Stadium,Vanderbilt,36.14392,-86.80892,,outdoor,,"geocoded via Nominatim: FirstBank Stadium stadium United States | FirstBank Stadium, 210, Natchez Trace, Nashville, Davidson County, Middle Tennessee, Tennessee, 37203, United States"
florida international,Florida International,Florida International,28.406838,-81.350737,,outdoor,,"geocoded via Nominatim: Florida International Florida International United States | Florida Crown Drive, Boggy Creek, Orlando, Orange County, Florida, 32862, United States"
folsom field,Folsom Field,Colorado,40.009335,-105.26607,,outdoor,,"geocoded via Nominatim: Folsom Field stadium United States | Folsom Field, 2085, Colorado Avenue, Boulder, Boulder County, Colorado, 80309, United States"
ford field,Ford Field,Eastern Michigan,42.339957,-83.045617,,dome,,"geocoded via Nominatim: Ford Field stadium United States | Ford Field, Beacon Street, Greektown, Midtown, Detroit, Wayne County, Michigan, 48226, United States"
fresno state,Fresno State,Fresno State,36.83523,-119.916837,,outdoor,,"geocoded via Nominatim: Fresno State Fresno State United States | UP Fresno Subdivision, Golden State Highway, Herndon, Fresno County, California, 93723, United States"
georgia southern,Georgia Southern,Georgia Southern,32.421438,-81.784505,,outdoor,,"geocoded via Nominatim: Georgia Southern stadium United States | Georgia Southern University, Stadium Walk, Statesboro, Bulloch County, Georgia, 30460, United States"
georgia state,Georgia State,Georgia State,33.735527,-84.388651,,outdoor,,"geocoded via Nominatim: Georgia State stadium United States | Center Parc Stadium, 755, Hank Aaron Drive Southeast, Atlanta, Fulton County, Georgia, 30315, United States"
gerald j. ford stadium,Gerald J. Ford Stadium,SMU,32.83779,-96.782791,,outdoor,,"geocoded via Nominatim: Gerald J. Ford Stadium stadium United States | Gerald J. Ford Stadium, 5801, Bush Avenue, University Park, Dallas County, Texas, 75205, United States"
gesa field,Gesa Field,Washington State,46.731829,-117.160439,,outdoor,,"geocoded via Nominatim: Gesa Field stadium United States | Gesa Field, Wilson Mall, Washington State University, Ward 3, Pullman, Whitman County, Washington, 99164, United States"
gillette stadium,Gillette Stadium,Navy,42.090888,-71.264173,,outdoor,,"geocoded via Nominatim: Gillette Stadium stadium United States | Boston Stadium, 1, Patriot Place, Foxborough, Norfolk County, Massachusetts, 02035, United States"
glass bowl,Glass Bowl,Toledo,41.657185,-83.613595,,outdoor,,"geocoded via Nominatim: Glass Bowl stadium United States | Glass Bowl Stadium, 1745, Stadium Drive, University Hills, Vulcan, Toledo, Lucas County, Ohio, 43606, United States"
hancock whitney stadium,Hancock Whitney Stadium,South Alabama,30.691,-88.1791,America/Chicago,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable | geocode failed
hard rock stadium,Hard Rock Stadium,Miami-FL,25.957903,-80.23885,,outdoor,,"geocoded via Nominatim: Hard Rock Stadium stadium United States | Miami Stadium, 347, Northwest 199th Street, Miami Gardens, Miami-Dade County, Florida, 33056, United States"
hornet stadium,Hornet Stadium,Sacramento State,32.364797,-86.298635,,outdoor,,"geocoded via Nominatim: Hornet Stadium stadium United States | Hornet Stadium, University Drive North, Montgomery, Montgomery County, Alabama, 36101, United States"
huntington bank stadium,Huntington Bank Stadium,Minnesota,44.97654,-93.224077,,outdoor,,"geocoded via Nominatim: Huntington Bank Stadium stadium United States | Huntington Bank Stadium, 420, Southeast 23rd Avenue, Prospect Park, Stadium Village, University, Minneapolis, Hennepin County, Minnesota, 55455, United States"
huskie stadium,Huskie Stadium,Northern Illinois,41.934075,-88.77797,,outdoor,,"geocoded via Nominatim: Huskie Stadium stadium United States | Huskie Stadium, Stadium Drive South, DeKalb, DeKalb Township, DeKalb County, Illinois, 60115, United States"
husky stadium,Husky Stadium,Washington,47.650374,-122.301976,,outdoor,,"geocoded via Nominatim: Husky Stadium stadium United States | Husky Stadium, 3800, Montlake Boulevard Northeast, Central Campus, University District, Seattle, King County, Washington, 98105, United States"
infocision stadium,InfoCision Stadium,Akron,41.07251,-81.508481,,outdoor,,"geocoded via Nominatim: InfoCision Stadium stadium United States | Infocision Stadium, 375, East Exchange Street, Spicertown, West Hill, Akron, Summit County, Ohio, 44304, United States"
jack trice stadium,Jack Trice Stadium,Iowa State,42.014005,-93.635759,,outdoor,,"geocoded via Nominatim: Jack Trice Stadium stadium United States | Jack Trice Stadium, 1732, Jack Trice Way, Iowa State Center, Ames, Story County, Iowa, 50011, United States"
jacksonville state,Jacksonville State,Jacksonville State,42.509785,-76.618375,,outdoor,,"geocoded via Nominatim: Jacksonville State Jacksonville State United States | Jacksonville Community Park, Jacksonville, Town of Ulysses, Tompkins County, New York, United States"
james madison,James Madison,James Madison,43.080572,-89.383689,,outdoor,,"geocoded via Nominatim: James Madison James Madison United States | E. Gorham @ James Madison Park, 472, East Gorham Street, James Madison Park, Downtown, Madison, Dane County, Wisconsin, 53703, United States"
jerry richardson stadium,Jerry Richardson Stadium,Charlotte,35.310474,-80.740076,,outdoor,,"geocoded via Nominatim: Jerry Richardson Stadium stadium United States | Jerry Richardson Stadium, Mac Everett Way N, University City, Charlotte, Mecklenburg County, North Carolina, 28223, United States"
jma wireless dome,JMA Wireless Dome,Syracuse,43.036284,-76.13636,,outdoor,,"geocoded via Nominatim: JMA Wireless Dome stadium United States | JMA Wireless Dome, 901, Irving Avenue, University Hill, City of Syracuse, Onondaga County, New York, 13210, United States"
jmu,JMU,JMU,38.435156,-78.873053,,outdoor,,"geocoded via Nominatim: Bridgeforth Stadium stadium United States | Bridgeforth Stadium, Champions Drive, Ridge Area, Harrisonburg, Virginia, 22801, United States"
joan c. edwards stadium,Joan C. Edwards Stadium,Marshall,38.424869,-82.421009,,outdoor,,"geocoded via Nominatim: Joan C. Edwards Stadium stadium United States | Joan C. Edwards Stadium, M Club Drive, Huntington, Cabell County, West Virginia, 25703, United States"
joe aillet stadium,Joe Aillet Stadium,Louisiana Tech,32.532014,-92.65594,,outdoor,,"geocoded via Nominatim: Joe Aillet Stadium stadium United States | Joe Aillet Stadium, Stadium Circle, Ruston, Lincoln Parish, Louisiana, 71272, United States"
"johnny ""red"" floyd stadium","Johnny ""Red"" Floyd Stadium",Middle Tennessee,35.851287,-86.368271,,outdoor,,"geocoded via Nominatim: Johnny ""Red"" Floyd Stadium stadium United States | Johnny ""Red"" Floyd Stadium, Faulkinberry Drive, Scotland Acres, Murfreesboro, Rutherford County, Middle Tennessee, Tennessee, 37132, United States"
jones at&t stadium,Jones AT&T Stadium,Texas Tech,33.591252,-101.87295,,retractable,,"geocoded via Nominatim: Jones AT&T Stadium stadium United States | Jones AT&T Stadium, 2526, Mac Davis Lane, Lubbock, Lubbock County, Texas, 79409, United States"
jordan-hare stadium,Jordan-Hare Stadium,Auburn,32.602162,-85.489161,,outdoor,,"geocoded via Nominatim: Jordan-Hare Stadium stadium United States | Jordan-Hare Stadium, 251, South Donahue Drive, Auburn, Lee County, Alabama, 36849, United States"
kelly/shorts stadium,Kelly/Shorts Stadium,Central Michigan,43.577623,-84.771051,,outdoor,,"geocoded via Nominatim: Kelly/Shorts Stadium stadium United States | Kelly/Shorts Stadium, East Campus Drive, Mount Pleasant, Isabella County, Michigan, 48859, United States"
kenan stadium,Kenan Stadium,North Carolina,35.906943,-79.04782,,outdoor,,"geocoded via Nominatim: Kenan Stadium stadium United States | Kenan Stadium, 104, Stadium Drive, Downtown, Chapel Hill, Orange County, North Carolina, 27514, United States"
kennesaw state,Kennesaw State,Kennesaw State,34.0281,-84.5676,America/New_York,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable | geocode failed
kidd brewer stadium,Kidd Brewer Stadium,Appalachian State,36.211489,-81.685572,,outdoor,,"geocoded via Nominatim: Kidd Brewer Stadium stadium United States | Kidd Brewer Stadium, 1, Jack Branch Drive, Dougherty Heights, Boone, Watauga County, North Carolina, 28608, United States"
kinnick stadium,Kinnick Stadium,Iowa,41.658625,-91.551192,,outdoor,,"geocoded via Nominatim: Kinnick Stadium stadium United States | Kinnick Stadium, Evashevski Drive, Iowa City, Johnson County, Iowa, 52242, United States"
kroger field,Kroger Field,Kentucky,38.0227,-84.5053,America/New_York,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable | geocode failed
kyle field,Kyle Field,Texas A&M,30.609855,-96.34037,,outdoor,,"geocoded via Nominatim: Kyle Field stadium United States | Kyle Field, Joe Routt Boulevard, College Station, Brazos County, Texas, 77843, United States"
l&n federal credit union stadium,L&N Federal Credit Union Stadium,Louisville,38.206016,-85.758773,,outdoor,,"geocoded via Nominatim: L&N Federal Credit Union Stadium stadium United States | L&N Federal Credit Union Stadium, South Floyd Street, Louisville, Jefferson County, Kentucky, 40292, United States"
lambeau field,Lambeau Field,Notre Dame,44.500971,-88.061968,,outdoor,,"geocoded via Nominatim: Lambeau Field stadium United States | Lambeau Field, 1265, Lombardi Avenue, Lombardi, Green Bay, Brown County, Wisconsin, 54304, United States"
lane stadium,Lane Stadium,Virginia Tech,37.219892,-80.418004,,outdoor,,"geocoded via Nominatim: Lane Stadium stadium United States | Lane Stadium, 285, Beamer Way, Southgate, Blacksburg, Montgomery County, Virginia, 24061, United States"
lanny and sharon martin stadium,Lanny and Sharon Martin Stadium,Northwestern,42.0526,-87.6739,America/Chicago,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable | geocode failed
lavell edwards stadium,LaVell Edwards Stadium,BYU,40.257319,-111.654578,,outdoor,,"geocoded via Nominatim: LaVell Edwards Stadium stadium United States | LaVell Edwards Stadium, 1700, North Canyon Road, BYU, Pleasant View, Provo, Utah County, Utah, 84604, United States"
liberty,Liberty,Liberty,42.274117,-83.777468,,outdoor,,"geocoded via Nominatim: Liberty stadium United States | Liberty + Stadium, West Liberty Street, Ann Arbor, Washtenaw County, Michigan, 41803, United States"
lincoln financial field,Lincoln Financial Field,Temple,39.90091,-75.167489,,outdoor,,"geocoded via Nominatim: Lincoln Financial Field stadium United States | Philadelphia Stadium, 1, South Darien Street, South Philadelphia, Philadelphia, Philadelphia County, Pennsylvania, 19147, United States"
los angeles memorial coliseum,Los Angeles Memorial Coliseum,USC,34.013916,-118.2878,,outdoor,,"geocoded via Nominatim: Los Angeles Memorial Coliseum stadium United States | Los Angeles Memorial Coliseum, 3911, South Figueroa Street, Historic South-Central, Los Angeles, Los Angeles County, California, 90037, United States"
louisiana,Louisiana,Louisiana,29.951049,-90.082308,,outdoor,,"geocoded via Nominatim: Louisiana stadium United States | Caesars Superdome, 1500, Sugar Bowl Drive, Storyville, New Orleans, Orleans Parish, Louisiana, 70112, United States"
louisiana tech,Louisiana Tech,Louisiana Tech,32.526106,-92.648122,,outdoor,,"geocoded via Nominatim: Louisiana Tech Louisiana Tech United States | Louisiana Tech University, 305, Wisteria Street, Ruston, Lincoln Parish, Louisiana, 71272, United States"
m. m. roberts stadium,M. M. Roberts Stadium,Southern Miss,30.53194,-89.685194,,outdoor,,"geocoded via Nominatim: M. M. Roberts Stadium stadium United States | M. M. Roberts Stadium, Laurel Street, Picayune, Pearl River County, Mississippi, 39466, United States"
mac no. 1,MAC No. 1,MAC No. 1,,,,outdoor,,skipped placeholder/conference TBD venue
mackay stadium,Mackay Stadium,Nevada,39.546892,-119.817398,,outdoor,,"geocoded via Nominatim: Mackay Stadium stadium United States | Mackay Stadium, South Stadium Way, Reno, Washoe County, Nevada, 89557, United States"
malone stadium,Malone Stadium,UL-Monroe,32.530899,-92.06604,,outdoor,,"geocoded via Nominatim: Malone Stadium stadium United States | Malone Stadium, Warhawk Way, Edgewater, Monroe, Ouachita Parish, Louisiana, 71203, United States"
marshall,Marshall,Marshall,38.254664,-85.651002,,outdoor,,"geocoded via Nominatim: Marshall stadium United States | Marshall Stadium, Westport Road, Cherrywood Village, Metro Council District 9, St. Matthews, Jefferson County, Kentucky, 40207, United States"
maryland,Maryland,Maryland,38.989918,-76.946642,,outdoor,,"geocoded via Nominatim: Maryland stadium United States | Testudo (Maryland Stadium), 90, Stadium Drive, Lakeland, College Park, Prince George's County, Maryland, 20742, United States"
maverik stadium,Maverik Stadium,Utah State,41.751937,-111.81167,,outdoor,,"geocoded via Nominatim: Maverik Stadium stadium United States | Maverik Stadium, 1200 North, Hillcrest Neighborhood, Logan, Cache County, Utah, 84322, United States"
mclane stadium,McLane Stadium,Baylor,31.558225,-97.115682,,outdoor,,"geocoded via Nominatim: McLane Stadium stadium United States | McLane Stadium, 1001, South Martin Luther King Jr Boulevard, Waco, McLennan County, Texas, 76704, United States"
memorial stadium,Memorial Stadium,Missouri,30.283841,-97.732623,,outdoor,,"geocoded via Nominatim: Memorial Stadium stadium United States | Darrell K Royal-Texas Memorial Stadium, San Jacinto Boulevard, Austin, Travis County, Texas, 78705, United States"
"memorial stadium (bloomington, in)","Memorial Stadium (Bloomington, IN)",Indiana,39.180894,-86.525642,,outdoor,,"geocoded via Nominatim: Memorial Stadium (Bloomington, IN) Indiana United States | Memorial Stadium, Faris Way, Bloomington, Monroe County, Indiana, 47405, United States"
"memorial stadium (champaign, il)","Memorial Stadium (Champaign, IL)",Illinois,40.099286,-88.235961,,outdoor,,"geocoded via Nominatim: Memorial Stadium (Champaign, IL) Illinois United States | Gies Memorial Stadium, 1402, South First Street, Campustown, Champaign, Champaign County, Illinois, 61820, United States"
"memorial stadium (clemson, sc)","Memorial Stadium (Clemson, SC)",Clemson,34.6787,-82.843,America/New_York,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable | geocode failed
"memorial stadium (lincoln, ne)","Memorial Stadium (Lincoln, NE)",Nebraska,40.820718,-96.704756,,outdoor,,"geocoded via Nominatim: Memorial Stadium (Lincoln, NE) Nebraska United States | Memorial Stadium, 1, Salt Creek Roadway Trail, North Lincoln, Lincoln, Lancaster County, Nebraska, 68588, United States"
"memorial stadium (norman, ok)","Memorial Stadium (Norman, OK)",Oklahoma,35.205679,-97.442264,,outdoor,,"geocoded via Nominatim: Memorial Stadium (Norman, OK) Oklahoma United States | Gaylord Family - Oklahoma Memorial Stadium, 1185, Asp Avenue, Norman, Cleveland County, Oklahoma, 73019, United States"
mercedes-benz stadium,Mercedes-Benz Stadium,Auburn,33.755412,-84.400849,,retractable,,"geocoded via Nominatim: Mercedes-Benz Stadium stadium United States | Atlanta Stadium, 1414, Andrew Young International Boulevard, Atlanta, Fulton County, Georgia, 30313, United States"
metlife stadium,MetLife Stadium,Army,40.813507,-74.074344,,outdoor,,"geocoded via Nominatim: MetLife Stadium stadium United States | New York New Jersey Stadium, 1, MetLife Stadium Drive, East Rutherford, Bergen County, New Jersey, 07073, United States"
michie stadium,Michie Stadium,Army,41.387302,-73.964292,,outdoor,,"geocoded via Nominatim: Michie Stadium stadium United States | Michie Stadium, Howze Place, Town of Highlands, Orange County, New York, 10996, United States"
