season,team,overall,overall_rank,offense,offense_rank,defense,defense_rank,source
2023,So. Miss,60,81,68,58,53,90,Bill Connelly/SP+ returning production 2023
2023,Houston,60,82,77,24,43,119,Bill Connelly/SP+ returning production 2023
2023,Troy,60,83,64,69,55,84,Bill Connelly/SP+ returning production 2023
2023,Fresno St.,59,84,48,112,71,37,Bill Connelly/SP+ returning production 2023
2023,BGSU,59,85,63,74,54,87,Bill Connelly/SP+ returning production 2023
2023,Air Force,59,86,47,113,70,41,Bill Connelly/SP+ returning production 2023
2023,Minnesota,58,87,59,91,57,78,Bill Connelly/SP+ returning production 2023
2023,ODU,57,88,69,54,46,116,Bill Connelly/SP+ returning production 2023
2023,Oklahoma St.,57,89,65,66,50,101,Bill Connelly/SP+ returning production 2023
2023,Arizona,57,90,72,43,42,121,Bill Connelly/SP+ returning production 2023
2023,Miss. St.,57,91,71,51,43,118,Bill Connelly/SP+ returning production 2023
2023,Ball St.,57,92,58,94,56,82,Bill Connelly/SP+ returning production 2023
2023,Colorado,57,93,57,98,57,79,Bill Connelly/SP+ returning production 2023
2023,Iowa,57,94,64,72,49,102,Bill Connelly/SP+ returning production 2023
2023,USF,56,95,46,116,67,50,Bill Connelly/SP+ returning production 2023
2023,Northwestern,56,96,46,115,66,52,Bill Connelly/SP+ returning production 2023
2023,SDSU,56,97,71,46,40,123,Bill Connelly/SP+ returning production 2023
2023,NC St.,56,98,62,77,49,104,Bill Connelly/SP+ returning production 2023
2023,Louisville,56,99,61,85,50,100,Bill Connelly/SP+ returning production 2023
2023,Baylor,55,100,60,88,51,97,Bill Connelly/SP+ returning production 2023
2023,Arkansas St.,55,101,49,111,62,71,Bill Connelly/SP+ returning production 2023
2023,S. Carolina,55,102,63,76,48,113,Bill Connelly/SP+ returning production 2023
2023,Utah St.,55,103,44,119,66,56,Bill Connelly/SP+ returning production 2023
2023,Liberty,55,104,63,75,47,115,Bill Connelly/SP+ returning production 2023
2023,WKU,55,105,68,56,41,122,Bill Connelly/SP+ returning production 2023
2023,Arkansas,54,106,58,93,51,96,Bill Connelly/SP+ returning production 2023
2023,Florida,54,107,55,103,53,91,Bill Connelly/SP+ returning production 2023
2023,Nevada,53,108,53,105,54,89,Bill Connelly/SP+ returning production 2023
2023,Arizona St.,53,109,61,86,45,117,Bill Connelly/SP+ returning production 2023
2023,Buffalo,53,110,57,95,49,108,Bill Connelly/SP+ returning production 2023
2023,SJSU,53,111,57,99,48,109,Bill Connelly/SP+ returning production 2023
2023,Wake Forest,52,112,46,117,59,75,Bill Connelly/SP+ returning production 2023
2023,UL-Monroe,52,113,39,124,66,55,Bill Connelly/SP+ returning production 2023
2023,Ohio,52,114,78,19,26,133,Bill Connelly/SP+ returning production 2023
2023,UTSA,52,115,56,100,48,110,Bill Connelly/SP+ returning production 2023
2023,Virginia,52,116,40,123,64,63,Bill Connelly/SP+ returning production 2023
2023,SMU,52,117,56,101,48,112,Bill Connelly/SP+ returning production 2023
2023,TCU,52,118,33,130,71,40,Bill Connelly/SP+ returning production 2023
2023,Pittsburgh,51,119,52,106,49,106,Bill Connelly/SP+ returning production 2023
2023,Charlotte,50,120,52,108,48,111,Bill Connelly/SP+ returning production 2023
2023,WMU,49,121,67,61,31,129,Bill Connelly/SP+ returning production 2023
2023,Hawaii,47,122,45,118,49,105,Bill Connelly/SP+ returning production 2023
2023,Ga. Southern,47,123,37,125,56,81,Bill Connelly/SP+ returning production 2023
2023,Cincinnati,46,124,42,121,49,107,Bill Connelly/SP+ returning production 2023
2023,Alabama,40,125,43,120,38,127,Bill Connelly/SP+ returning production 2023
2023,Tulsa,40,126,41,122,38,126,Bill Connelly/SP+ returning production 2023
2023,UAB,39,127,36,128,42,120,Bill Connelly/SP+ returning production 2023
2023,Texas St.,38,128,37,126,40,124,Bill Connelly/SP+ returning production 2023
2023,Stanford,35,129,34,129,36,128,Bill Connelly/SP+ returning production 2023
2023,ECU,34,130,30,132,39,125,Bill Connelly/SP+ returning production 2023
2023,App. St.,33,131,36,127,30,131,Bill Connelly/SP+ returning production 2023
2023,Georgia St.,31,132,32,131,30,132,Bill Connelly/SP+ returning production 2023
2023,Kent St.,25,133,19,133,31,130,Bill Connelly/SP+ returning production 2023
2024,Va. Tech,86,1,95,1,77,12,Bill Connelly/SP+ returning production 2024
2024,Iowa St.,85,2,90,2,80,5,Bill Connelly/SP+ returning production 2024
2024,Nebraska,77,3,76,23,78,9,Bill Connelly/SP+ returning production 2024
2024,Oklahoma St.,77,4,79,15,74,14,Bill Connelly/SP+ returning production 2024
2024,Virginia,76,5,85,5,68,30,Bill Connelly/SP+ returning production 2024
2024,Northwestern,76,6,64,53,88,1,Bill Connelly/SP+ returning production 2024
2024,Kennesaw St.,76,7,80,13,71,22,Bill Connelly/SP+ returning production 2024
2024,Rutgers,74,8,69,42,79,6,Bill Connelly/SP+ returning production 2024
2024,Miami (Ohio),74,9,79,19,70,29,Bill Connelly/SP+ returning production 2024
2024,Syracuse,74,10,81,9,67,34,Bill Connelly/SP+ returning production 2024
2024,UMass,74,11,66,49,81,3,Bill Connelly/SP+ returning production 2024
2024,Rice,73,12,62,64,84,2,Bill Connelly/SP+ returning production 2024
2024,Louisiana,73,13,73,31,73,20,Bill Connelly/SP+ returning production 2024
2024,California,73,14,79,17,66,36,Bill Connelly/SP+ returning production 2024
2024,Colorado,72,15,69,41,76,13,Bill Connelly/SP+ returning production 2024
2024,Utah,72,16,75,26,70,28,Bill Connelly/SP+ returning production 2024
2024,USF,72,17,87,4,58,67,Bill Connelly/SP+ returning production 2024
2024,Texas A&M,72,18,77,22,67,35,Bill Connelly/SP+ returning production 2024
2024,Minnesota,71,19,68,44,74,17,Bill Connelly/SP+ returning production 2024
2024,Wisconsin,71,20,70,37,71,25,Bill Connelly/SP+ returning production 2024
2024,TCU,71,21,63,58,78,10,Bill Connelly/SP+ returning production 2024
2024,ODU,70,22,85,6,56,77,Bill Connelly/SP+ returning production 2024
2024,Penn St.,70,23,74,28,66,37,Bill Connelly/SP+ returning production 2024
2024,W. Virginia,70,24,89,3,52,95,Bill Connelly/SP+ returning production 2024
2024,Texas,70,25,74,30,66,38,Bill Connelly/SP+ returning production 2024
2024,Memphis,69,26,74,29,65,45,Bill Connelly/SP+ returning production 2024
