season,week,game_id,home_team,away_team,market,spread_opener,spread_close,spread_pricing_gap,spread_actual_remaining_move,predicted_residual_move,prob_negative,prob_no_move,prob_positive,predicted_direction,actual_direction,selection_partition,total_opener,total_close,total_pricing_gap,total_actual_remaining_move
2024,7,401635575,Pittsburgh,California,spread,-3.5,-3.5,3.11015871133374,0.0,-0.11087321830993563,0.3950159521927449,0.44227877808379884,0.16270526972345628,0,0,selection,,,,
2024,11,401643828,UL Monroe,Texas State,spread,7.0,9.5,6.571551847490493,2.5,0.5100448624528076,0.015902047768394552,0.043226247484114626,0.9408717047474908,1,1,selection,,,,
2024,14,401628444,Clemson,South Carolina,spread,-2.5,-2.5,-8.764031081368081,0.0,0.11078602759749122,0.16275009723669223,0.44240063189844314,0.3948492708648646,0,0,selection,,,,
2024,7,401636896,West Virginia,Iowa State,spread,3.0,3.0,0.1392613649318788,0.0,-0.2132018704876758,0.5968490740871402,0.29472694287122564,0.1084239830416341,0,0,selection,,,,
2024,11,401643829,Southern Miss,Marshall,spread,13.5,13.5,-6.630487836753075,0.0,0.5673560729497007,0.010277358474353097,0.0279367567853936,0.9617858847402534,1,0,selection,,,,
2024,11,401629045,North Texas,Army,spread,5.0,6.5,1.0853240505305308,1.5,0.43435661951540966,0.02776901394153685,0.07548400599150551,0.8967469800669575,1,1,selection,,,,
2024,11,401643826,James Madison,Georgia State,spread,-17.0,-15.5,3.6423760118136226,1.5,0.9807409130760548,0.0003907739223849081,0.001062233652254561,0.9985469924253605,1,1,selection,,,,
2024,11,401636921,Texas Tech,Colorado,spread,3.0,4.5,-5.89794892061153,1.5,0.236108498016995,0.09680390748805683,0.2631403026486154,0.6400557898633279,0,1,selection,,,,
2024,11,401629037,UAB,UConn,spread,6.0,7.5,-2.9604560089282304,1.5,-0.7264082783401888,0.9889913530619884,0.008047965783142423,0.0029606811548693237,-1,1,selection,,,,
2024,14,401636938,Colorado,Oklahoma State,spread,-16.5,-14.5,9.085566070311948,2.0,0.5355218666863695,0.013112870776579908,0.035644478350908816,0.9512426508725113,1,1,selection,,,,
2024,11,401628544,Rutgers,Minnesota,spread,6.5,6.5,-8.597978772948828,0.0,0.6574168051519783,0.005100174880902405,0.013863712700720282,0.9810361124183773,1,0,selection,,,,
2024,14,401628439,Georgia,Georgia Tech,spread,-19.5,-17.5,-0.5433696363013958,2.0,0.6418032732062852,0.005764181819997623,0.015668670697233524,0.9785671474827689,1,1,selection,,,,
2024,7,401635578,Virginia,Louisville,spread,7.5,7.5,-3.7386489234790816,0.0,-0.8310718973505863,0.9952047062908209,0.0035056406031458457,0.0012896531060332117,-1,0,selection,,,,
2024,14,401645376,Tulane,Memphis,spread,-14.0,-12.5,11.157674958109904,1.5,-0.19905713957371465,0.5693489616298743,0.3148311359963998,0.1158199023737259,0,1,selection,,,,
2024,14,401635623,Syracuse,Miami,spread,10.5,12.5,1.5603091778663476,2.0,0.5502183938909319,0.011721737872067458,0.031862987055601165,0.9564152750723314,1,1,selection,,,,
2024,11,401641021,UTEP,Kennesaw State,spread,-3.5,-4.5,-3.6569600989556994,-1.0,0.5980724328977004,0.008105743202862375,0.022033694454496214,0.9698605623426414,1,-1,selection,,,,
2024,11,401628541,Indiana,Michigan,spread,-14.0,-14.5,9.113846290421488,-0.5,-0.014926002778074132,0.23257041939794293,0.5610359783935606,0.20639360220849648,0,-1,selection,,,,
2024,11,401645364,Tulane,Temple,spread,-27.0,-25.5,3.5828272674689323,1.5,-0.2042103401483722,0.5794268578518552,0.3074636035087777,0.11310953863936704,0,1,selection,,,,
2024,7,401636895,UCF,Cincinnati,spread,-3.5,-2.5,-6.871459721036244,1.0,0.7339615737337625,0.00278887620316408,0.007580951504882777,0.9896301722919533,1,1,selection,,,,
2024,11,401643827,Louisiana,Arkansas State,spread,-14.0,-14.5,4.421234341946576,-0.5,0.23098929128275394,0.0993556716041959,0.27007671667603006,0.6305676117197739,0,-1,selection,,,,
2024,7,401628512,Iowa,Washington,spread,-3.0,-2.5,0.7295204341497761,0.5,0.5766449758515937,0.009567506226388498,0.026007178318860624,0.964425315454751,1,1,selection,,,,
2024,7,401628385,Alabama,South Carolina,spread,-21.5,-19.5,1.6882939890570832,2.0,0.5017876365781585,0.016919656415222164,0.04599239457726892,0.9370879490075089,1,1,selection,,,,
2024,14,401628446,Vanderbilt,Tennessee,spread,10.5,9.5,4.765322381488517,-1.0,2.0492044824714606,7.591616921864559e-08,2.063615432732662e-07,0.9999997177222875,1,-1,selection,,,,
