market,edge_threshold,probability_threshold,bets,positive_clv_rate,average_clv,median_clv,direction_accuracy,average_predicted_move,average_actual_move,record,win_rate,roi,maximum_drawdown_units,longest_losing_streak
total,0.25,0.525,452,0.5199115044247787,0.6460176991150443,1.0,0.5199115044247787,0.7320798832819025,0.6460176991150443,208-244-0,0.46017699115044247,-0.12148028962188254,69.18181818181826,12
total,0.25,0.55,415,0.5156626506024097,0.6,1.0,0.5156626506024097,0.7486404311442858,0.6,192-223-0,0.46265060240963857,-0.11675794085432636,61.8181818181819,10
total,0.25,0.575,404,0.5173267326732673,0.599009900990099,1.0,0.5173267326732673,0.7527186536742383,0.599009900990099,187-217-0,0.4628712871287129,-0.1163366336633663,55.818181818181884,10
total,0.25,0.6,333,0.5225225225225225,0.5825825825825826,1.0,0.5225225225225225,0.7806284115513545,0.5825825825825826,153-180-0,0.4594594594594595,-0.12285012285012284,50.18181818181819,9
total,0.25,0.625,289,0.5121107266435986,0.5294117647058824,1.0,0.5121107266435986,0.798430442324746,0.5294117647058824,128-161-0,0.4429065743944637,-0.15445108524693302,53.90909090909095,9
total,0.25,0.65,289,0.5121107266435986,0.5294117647058824,1.0,0.5121107266435986,0.798430442324746,0.5294117647058824,128-161-0,0.4429065743944637,-0.15445108524693302,53.90909090909095,9
total,0.5,0.525,452,0.5199115044247787,0.6460176991150443,1.0,0.5199115044247787,0.7320798832819025,0.6460176991150443,208-244-0,0.46017699115044247,-0.12148028962188254,69.18181818181826,12
total,0.5,0.55,415,0.5156626506024097,0.6,1.0,0.5156626506024097,0.7486404311442858,0.6,192-223-0,0.46265060240963857,-0.11675794085432636,61.8181818181819,10
total,0.5,0.575,404,0.5173267326732673,0.599009900990099,1.0,0.5173267326732673,0.7527186536742383,0.599009900990099,187-217-0,0.4628712871287129,-0.1163366336633663,55.818181818181884,10
total,0.5,0.6,333,0.5225225225225225,0.5825825825825826,1.0,0.5225225225225225,0.7806284115513545,0.5825825825825826,153-180-0,0.4594594594594595,-0.12285012285012284,50.18181818181819,9
total,0.5,0.625,289,0.5121107266435986,0.5294117647058824,1.0,0.5121107266435986,0.798430442324746,0.5294117647058824,128-161-0,0.4429065743944637,-0.15445108524693302,53.90909090909095,9
total,0.5,0.65,289,0.5121107266435986,0.5294117647058824,1.0,0.5121107266435986,0.798430442324746,0.5294117647058824,128-161-0,0.4429065743944637,-0.15445108524693302,53.90909090909095,9
total,0.75,0.525,151,0.5629139072847682,0.5562913907284768,1.0,0.5629139072847682,0.8657824084581824,0.5562913907284768,61-90-0,0.40397350993377484,-0.22877784467188442,39.99999999999998,7
total,0.75,0.55,151,0.5629139072847682,0.5562913907284768,1.0,0.5629139072847682,0.8657824084581824,0.5562913907284768,61-90-0,0.40397350993377484,-0.22877784467188442,39.99999999999998,7
total,0.75,0.575,151,0.5629139072847682,0.5562913907284768,1.0,0.5629139072847682,0.8657824084581824,0.5562913907284768,61-90-0,0.40397350993377484,-0.22877784467188442,39.99999999999998,7
total,0.75,0.6,151,0.5629139072847682,0.5562913907284768,1.0,0.5629139072847682,0.8657824084581824,0.5562913907284768,61-90-0,0.40397350993377484,-0.22877784467188442,39.99999999999998,7
total,0.75,0.625,151,0.5629139072847682,0.5562913907284768,1.0,0.5629139072847682,0.8657824084581824,0.5562913907284768,61-90-0,0.40397350993377484,-0.22877784467188442,39.99999999999998,7
total,0.75,0.65,151,0.5629139072847682,0.5562913907284768,1.0,0.5629139072847682,0.8657824084581824,0.5562913907284768,61-90-0,0.40397350993377484,-0.22877784467188442,39.99999999999998,7
total,1.0,0.525,0,,,,,,,0-0-0,,,0.0,0
total,1.0,0.55,0,,,,,,,0-0-0,,,0.0,0
total,1.0,0.575,0,,,,,,,0-0-0,,,0.0,0
total,1.0,0.6,0,,,,,,,0-0-0,,,0.0,0
total,1.0,0.625,0,,,,,,,0-0-0,,,0.0,0
total,1.0,0.65,0,,,,,,,0-0-0,,,0.0,0
total,1.5,0.525,0,,,,,,,0-0-0,,,0.0,0
total,1.5,0.55,0,,,,,,,0-0-0,,,0.0,0
total,1.5,0.575,0,,,,,,,0-0-0,,,0.0,0
total,1.5,0.6,0,,,,,,,0-0-0,,,0.0,0
total,1.5,0.625,0,,,,,,,0-0-0,,,0.0,0
total,1.5,0.65,0,,,,,,,0-0-0,,,0.0,0
total,2.0,0.525,0,,,,,,,0-0-0,,,0.0,0
total,2.0,0.55,0,,,,,,,0-0-0,,,0.0,0
total,2.0,0.575,0,,,,,,,0-0-0,,,0.0,0
total,2.0,0.6,0,,,,,,,0-0-0,,,0.0,0
total,2.0,0.625,0,,,,,,,0-0-0,,,0.0,0
total,2.0,0.65,0,,,,,,,0-0-0,,,0.0,0
