canonical_game_id,market_type,quote_id,reason,sportsbook
g66,,daedd52f164ce5506f9adbb8b06954f29a201d2cfc4f67733cb41ff7bd42806b,unavailable,
g30,,2ea418aad4908bcd504f35b11fcbd3cc4442571a83189417a5df0dab244cf068,unavailable,
g30,,49a1814c3073c9c8f6ed3e8e24c92188d2f020057739819e2a569d4afb4dc994,unavailable,
g71,,398c6cb5b48e5a17b09493bdcab348265b8e9f6011fa6ba7c69de07517e30ace,unavailable,
g71,,88e735ee82903e6af8e0ab680f54f959dbc5fb4a6f21751e9dd45f5af39cca05,unavailable,
g89,,0585816146b10fee6308f85539917bb46e9a159a5910e60299b2e56e6b114204,unavailable,
g89,,e0e384bf830b9d9ee19e1f723b98af6bcd7c521de79266849bd761085ffc496f,unavailable,
g89,,603a4aeb1f68e9a9d416f971dcd389bb91f0d0bd202b138e6de570df1957d6cc,unavailable,
g89,,cd44245ff4b392a570b3b1734eeb0c6a4435f715cd58a71832a141dd9fdc5a65,unavailable,
g56,,d6e6f172cf3300c7cc5467aa4c11924dde15cb3e00a5913dab9b02e1bd72bf36,unavailable,
g56,,f5ef12d4b48f7913d4cc204b36193f1732fa6e5379bb2991b3fefd0a2e53d247,unavailable,
g56,,bb2c70f5b1027ae50475c221ee17a1202bd5c8f90bd054067eb2b3826566622b,unavailable,
g56,,6065de65a2d236e6c42359372801dcf775ec965c987fd9d2e0aa08c382d2ea1d,unavailable,
g88,,6f2ab6937ba138b3e49574091b2f2bdc9cb07c35fcf71bd246b1e2e960109c10,unavailable,
g88,,0325b42ccd129ae9fe0dde2606a07b5f938ed77bbfa899d66c5f8423ec8ba57a,unavailable,
g52,,32c5eb33de090dc0001d25cf5a48922d22a2f6c311e615abf983f8b44518b77a,unavailable,
g52,,7e1863b2f919d813508d8d8abdfb18ce03f777100a61837a93209010b9f6ce23,unavailable,
g52,,10366ffbf535e013f9323907fdef0dbc8f510185ece4eb1d1e3dffccbb281497,unavailable,
g52,,95044c9ad4fedbb4ada40b2f30a492cc0da0f668c4c386cc5492e14f0a7da131,unavailable,
g64,,ae3626f123e26a8db7af2cb9a6d186639d5d76582037bb59b756072f22d89159,unavailable,
g64,,fc6817464437aa63b77ad53ba1c4e1d1f829e142729363a586c9554af4261b74,unavailable,
g64,,4ba55b07b63328c4aec2335c8664e3c6039e4b2e294cd5804d944413676f36ca,unavailable,
g64,,331d7e563bf2ed45e22652a5c2dde947f2cf07c274a50f9804ad0934b36bf04e,unavailable,
g76,,d791a0ed0ddd056cf670948b53c6c18f23a8b5038d13b889d40684e281bdb9f6,unavailable,
