predicted_size,n,mae,median_absolute_error,rmse,signed_bias,correlation,overshoot_rate,undershoot_rate
0-.25,388,0.6122512907919553,0.48162178931165844,0.8609043901337379,-0.01632448343364571,0.21695799527788603,0.13659793814432988,0.8634020618556701
.25-.5,356,0.6947666758847199,0.4625905641609601,1.0727291890988575,0.018185139245454878,0.38568245259390777,0.3651685393258427,0.6348314606741573
.5-1,377,0.7164232398508371,0.470065599144013,1.0998926374055273,0.035164679800680256,0.6587890728296389,0.48010610079575594,0.519893899204244
1-2,236,1.3608374597835327,0.7114850974520871,2.1141473036538247,-0.19933998460036131,0.7541132975432852,0.4661016949152542,0.5338983050847458
2+,28,3.1409034855054023,1.6395349567262978,4.35047372388313,0.16565322927368548,0.7996366970199844,0.39285714285714285,0.6071428571428571
