threshold,direction_model,magnitude_model,balanced_accuracy,macro_f1,direction_accuracy,mae,rmse
0.75,ordinal_ridge_proxy,huber,0.6103125605546483,0.6205307235514971,0.6502571638501102,0.807415732878389,1.2697748193310512
0.75,ordinal_ridge_proxy,ridge,0.6103125605546483,0.6205307235514971,0.6502571638501102,0.8402070546406356,1.2335550240937085
0.75,ordinal_ridge_proxy,two_stage,0.6103125605546483,0.6205307235514971,0.6502571638501102,0.8420558670542788,1.2832187400284285
0.75,ordinal_ridge_proxy,elastic,0.6103125605546483,0.6205307235514971,0.6502571638501102,0.8503218358005381,1.2744573012160483
1.0,ordinal_ridge_proxy,huber,0.6033607948037583,0.6183465883598002,0.7127112417340191,0.807415732878389,1.2697748193310512
1.0,ordinal_ridge_proxy,ridge,0.6033607948037583,0.6183465883598002,0.7127112417340191,0.8402070546406356,1.2335550240937085
1.0,ordinal_ridge_proxy,two_stage,0.6033607948037583,0.6183465883598002,0.7127112417340191,0.8488813864787109,1.3062273246320888
1.0,ordinal_ridge_proxy,elastic,0.6033607948037583,0.6183465883598002,0.7127112417340191,0.8503218358005381,1.2744573012160483
1.0,gradient_boosted_stumps,huber,0.5858630494015925,0.6045406731531976,0.7075679647318148,0.807415732878389,1.2697748193310512
1.0,gradient_boosted_stumps,ridge,0.5858630494015925,0.6045406731531976,0.7075679647318148,0.8402070546406356,1.2335550240937085
1.0,gradient_boosted_stumps,two_stage,0.5858630494015925,0.6045406731531976,0.7075679647318148,0.8488813864787109,1.3062273246320888
1.0,gradient_boosted_stumps,elastic,0.5858630494015925,0.6045406731531976,0.7075679647318148,0.8503218358005381,1.2744573012160483
0.5,ordinal_ridge_proxy,huber,0.5805264906754787,0.5847886678347787,0.5775165319617928,0.807415732878389,1.2697748193310512
0.5,ordinal_ridge_proxy,ridge,0.5805264906754787,0.5847886678347787,0.5775165319617928,0.8402070546406356,1.2335550240937085
0.5,ordinal_ridge_proxy,two_stage,0.5805264906754787,0.5847886678347787,0.5775165319617928,0.8419838302577243,1.2710838419154684
0.5,ordinal_ridge_proxy,elastic,0.5805264906754787,0.5847886678347787,0.5775165319617928,0.8503218358005381,1.2744573012160483
0.75,gradient_boosted_stumps,huber,0.5604788690159322,0.5891335318584142,0.65686994856723,0.807415732878389,1.2697748193310512
0.75,gradient_boosted_stumps,ridge,0.5604788690159322,0.5891335318584142,0.65686994856723,0.8402070546406356,1.2335550240937085
0.75,gradient_boosted_stumps,two_stage,0.5604788690159322,0.5891335318584142,0.65686994856723,0.8420558670542788,1.2832187400284285
0.75,gradient_boosted_stumps,elastic,0.5604788690159322,0.5891335318584142,0.65686994856723,0.8503218358005381,1.2744573012160483
0.5,multinomial_logistic,huber,0.5520157762767278,0.5645075239111196,0.5672299779573843,0.807415732878389,1.2697748193310512
0.5,multinomial_logistic,ridge,0.5520157762767278,0.5645075239111196,0.5672299779573843,0.8402070546406356,1.2335550240937085
0.5,multinomial_logistic,two_stage,0.5520157762767278,0.5645075239111196,0.5672299779573843,0.8419838302577243,1.2710838419154684
0.5,multinomial_logistic,elastic,0.5520157762767278,0.5645075239111196,0.5672299779573843,0.8503218358005381,1.2744573012160483
0.5,gradient_boosted_stumps,huber,0.5316836727182096,0.5401796054038303,0.5510653930933137,0.807415732878389,1.2697748193310512
0.5,gradient_boosted_stumps,ridge,0.5316836727182096,0.5401796054038303,0.5510653930933137,0.8402070546406356,1.2335550240937085
0.5,gradient_boosted_stumps,two_stage,0.5316836727182096,0.5401796054038303,0.5510653930933137,0.8419838302577243,1.2710838419154684
0.5,gradient_boosted_stumps,elastic,0.5316836727182096,0.5401796054038303,0.5510653930933137,0.8503218358005381,1.2744573012160483
