feature,standardized_abs_coefficient,signed_coefficient
recent_form_vs_season,1.808657532562175,-1.808657532562175
opponent_adjusted_recent_form,1.783496785008257,1.783496785008257
closing_spread,0.5961190487790001,-0.5961190487790001
residualized_repeatable_spread,0.37460645846251484,-0.37460645846251484
ats_margin,0.33138513962615507,-0.33138513962615507
trailing_3_game_ats,0.20776737370609694,0.20776737370609694
regularized_repeatable_spread,0.20032078314036855,0.20032078314036855
final_margin,0.15104408665541108,0.15104408665541108
gc_game_control_index,0.15081693285216966,0.15081693285216966
trailing_2_game_ppa,0.12386964996506969,-0.12386964996506969
trailing_2_game_ats,0.0908055193874224,0.0908055193874224
rules_repeatable_spread,0.08418594009169178,0.08418594009169178
trailing_3_game_ppa,0.08243372918127338,-0.08243372918127338
off_ppa,0.06413239147659909,0.06413239147659909
off_explosiveness,0.05606654729920808,0.05606654729920808
repeatable_offense_performance,0.0491961626765424,0.0491961626765424
drive_def_points_per_opportunity_allowed,0.03920886387311406,-0.03920886387311406
raw_pbp_performance,0.03596829942850515,0.03596829942850515
def_explosiveness_allowed,0.02193271926869623,-0.02193271926869623
drive_off_points_per_opportunity,0.021148403779496457,0.021148403779496457
repeatable_defense_performance,0.012414222565893605,0.012414222565893605
off_success_rate,0.01139184105228496,0.01139184105228496
off_plays,0.00903036354462053,0.00903036354462053
total_residual,0.004983711739255596,0.004983711739255596
def_success_allowed,0.0037970744394367397,0.0037970744394367397
def_ppa_allowed,0.0019362677657968105,0.0019362677657968105
def_havoc_rate,0.0017357256150238522,-0.0017357256150238522
