model,market,n,mae,positive_clv_rate,average_clv,ats_win_rate,roi,status
No movement adjustment,spread,606,5.398088531845881,0.389351081530782,0.23460898502495842,0.5083612040133779,-0.029345031008924514,evaluated
Current production spread formula lambda=0.50,spread,606,8.4256045628008,0.40931780366056575,0.2795341098169717,0.4414715719063545,-0.15640599001663893,evaluated
Raw ATS-based team movement,spread,606,8.4256045628008,0.40931780366056575,0.2795341098169717,0.4414715719063545,-0.15640599001663893,evaluated
Raw PBP-based team movement,spread,606,5.024725566189525,0.40931780366056575,0.324459234608985,0.5150501672240803,-0.016638935108153074,evaluated
Repeatable-performance team movement,spread,606,5.024725566189525,0.40931780366056575,0.324459234608985,0.5150501672240803,-0.016638935108153074,evaluated
Direction-plus-magnitude two-stage model,spread,606,4.972421840677375,0.39600665557404324,0.2945091514143095,0.5066889632107023,-0.03252155498411738,evaluated
Rating-system-aligned model (unavailable snapshots),spread,0,,,,,,not estimable
High-confidence filtered model,spread,106,5.194810804891827,0.41346153846153844,0.5576923076923077,0.4854368932038835,-0.07255244755244755,evaluated
Gradient-boosted challenger,spread,606,5.082414974409079,0.39267886855241263,0.2545757071547421,0.5033444816053512,-0.038874602934503094,evaluated
No movement adjustment,total,679,3.470701385833934,0.48545176110260335,0.6568778979907264,0.5160796324655437,-0.014757065293053036,evaluated
Current total formula lambda=0.85,total,679,9.17786188202241,0.4333843797856049,0.30627871362940273,0.49310872894333846,-0.058610608380899334,evaluated
Repeatable-performance combined total,total,679,3.9461571235455057,0.5114854517611026,0.7044410413476263,0.4885145482388974,-0.0673813169984686,evaluated
