confidence_tier,n,projected_close_mae,positive_clv_rate,average_clv,median_clv,ats_win_rate,roi
High,106,5.194810804891827,0.41346153846153844,0.5576923076923077,0.0,0.4854368932038835,-0.07255244755244755
Low,286,4.5681778395734876,0.3767605633802817,0.19014084507042253,0.0,0.5141843971631206,-0.018245838668373888
Medium,214,5.4025178879155975,0.4131455399061033,0.3051643192488263,0.0,0.5070422535211268,-0.03201024327784892
