season,week,game_id,home_team,away_team,away_previous_game_id,home_previous_game_id,frozen_away_rating,frozen_home_rating,predicted_away_movement,predicted_home_movement,updated_away_rating,updated_home_rating,hfa,neutral_site_status,projected_close,no_movement_projection,current_lambda_050_projection,repeatable_projection,boosted_projection,actual_opener,actual_close,predicted_direction,actual_direction,clv,actual_margin,bet_side,bet_line,ats_result,confidence_tier,model_provenance
2021,8,401310728,Hawai'i,New Mexico State,401310717,401310722,-19.340943543417293,-5.864163526361356,-1.3597515256944657,-0.5658721166662887,-20.70069506911176,-6.430035643027645,2.5,unknown; historical source has no neutral flag,-16.770659426084116,-15.976780017055937,-13.726780017055937,-17.078046386226255,-15.976780017055937,-18.0,-19.0,1.0,-1.0,-1.0,14,away,18.0,W,Medium,frozen pre-previous-game ratings plus two-stage team movement; opener/close evaluation-only
2022,5,401405104,Ohio State,Rutgers,401405091,401405095,3.067530938523557,20.47616064431436,-0.5082817265896257,0.7778252247398988,2.5592492119339316,21.253985869054258,2.5,unknown; historical source has no neutral flag,-21.194736657120327,-19.9086297057908,-30.9086297057908,-21.788315815852503,-21.712174544500172,-41.0,-39.0,1.0,1.0,2.0,39,away,41.0,W,Medium,frozen pre-previous-game ratings plus two-stage team movement; opener/close evaluation-only
2022,7,401415240,Hawai'i,Nevada,401415233,401415235,-9.971226195811418,-15.645341120668268,0.4758765886864501,-1.401220816648803,-9.495349607124968,-17.046561937317072,2.5,unknown; historical source has no neutral flag,5.051212330192104,3.17411492485685,-10.82588507514315,3.254277426230848,4.670665085071315,4.5,6.0,1.0,1.0,1.5,15,away,-4.5,L,Medium,frozen pre-previous-game ratings plus two-stage team movement; opener/close evaluation-only
2022,8,401411141,Georgia Tech,Virginia,401411136,401411132,-1.9328675990744353,-9.828341974383086,0.07203928260441075,0.11763697215077992,-1.8608283164700246,-9.710705002232306,2.5,unknown; historical source has no neutral flag,5.349876685762281,5.395474375308651,-7.104525624691348,4.976101558325662,5.767848381821084,-3.5,-3.5,1.0,0.0,0.0,-7,away,3.5,W,Low,frozen pre-previous-game ratings plus two-stage team movement; opener/close evaluation-only
2022,8,401426590,Louisiana Tech,Rice,401426585,401426586,-10.704802707701212,-10.237460075628276,0.14007023998026383,-0.18707009482624165,-10.564732467720948,-10.424530170454517,2.5,unknown; historical source has no neutral flag,-2.6402022972664305,-2.9673426320729366,4.282657367927065,-2.640245165019678,-2.9673426320729366,2.5,3.0,-1.0,1.0,-0.5,-1,home,2.5,W,Low,frozen pre-previous-game ratings plus two-stage team movement; opener/close evaluation-only
2022,8,401416627,Miami (OH),Western Michigan,401416623,401416622,-5.364264191884579,-9.374741856983352,-0.1391211534998037,0.5139651544801699,-5.503385345384382,-8.860776702503182,2.5,unknown; historical source has no neutral flag,0.8573913571188001,1.5104776650987732,-3.4895223349012277,2.4806142030413474,1.2430418672302403,-5.5,-7.0,1.0,-1.0,-1.5,-6,away,5.5,W,Low,frozen pre-previous-game ratings plus two-stage team movement; opener/close evaluation-only
2022,8,401405120,Penn State,Minnesota,401405112,401405115,9.961632996031272,11.890022046679674,0.2740202762220192,-0.5576208302942255,10.235653272253291,11.332401216385447,2.5,unknown; historical source has no neutral flag,-3.596747944132156,-4.428389050648402,-4.178389050648402,-3.8423380561527107,-3.8055810751162067,-5.0,-5.5,1.0,-1.0,-0.5,28,away,5.0,L,Medium,frozen pre-previous-game ratings plus two-stage team movement; opener/close evaluation-only
2022,11,401405134,Illinois,Purdue,401405130,401405127,6.3352835626763175,3.6055959872743384,0.0073853995365243934,1.1874346047667712,6.342668962212842,4.793030592041109,2.5,unknown; historical source has no neutral flag,-0.9503616298282678,0.22968757540197915,-0.020312424598020407,-0.6014589345450401,-0.9510492877751959,-6.5,-6.0,1.0,1.0,0.5,-7,away,6.5,W,Low,frozen pre-previous-game ratings plus two-stage team movement; opener/close evaluation-only
2022,11,401426373,Marshall,App State,401426364,401426366,3.7520464436812953,1.1275258227474745,0.07342680079124941,0.21358453439212563,3.8254732444725446,1.3411103571396001,2.5,unknown; historical source has no neutral flag,-0.015637112667055586,0.12452062093382077,-9.125479379066178,-0.032714477739757886,0.12452062093382077,0.0,2.0,-1.0,1.0,-2.0,7,home,0.0,W,Low,frozen pre-previous-game ratings plus two-stage team movement; opener/close evaluation-only
2023,3,401520243,Rutgers,Virginia Tech,401520215,401520210,4.5000000000001705,1.5000000000000735,0.07469400963833557,0.7473524676651995,4.574694009638506,2.247352467665273,2.5,unknown; historical source has no neutral flag,-0.17265845802676694,0.5000000000000968,-13.999999999999902,-0.5708172821137647,0.23256420213156348,-4.5,-6.5,1.0,-1.0,-2.0,19,away,4.5,L,Low,frozen pre-previous-game ratings plus two-stage team movement; opener/close evaluation-only
2023,4,401531849,Coastal Carolina,Georgia State,401531403,401520187,-2.6676510129276227,-3.9999999999953544,0.7250030634913376,0.8297236147958712,-1.9426479494362852,-3.1702763851994833,2.5,unknown; historical source has no neutral flag,-1.2723715642368019,-1.1676510129322684,3.332348987067732,-0.5882181289466528,-2.0809520782409097,-6.5,-6.5,1.0,0.0,0.0,-13,away,6.5,W,Medium,frozen pre-previous-game ratings plus two-stage team movement; opener/close evaluation-only
2023,4,401520266,Purdue,Wisconsin,401520249,401520242,8.512530346033913,2.2741497757658276,0.7367559128278354,-0.09464764407085056,9.249286258861748,2.179502131694977,2.5,unknown; historical source has no neutral flag,4.569784127166771,3.7383805702680846,10.988380570268085,4.273943304782769,5.291491439957693,6.0,6.5,-1.0,1.0,-0.5,-21,home,6.0,L,Low,frozen pre-previous-game ratings plus two-stage team movement; opener/close evaluation-only
2023,4,401525505,Virginia,NC State,401525436,401520231,6.333333333333409,-8.313984508237002,-0.6477953471805967,-0.8294296147052495,5.685537986152813,-9.143414122942252,2.5,unknown; historical source has no neutral flag,12.328952109095065,12.147317841570413,10.897317841570413,12.070292704126354,13.021060026252684,9.5,7.5,1.0,-1.0,-2.0,-3,away,-9.5,L,Medium,frozen pre-previous-game ratings plus two-stage team movement; opener/close evaluation-only
2023,4,401532584,San José State,Air Force,401532581,401532403,3.862423275362643,-7.979319564710208,0.2977065431039369,-0.41326105114716377,4.16012981846658,-8.392580615857371,2.5,unknown; historical source has no neutral flag,10.052710434323952,9.34174284007285,11.34174284007285,9.892602105814733,10.23198661347358,3.5,6.0,1.0,1.0,2.5,-25,away,-3.5,W,Medium,frozen pre-previous-game ratings plus two-stage team movement; opener/close evaluation-only
2023,4,401532583,San Diego State,Boise State,401525827,401524009,-3.999999999999335,-2.837634631580899,-0.461036512790262,-1.3405583043892793,-4.4610365127895975,-4.178192935970179,2.5,unknown; historical source has no neutral flag,-2.7828435768194186,-3.662365368418436,-6.9123653684184365,-3.4442707597611206,-2.538189214716402,6.5,6.5,-1.0,0.0,0.0,-3,home,6.5,W,Medium,frozen pre-previous-game ratings plus two-stage team movement; opener/close evaluation-only
