model,n,accuracy,balanced_accuracy,macro_f1
rules_based,1385,0.38483754512635376,0.48863519835929,0.3866541507282239
ordinal_ridge_proxy,1385,0.6620938628158844,0.6260565659056647,0.637596290900286
multinomial_logistic,1385,0.6483754512635379,0.5203093782132199,0.5459604895649077
gradient_boosted_stumps,1385,0.6606498194945848,0.5732180823643168,0.6018465726085652
