week,n,projected_close_mae,positive_clv_rate,average_clv,ats_win_rate
3,3,9.594581900388897,0.6666666666666666,1.6666666666666667,0.3333333333333333
4,36,7.942728043974948,0.3888888888888889,0.0,0.5428571428571428
5,51,6.521822651919462,0.35294117647058826,0.1568627450980392,0.49019607843137253
6,50,6.545934251586301,0.3541666666666667,-0.020833333333333332,0.5208333333333334
7,56,4.103508627066287,0.45454545454545453,0.43636363636363634,0.6
8,59,4.66938787555341,0.423728813559322,0.3305084745762712,0.5862068965517241
9,53,4.8230569320115,0.5283018867924528,0.5188679245283019,0.4528301886792453
10,52,4.235305739745665,0.34615384615384615,0.019230769230769232,0.5384615384615384
11,51,4.499903677985449,0.38,0.81,0.58
12,58,4.142299542855859,0.39655172413793105,0.23275862068965517,0.4827586206896552
13,60,4.005059852834021,0.38333333333333336,0.4583333333333333,0.38333333333333336
14,67,4.685455354494742,0.373134328358209,0.20149253731343283,0.4393939393939394
15,9,3.457892517252681,0.125,-0.25,0.625
16,1,2.4091350629083905,0.0,0.0,0.0
