Team,Slug,Logo File,Status,ESPN Display Name,ESPN ID,ESPN Logo URL,Matched On,Match Type
Nevada,nevada,logos/nevada.png,downloaded,Nevada Wolf Pack,2440,https://a.espncdn.com/i/teamlogos/ncaa/500/2440.png,Nevada,exact
New Mexico,new-mexico,logos/new-mexico.png,downloaded,New Mexico Lobos,167,https://a.espncdn.com/i/teamlogos/ncaa/500/167.png,New Mexico,exact
New Mexico State,new-mexico-state,logos/new-mexico-state.png,downloaded,New Mexico State Aggies,166,https://a.espncdn.com/i/teamlogos/ncaa/500/166.png,New Mexico State Aggies,exact
North Carolina,north-carolina,logos/north-carolina.png,downloaded,North Carolina Tar Heels,153,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,North Carolina,exact
North Dakota State,north-dakota-state,logos/north-dakota-state.png,downloaded,North Dakota State Bison,2449,https://a.espncdn.com/i/teamlogos/ncaa/500/2449.png,North Dakota State Bison,exact
North Texas,north-texas,logos/north-texas.png,downloaded,North Texas Mean Green,249,https://a.espncdn.com/i/teamlogos/ncaa/500/249.png,North Texas,exact
Northern Illinois,northern-illinois,logos/northern-illinois.png,downloaded,Northern Illinois Huskies,2459,https://a.espncdn.com/i/teamlogos/ncaa/500/2459.png,Northern Illinois Huskies,exact
Northwestern,northwestern,logos/northwestern.png,downloaded,Northwestern Wildcats,77,https://a.espncdn.com/i/teamlogos/ncaa/500/77.png,Northwestern,exact
Notre Dame,notre-dame,logos/notre-dame.png,downloaded,Notre Dame Fighting Irish,87,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,Notre Dame,exact
Ohio,ohio,logos/ohio.png,downloaded,Ohio Bobcats,195,https://a.espncdn.com/i/teamlogos/ncaa/500/195.png,Ohio,exact
Ohio State,ohio-state,logos/ohio-state.png,downloaded,Ohio State Buckeyes,194,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,Ohio State,exact
Oklahoma,oklahoma,logos/oklahoma.png,downloaded,Oklahoma Sooners,201,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png,Oklahoma,exact
Oklahoma State,oklahoma-state,logos/oklahoma-state.png,downloaded,Oklahoma State Cowboys,197,https://a.espncdn.com/i/teamlogos/ncaa/500/197.png,Oklahoma State Cowboys,exact
Old Dominion,old-dominion,logos/old-dominion.png,downloaded,Old Dominion Monarchs,295,https://a.espncdn.com/i/teamlogos/ncaa/500/295.png,Old Dominion,exact
Ole Miss,ole-miss,logos/ole-miss.png,downloaded,Ole Miss Rebels,145,https://a.espncdn.com/i/teamlogos/ncaa/500/145.png,Ole Miss,exact
Oregon,oregon,logos/oregon.png,downloaded,Oregon Ducks,2483,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,Oregon,exact
Oregon State,oregon-state,logos/oregon-state.png,downloaded,Oregon State Beavers,204,https://a.espncdn.com/i/teamlogos/ncaa/500/204.png,Oregon State Beavers,exact
Penn State,penn-state,logos/penn-state.png,downloaded,Penn State Nittany Lions,213,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,Penn State,exact
Pittsburgh,pittsburgh,logos/pittsburgh.png,downloaded,Pittsburgh Panthers,221,https://a.espncdn.com/i/teamlogos/ncaa/500/221.png,Pittsburgh Panthers,exact
Purdue,purdue,logos/purdue.png,downloaded,Purdue Boilermakers,2509,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,manual ESPN ID 2509,manual_id
Rice,rice,logos/rice.png,downloaded,Rice Owls,242,https://a.espncdn.com/i/teamlogos/ncaa/500/242.png,Rice,exact
Rutgers,rutgers,logos/rutgers.png,downloaded,Rutgers Scarlet Knights,164,https://a.espncdn.com/i/teamlogos/ncaa/500/164.png,Rutgers,exact
Sacramento State,sacramento-state,logos/sacramento-state.png,downloaded,Sacramento State Hornets,16,https://a.espncdn.com/i/teamlogos/ncaa/500/16.png,Sacramento State Hornets,exact
Sam Houston,sam-houston,logos/sam-houston.png,downloaded,Sam Houston Bearkats,2534,https://a.espncdn.com/i/teamlogos/ncaa/500/2534.png,manual ESPN ID 2534,manual_id
San Diego State,san-diego-state,logos/san-diego-state.png,downloaded,San Diego State Aztecs,21,https://a.espncdn.com/i/teamlogos/ncaa/500/21.png,San Diego State Aztecs,exact
San Jose State,san-jose-state,logos/san-jose-state.png,downloaded,San José State Spartans,23,https://a.espncdn.com/i/teamlogos/ncaa/500/23.png,San José State Spartans,exact
SMU,smu,logos/smu.png,downloaded,SMU Mustangs,2567,https://a.espncdn.com/i/teamlogos/ncaa/500/2567.png,manual ESPN ID 2567,manual_id
South Alabama,south-alabama,logos/south-alabama.png,downloaded,South Alabama Jaguars,6,https://a.espncdn.com/i/teamlogos/ncaa/500/6.png,South Alabama,exact
South Carolina,south-carolina,logos/south-carolina.png,downloaded,South Carolina Gamecocks,2579,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,manual ESPN ID 2579,manual_id
South Florida,south-florida,logos/south-florida.png,downloaded,South Florida Bulls,58,https://a.espncdn.com/i/teamlogos/ncaa/500/58.png,South Florida,exact
Southern Miss,southern-miss,logos/southern-miss.png,downloaded,Southern Miss Golden Eagles,2572,https://a.espncdn.com/i/teamlogos/ncaa/500/2572.png,manual ESPN ID 2572,manual_id
Stanford,stanford,logos/stanford.png,downloaded,Stanford Cardinal,24,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,Stanford,exact
Syracuse,syracuse,logos/syracuse.png,downloaded,Syracuse Orange,183,https://a.espncdn.com/i/teamlogos/ncaa/500/183.png,Syracuse,exact
TCU,tcu,logos/tcu.png,downloaded,TCU Horned Frogs,2628,https://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,manual ESPN ID 2628,manual_id
Temple,temple,logos/temple.png,downloaded,Temple Owls,218,https://a.espncdn.com/i/teamlogos/ncaa/500/218.png,Temple,exact
Tennessee,tennessee,logos/tennessee.png,downloaded,Tennessee Volunteers,2633,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,manual ESPN ID 2633,manual_id
Texas,texas,logos/texas.png,downloaded,Texas Longhorns,251,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,Texas,exact
Texas A&M,texas-aandm,logos/texas-aandm.png,downloaded,Texas A&M Aggies,245,https://a.espncdn.com/i/teamlogos/ncaa/500/245.png,Texas A&M,exact
Texas State,texas-state,logos/texas-state.png,downloaded,Texas State Bobcats,326,https://a.espncdn.com/i/teamlogos/ncaa/500/326.png,Texas State Bobcats,exact
Texas Tech,texas-tech,logos/texas-tech.png,downloaded,Texas Tech Red Raiders,2641,https://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,manual ESPN ID 2641,manual_id
Toledo,toledo,logos/toledo.png,downloaded,Toledo Rockets,2649,https://a.espncdn.com/i/teamlogos/ncaa/500/2649.png,manual ESPN ID 2649,manual_id
