confidence,games,closing_total_mae,positive_clv_rate,average_clv,median_clv,directional_accuracy,win_rate,roi_at_minus_110
Conflict,61,3.035700505000556,0.5932203389830508,1.6271186440677967,1.0,0.5932203389830508,0.5423728813559322,0.03543913713405239
High confidence,275,2.509070297496738,0.5229007633587787,0.6679389312977099,1.0,0.5229007633587787,0.4961832061068702,-0.052741151977793194
Medium confidence,75,2.4343171516760393,0.4788732394366197,0.5774647887323944,0.0,0.4788732394366197,0.43661971830985913,-0.16645326504481434
