season,snapshot_week,teams,duplicate_team_rows,missing_overall,missing_offense,missing_defense,missing_special_teams,tempo_present,source_file
2021,0,130,0,0,0,0,130,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2021,1,130,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2021,3,130,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2021,4,130,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2021,5,130,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2021,6,130,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2021,7,130,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2021,8,130,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2021,9,130,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2021,10,130,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2021,11,130,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2021,12,130,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2021,13,130,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2021,14,130,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2022,0,131,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2022,1,131,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2022,2,131,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2022,3,131,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2022,4,131,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2022,5,131,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2022,6,131,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2022,7,131,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2022,8,131,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2022,9,131,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2022,10,131,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2022,11,131,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2022,12,131,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2023,0,133,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2023,1,133,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2023,2,133,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2023,3,133,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2023,4,133,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2023,5,133,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2023,6,133,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2023,7,133,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2023,8,133,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2023,9,133,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2023,10,133,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2023,11,133,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2023,12,133,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2023,13,133,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2023,14,133,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2024,0,134,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2024,1,134,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2024,2,134,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2024,4,134,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2024,6,134,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2024,7,134,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2024,8,134,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2024,9,134,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2024,10,134,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2024,11,134,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2024,12,134,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2024,13,134,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2024,14,134,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv
2025,1,136,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2025.csv
2025,2,136,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2025.csv
2025,3,136,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2025.csv
2025,4,136,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2025.csv
2025,5,136,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2025.csv
2025,6,136,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2025.csv
2025,7,136,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2025.csv
2025,8,136,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2025.csv
2025,9,136,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2025.csv
2025,10,136,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2025.csv
2025,11,136,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2025.csv
2025,12,136,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2025.csv
2025,13,136,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2025.csv
2025,14,136,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2025.csv
2025,15,136,0,0,0,0,0,False,data/import/sp_plus/espn_sp_plus_weekly_2025.csv
