team_a,coach_a,team_a_tendency,team_a_toss_wins_sample,team_a_receive_if_wins_toss_pct,team_a_projected_receive_opening_kick_pct,team_b,coach_b,team_b_tendency,team_b_toss_wins_sample,team_b_receive_if_wins_toss_pct,team_b_projected_receive_opening_kick_pct,projected_opening_receiver,edge_pct_points
South Carolina,Shane Beamer,Likely defer,10,30.0,65.0,Buffalo,Pete Lembo,No/low sample,2,0.0,35.0,South Carolina,30.0
South Carolina,Shane Beamer,Likely defer,10,30.0,65.0,Central Michigan,Matt Drinkall,No/low sample,2,0.0,35.0,South Carolina,30.0
South Carolina,Shane Beamer,Likely defer,10,30.0,65.0,Jacksonville State,Charles Kelly,No/low sample,2,0.0,35.0,South Carolina,30.0
South Carolina,Shane Beamer,Likely defer,10,30.0,65.0,Kent State,Mark Carney,No/low sample,2,0.0,35.0,South Carolina,30.0
South Carolina,Shane Beamer,Likely defer,10,30.0,65.0,Northwestern,David Braun,No/low sample,2,0.0,35.0,South Carolina,30.0
South Carolina,Shane Beamer,Likely defer,10,30.0,65.0,Rice,Scott Abell,No/low sample,2,0.0,35.0,South Carolina,30.0
South Carolina,Shane Beamer,Likely defer,10,30.0,65.0,Tulsa,Tre Lamb,No/low sample,2,0.0,35.0,South Carolina,30.0
South Carolina,Shane Beamer,Likely defer,10,30.0,65.0,Ball State,Mike Uremovich,No/low sample,1,0.0,35.0,South Carolina,30.0
South Carolina,Shane Beamer,Likely defer,10,30.0,65.0,Delaware,Ryan Carty,No/low sample,1,0.0,35.0,South Carolina,30.0
South Carolina,Shane Beamer,Likely defer,10,30.0,65.0,Massachusetts,Joe Harasymiak,No/low sample,1,0.0,35.0,South Carolina,30.0
South Carolina,Shane Beamer,Likely defer,10,30.0,15.0,Sam Houston,Phil Longo,No/low sample,1,0.0,35.0,Sam Houston,20.0
South Carolina,Shane Beamer,Likely defer,10,30.0,,Appalachian State,Dowell Loggains,No/low sample,0,,,No clear lean,
South Carolina,Shane Beamer,Likely defer,10,30.0,,California,Tosh Lupoi,No/low sample,0,,,No clear lean,
South Carolina,Shane Beamer,Likely defer,10,30.0,,Central Florida,Scott Frost,No/low sample,0,,,No clear lean,
South Carolina,Shane Beamer,Likely defer,10,30.0,,Fresno State,Matt Entz,No/low sample,0,,,No clear lean,
South Carolina,Shane Beamer,Likely defer,10,30.0,,Kansas State,Collin Klein,No/low sample,0,,,No clear lean,
South Carolina,Shane Beamer,Likely defer,10,30.0,,Kentucky,Will Stein,No/low sample,0,,,No clear lean,
South Carolina,Shane Beamer,Likely defer,10,30.0,,Michigan State,Pat Fitzgerald,No/low sample,0,,,No clear lean,
South Carolina,Shane Beamer,Likely defer,10,30.0,,Minnesota,P. J. Fleck,No/low sample,0,,,No clear lean,
South Carolina,Shane Beamer,Likely defer,10,30.0,,Missouri State,Casey Woods,No/low sample,0,,,No clear lean,
South Carolina,Shane Beamer,Likely defer,10,30.0,,North Dakota State,Tim Polasek,No/low sample,0,,,No clear lean,
South Carolina,Shane Beamer,Likely defer,10,30.0,,Northern Illinois,Rob Harley (interim),No/low sample,0,,,No clear lean,
South Carolina,Shane Beamer,Likely defer,10,30.0,,Ohio,John Hauser,No/low sample,0,,,No clear lean,
South Carolina,Shane Beamer,Likely defer,10,30.0,,Ole Miss,Pete Golding,No/low sample,0,,,No clear lean,
South Carolina,Shane Beamer,Likely defer,10,30.0,,Oregon State,JaMarcus Shephard,No/low sample,0,,,No clear lean,
South Carolina,Shane Beamer,Likely defer,10,30.0,,Sacramento State,Alonzo Carter,No/low sample,0,,,No clear lean,
South Carolina,Shane Beamer,Likely defer,10,30.0,,San Jose State,Ken Niumatalolo,No/low sample,0,,,No clear lean,
South Carolina,Shane Beamer,Likely defer,10,30.0,,South Florida,Brian Hartline,No/low sample,0,,,No clear lean,
South Carolina,Shane Beamer,Likely defer,10,30.0,,Southern Miss,Blake Anderson,No/low sample,0,,,No clear lean,
South Carolina,Shane Beamer,Likely defer,10,30.0,,Stanford,Tavita Pritchard,No/low sample,0,,,No clear lean,
South Carolina,Shane Beamer,Likely defer,10,30.0,,Temple,K. C. Keeler,No/low sample,0,,,No clear lean,
South Carolina,Shane Beamer,Likely defer,10,30.0,,Texas State,G. J. Kinne,No/low sample,0,,,No clear lean,
South Carolina,Shane Beamer,Likely defer,10,30.0,,Toledo,Mike Jacobs,No/low sample,0,,,No clear lean,
South Carolina,Shane Beamer,Likely defer,10,30.0,,UAB,Alex Mortensen,No/low sample,0,,,No clear lean,
South Carolina,Shane Beamer,Likely defer,10,30.0,,UNLV,Dan Mullen,No/low sample,0,,,No clear lean,
South Carolina,Shane Beamer,Likely defer,10,30.0,,Utah,Morgan Scalley,No/low sample,0,,,No clear lean,
South Carolina,Shane Beamer,Likely defer,10,30.0,,Washington State,Kirby Moore,No/low sample,0,,,No clear lean,
South Carolina,Shane Beamer,Likely defer,10,30.0,55.0,Georgia Southern,Clay Helton,Strong defer,10,20.0,45.0,South Carolina,10.0
South Carolina,Shane Beamer,Likely defer,10,30.0,55.9,Florida,Jon Sumrall,Strong defer,11,18.2,44.1,South Carolina,11.8
South Carolina,Shane Beamer,Likely defer,10,30.0,55.9,Wisconsin,Luke Fickell,Strong defer,11,18.2,44.1,South Carolina,11.8
South Carolina,Shane Beamer,Likely defer,10,30.0,55.9,West Virginia,Rich Rodriguez,Strong defer,11,0.0,35.0,South Carolina,20.9
