team_a,coach_a,team_a_tendency,team_a_toss_wins_sample,team_a_receive_if_wins_toss_pct,team_a_projected_receive_opening_kick_pct,team_b,coach_b,team_b_tendency,team_b_toss_wins_sample,team_b_receive_if_wins_toss_pct,team_b_projected_receive_opening_kick_pct,projected_opening_receiver,edge_pct_points
Arkansas,Ryan Silverfield,Mixed,4,50.0,66.7,Louisville,Jeff Brohm,Strong defer,6,16.7,33.4,Arkansas,33.3
Arkansas,Ryan Silverfield,Mixed,4,50.0,66.7,Ohio State,Ryan Day,Strong defer,6,16.7,33.4,Arkansas,33.3
Arkansas,Ryan Silverfield,Mixed,4,50.0,67.8,Akron,Joe Moorhead,Strong defer,7,14.3,32.1,Arkansas,35.7
Arkansas,Ryan Silverfield,Mixed,4,50.0,67.8,Auburn,Alex Golesh,Strong defer,7,14.3,32.1,Arkansas,35.7
Arkansas,Ryan Silverfield,Mixed,4,50.0,67.8,Florida State,Mike Norvell,Strong defer,7,14.3,32.1,Arkansas,35.7
Arkansas,Ryan Silverfield,Mixed,4,50.0,67.8,James Madison,Billy Napier,Strong defer,7,14.3,32.1,Arkansas,35.7
Arkansas,Ryan Silverfield,Mixed,4,50.0,67.8,Michigan,Kyle Whittingham,Strong defer,7,14.3,32.1,Arkansas,35.7
Arkansas,Ryan Silverfield,Mixed,4,50.0,67.8,NC State,Dave Doeren,Strong defer,7,14.3,32.1,Arkansas,35.7
Arkansas,Ryan Silverfield,Mixed,4,50.0,67.8,New Mexico State,Tony Sanchez,Strong defer,7,14.3,32.1,Arkansas,35.7
Arkansas,Ryan Silverfield,Mixed,4,50.0,68.8,Arizona,Brent Brennan,Strong defer,8,12.5,31.2,Arkansas,37.6
Arkansas,Ryan Silverfield,Mixed,4,50.0,68.8,Duke,Manny Diaz,Strong defer,8,12.5,31.2,Arkansas,37.6
Arkansas,Ryan Silverfield,Mixed,4,50.0,68.8,Illinois,Bret Bielema,Strong defer,8,12.5,31.2,Arkansas,37.6
Arkansas,Ryan Silverfield,Mixed,4,50.0,69.5,Arizona State,Kenny Dillingham,Strong defer,9,11.1,30.6,Arkansas,38.9
Arkansas,Ryan Silverfield,Mixed,4,50.0,69.5,Boise State,Spencer Danielson,Strong defer,9,11.1,30.6,Arkansas,38.9
Arkansas,Ryan Silverfield,Mixed,4,50.0,69.5,Louisiana,Michael Desormeaux,Strong defer,9,11.1,30.6,Arkansas,38.9
Arkansas,Ryan Silverfield,Mixed,4,50.0,69.5,Navy,Brian Newberry,Strong defer,9,11.1,30.6,Arkansas,38.9
Arkansas,Ryan Silverfield,Mixed,4,50.0,75.0,Houston,Willie Fritz,Strong defer,9,0.0,25.0,Arkansas,50.0
Arkansas,Ryan Silverfield,Mixed,4,50.0,75.0,Louisiana Tech,Sonny Cumbie,Strong defer,9,0.0,25.0,Arkansas,50.0
Arkansas,Ryan Silverfield,Mixed,4,50.0,75.0,Nevada,Jeff Choate,Strong defer,9,0.0,25.0,Arkansas,50.0
Arkansas,Ryan Silverfield,Mixed,4,50.0,75.0,South Alabama,Major Applewhite,Strong defer,9,0.0,25.0,Arkansas,50.0
Arkansas,Ryan Silverfield,Mixed,4,50.0,75.0,Army,Jeff Monken,Strong defer,8,0.0,25.0,Arkansas,50.0
Arkansas,Ryan Silverfield,Mixed,4,50.0,75.0,Baylor,Dave Aranda,Strong defer,8,0.0,25.0,Arkansas,50.0
Arkansas,Ryan Silverfield,Mixed,4,50.0,75.0,Charlotte,Tim Albin,Strong defer,8,0.0,25.0,Arkansas,50.0
Arkansas,Ryan Silverfield,Mixed,4,50.0,75.0,Colorado State,Jim Mora,Strong defer,8,0.0,25.0,Arkansas,50.0
Arkansas,Ryan Silverfield,Mixed,4,50.0,68.8,Connecticut,Jason Candle,Strong defer,8,0.0,25.0,Arkansas,43.8
Arkansas,Ryan Silverfield,Mixed,4,50.0,75.0,Colorado,Deion Sanders,Strong defer,7,0.0,25.0,Arkansas,50.0
Arkansas,Ryan Silverfield,Mixed,4,50.0,75.0,UL-Monroe,Bryant Vincent,Strong defer,7,0.0,25.0,Arkansas,50.0
Arkansas,Ryan Silverfield,Mixed,4,50.0,75.0,UTSA,Jeff Traylor,Strong defer,7,0.0,25.0,Arkansas,50.0
Arkansas,Ryan Silverfield,Mixed,4,50.0,75.0,Washington,Jedd Fisch,Strong defer,7,0.0,25.0,Arkansas,50.0
Arkansas,Ryan Silverfield,Mixed,4,50.0,75.0,Eastern Michigan,Chris Creighton,Strong defer,6,0.0,25.0,Arkansas,50.0
Arkansas,Ryan Silverfield,Mixed,4,50.0,75.0,Hawaii,Timmy Chang,Strong defer,6,0.0,25.0,Arkansas,50.0
Arkansas,Ryan Silverfield,Mixed,4,50.0,75.0,Liberty,Jamey Chadwell,Strong defer,6,0.0,25.0,Arkansas,50.0
Arkansas,Ryan Silverfield,Mixed,4,50.0,75.0,Memphis,Charles Huff,Strong defer,6,0.0,25.0,Arkansas,50.0
Arkansas,Ryan Silverfield,Mixed,4,50.0,75.0,Penn State,Matt Campbell,Strong defer,6,0.0,25.0,Arkansas,50.0
Arkansas,Ryan Silverfield,Mixed,4,50.0,75.0,Rutgers,Greg Schiano,Strong defer,6,0.0,25.0,Arkansas,50.0
Arkansas,Ryan Silverfield,Mixed,4,50.0,75.0,Virginia,Tony Elliott,Strong defer,6,0.0,25.0,Arkansas,50.0
Arkansas,Ryan Silverfield,Mixed,4,50.0,75.0,Wyoming,Jay Sawvel,Strong defer,6,0.0,25.0,Arkansas,50.0
Arkansas,Ryan Silverfield,Mixed,4,50.0,75.0,Air Force,Troy Calhoun,Strong defer,5,0.0,25.0,Arkansas,50.0
Arkansas,Ryan Silverfield,Mixed,4,50.0,75.0,Boston College,Bill O'Brien,Strong defer,5,0.0,25.0,Arkansas,50.0
Arkansas,Ryan Silverfield,Mixed,4,50.0,75.0,Old Dominion,Ricky Rahne,Strong defer,5,0.0,25.0,Arkansas,50.0
Arkansas,Ryan Silverfield,Mixed,4,50.0,75.0,Purdue,Barry Odom,Strong defer,5,0.0,25.0,Arkansas,50.0
Arkansas,Ryan Silverfield,Mixed,4,50.0,29.6,SMU,Rhett Lashlee,Strong take-ball,11,90.9,70.5,SMU,40.9
Arkansas,Ryan Silverfield,Mixed,4,50.0,25.0,Mississippi State,Jeff Lebby,Strong take-ball,8,100.0,75.0,Mississippi State,50.0
Arkansas,Ryan Silverfield,Mixed,4,50.0,25.0,LSU,Lane Kiffin,Strong take-ball,6,100.0,75.0,LSU,50.0
Arkansas,Ryan Silverfield,Mixed,4,50.0,25.0,North Texas,Neal Brown,Strong take-ball,6,100.0,75.0,North Texas,50.0
Arkansas,Ryan Silverfield,Mixed,4,50.0,32.1,Western Kentucky,Tyson Helton,Strong take-ball,7,85.7,67.8,Western Kentucky,35.7
Arkansas,Ryan Silverfield,Mixed,4,50.0,33.4,Texas A&M,Mike Elko,Strong take-ball,6,83.3,66.7,Texas A&M,33.3
Arkansas,Ryan Silverfield,Mixed,4,50.0,35.0,TCU,Sonny Dykes,Strong take-ball,5,80.0,65.0,TCU,30.0
Arkansas,Ryan Silverfield,Mixed,4,50.0,37.5,Texas,Steve Sarkisian,Strong take-ball,8,75.0,62.5,Texas,25.0
Oklahoma,Brent Venables,Mixed,4,50.0,60.0,South Carolina,Shane Beamer,Likely defer,10,30.0,40.0,Oklahoma,20.0
Oklahoma,Brent Venables,Mixed,4,50.0,55.0,Oregon,Dan Lanning,Likely defer,5,40.0,45.0,Oklahoma,10.0
Oklahoma,Brent Venables,Mixed,4,50.0,55.0,Western Michigan,Lance Taylor,Likely defer,5,40.0,45.0,Oklahoma,10.0
Oklahoma,Brent Venables,Mixed,4,50.0,56.2,Georgia State,Dell McGee,Likely defer,8,37.5,43.8,Oklahoma,12.4
Oklahoma,Brent Venables,Mixed,4,50.0,56.2,Miami-FL,Mario Cristobal,Likely defer,8,37.5,43.8,Oklahoma,12.4
Oklahoma,Brent Venables,Mixed,4,50.0,56.8,Missouri,Eli Drinkwitz,Likely defer,11,36.4,43.2,Oklahoma,13.6
Oklahoma,Brent Venables,Mixed,4,50.0,58.4,Clemson,Dabo Swinney,Likely defer,9,33.3,41.6,Oklahoma,16.8
Oklahoma,Brent Venables,Mixed,4,50.0,58.4,Iowa,Kirk Ferentz,Likely defer,9,33.3,41.6,Oklahoma,16.8
Oklahoma,Brent Venables,Mixed,4,50.0,58.4,Tennessee,Josh Heupel,Likely defer,6,33.3,41.6,Oklahoma,16.8
Oklahoma,Brent Venables,Mixed,4,50.0,60.7,Oklahoma State,Eric Morris,Likely defer,7,28.6,39.3,Oklahoma,21.4
Oklahoma,Brent Venables,Mixed,4,50.0,62.5,Maryland,Mike Locksley,Likely defer,8,25.0,37.5,Oklahoma,25.0
Oklahoma,Brent Venables,Mixed,4,50.0,62.5,UTEP,Scotty Walden,Likely defer,8,25.0,37.5,Oklahoma,25.0
Oklahoma,Brent Venables,Mixed,4,50.0,62.5,Vanderbilt,Clark Lea,Likely defer,8,25.0,37.5,Oklahoma,25.0
Oklahoma,Brent Venables,Mixed,4,50.0,63.9,Virginia Tech,James Franklin,Likely defer,9,22.2,36.1,Oklahoma,27.8
Oklahoma,Brent Venables,Mixed,4,50.0,43.8,Utah State,Bronco Mendenhall,Likely take-ball,8,62.5,56.2,Utah State,12.4
Oklahoma,Brent Venables,Mixed,4,50.0,41.6,USC,Lincoln Riley,Likely take-ball,9,66.7,58.4,USC,16.8
Oklahoma,Brent Venables,Mixed,4,50.0,41.6,East Carolina,Blake Harrell,Mixed,3,66.7,58.4,East Carolina,16.8
Oklahoma,Brent Venables,Mixed,4,50.0,50.0,Georgia,Kirby Smart,Mixed,10,50.0,50.0,No clear lean,0.0
Oklahoma,Brent Venables,Mixed,4,50.0,50.0,Georgia Tech,Brent Key,Mixed,8,50.0,50.0,No clear lean,0.0
Oklahoma,Brent Venables,Mixed,4,50.0,50.0,Pittsburgh,Pat Narduzzi,Mixed,8,50.0,50.0,No clear lean,0.0
Oklahoma,Brent Venables,Mixed,4,50.0,50.0,Texas Tech,Joey McGuire,Mixed,8,50.0,50.0,No clear lean,0.0
Oklahoma,Brent Venables,Mixed,4,50.0,50.0,Alabama,Kalen DeBoer,Mixed,6,50.0,50.0,No clear lean,0.0
Oklahoma,Brent Venables,Mixed,4,50.0,50.0,Arkansas,Ryan Silverfield,Mixed,4,50.0,50.0,No clear lean,0.0
Oklahoma,Brent Venables,Mixed,4,50.0,53.5,Cincinnati,Scott Satterfield,Mixed,7,42.9,46.5,Oklahoma,7.0
Oklahoma,Brent Venables,Mixed,4,50.0,53.5,Middle Tennessee,Derek Mason,Mixed,7,42.9,46.5,Oklahoma,7.0
Oklahoma,Brent Venables,Mixed,4,50.0,53.5,Troy,Gerad Parker,Mixed,7,42.9,46.5,Oklahoma,7.0
Oklahoma,Brent Venables,Mixed,4,50.0,58.4,Arkansas State,Butch Jones,Mixed,3,33.3,41.6,Oklahoma,16.8
Oklahoma,Brent Venables,Mixed,4,50.0,58.4,Florida International,Willie Simmons,Mixed,3,33.3,41.6,Oklahoma,16.8
Oklahoma,Brent Venables,Mixed,4,50.0,58.4,Marshall,Tony Gibson,Mixed,3,33.3,41.6,Oklahoma,16.8
Oklahoma,Brent Venables,Mixed,4,50.0,62.5,Syracuse,Fran Brown,Mixed,4,25.0,37.5,Oklahoma,25.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,Indiana,Curt Cignetti,Mixed,4,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,Kansas,Lance Leipold,Mixed,4,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,Nebraska,Matt Rhule,Mixed,4,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,San Diego State,Sean Lewis,Mixed,4,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,UCLA,Bob Chesney,Mixed,4,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,Iowa State,Jimmy Rogers,Mixed,3,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,Kennesaw State,Jerry Mack,Mixed,3,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,25.0,Florida Atlantic,Zach Kittley,No/low sample,1,100.0,75.0,Florida Atlantic,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,50.0,Bowling Green,Eddie George,No/low sample,2,50.0,50.0,No clear lean,0.0
Oklahoma,Brent Venables,Mixed,4,50.0,50.0,Coastal Carolina,Ryan Beard,No/low sample,2,50.0,50.0,No clear lean,0.0
Oklahoma,Brent Venables,Mixed,4,50.0,50.0,Miami-OH,Chuck Martin,No/low sample,2,50.0,50.0,No clear lean,0.0
Oklahoma,Brent Venables,Mixed,4,50.0,50.0,New Mexico,Jason Eck,No/low sample,2,50.0,50.0,No clear lean,0.0
Oklahoma,Brent Venables,Mixed,4,50.0,50.0,North Carolina,Bill Belichick,No/low sample,2,50.0,50.0,No clear lean,0.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,Buffalo,Pete Lembo,No/low sample,2,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,Central Michigan,Matt Drinkall,No/low sample,2,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,Jacksonville State,Charles Kelly,No/low sample,2,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,Kent State,Mark Carney,No/low sample,2,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,Northwestern,David Braun,No/low sample,2,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,Rice,Scott Abell,No/low sample,2,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,Tulsa,Tre Lamb,No/low sample,2,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,Ball State,Mike Uremovich,No/low sample,1,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,Delaware,Ryan Carty,No/low sample,1,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,Massachusetts,Joe Harasymiak,No/low sample,1,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,25.0,Sam Houston,Phil Longo,No/low sample,1,0.0,25.0,No clear lean,0.0
Oklahoma,Brent Venables,Mixed,4,50.0,,Appalachian State,Dowell Loggains,No/low sample,0,,,No clear lean,
Oklahoma,Brent Venables,Mixed,4,50.0,,California,Tosh Lupoi,No/low sample,0,,,No clear lean,
Oklahoma,Brent Venables,Mixed,4,50.0,,Central Florida,Scott Frost,No/low sample,0,,,No clear lean,
Oklahoma,Brent Venables,Mixed,4,50.0,,Fresno State,Matt Entz,No/low sample,0,,,No clear lean,
Oklahoma,Brent Venables,Mixed,4,50.0,,Kansas State,Collin Klein,No/low sample,0,,,No clear lean,
Oklahoma,Brent Venables,Mixed,4,50.0,,Kentucky,Will Stein,No/low sample,0,,,No clear lean,
Oklahoma,Brent Venables,Mixed,4,50.0,,Michigan State,Pat Fitzgerald,No/low sample,0,,,No clear lean,
Oklahoma,Brent Venables,Mixed,4,50.0,,Minnesota,P. J. Fleck,No/low sample,0,,,No clear lean,
Oklahoma,Brent Venables,Mixed,4,50.0,,Missouri State,Casey Woods,No/low sample,0,,,No clear lean,
Oklahoma,Brent Venables,Mixed,4,50.0,,North Dakota State,Tim Polasek,No/low sample,0,,,No clear lean,
Oklahoma,Brent Venables,Mixed,4,50.0,,Northern Illinois,Rob Harley (interim),No/low sample,0,,,No clear lean,
Oklahoma,Brent Venables,Mixed,4,50.0,,Ohio,John Hauser,No/low sample,0,,,No clear lean,
Oklahoma,Brent Venables,Mixed,4,50.0,,Ole Miss,Pete Golding,No/low sample,0,,,No clear lean,
Oklahoma,Brent Venables,Mixed,4,50.0,,Oregon State,JaMarcus Shephard,No/low sample,0,,,No clear lean,
Oklahoma,Brent Venables,Mixed,4,50.0,,Sacramento State,Alonzo Carter,No/low sample,0,,,No clear lean,
Oklahoma,Brent Venables,Mixed,4,50.0,,San Jose State,Ken Niumatalolo,No/low sample,0,,,No clear lean,
Oklahoma,Brent Venables,Mixed,4,50.0,,South Florida,Brian Hartline,No/low sample,0,,,No clear lean,
Oklahoma,Brent Venables,Mixed,4,50.0,,Southern Miss,Blake Anderson,No/low sample,0,,,No clear lean,
Oklahoma,Brent Venables,Mixed,4,50.0,,Stanford,Tavita Pritchard,No/low sample,0,,,No clear lean,
Oklahoma,Brent Venables,Mixed,4,50.0,,Temple,K. C. Keeler,No/low sample,0,,,No clear lean,
Oklahoma,Brent Venables,Mixed,4,50.0,,Texas State,G. J. Kinne,No/low sample,0,,,No clear lean,
Oklahoma,Brent Venables,Mixed,4,50.0,,Toledo,Mike Jacobs,No/low sample,0,,,No clear lean,
Oklahoma,Brent Venables,Mixed,4,50.0,,UAB,Alex Mortensen,No/low sample,0,,,No clear lean,
Oklahoma,Brent Venables,Mixed,4,50.0,,UNLV,Dan Mullen,No/low sample,0,,,No clear lean,
Oklahoma,Brent Venables,Mixed,4,50.0,,Utah,Morgan Scalley,No/low sample,0,,,No clear lean,
Oklahoma,Brent Venables,Mixed,4,50.0,,Washington State,Kirby Moore,No/low sample,0,,,No clear lean,
Oklahoma,Brent Venables,Mixed,4,50.0,65.0,Georgia Southern,Clay Helton,Strong defer,10,20.0,35.0,Oklahoma,30.0
Oklahoma,Brent Venables,Mixed,4,50.0,65.9,Florida,Jon Sumrall,Strong defer,11,18.2,34.1,Oklahoma,31.8
Oklahoma,Brent Venables,Mixed,4,50.0,65.9,Wisconsin,Luke Fickell,Strong defer,11,18.2,34.1,Oklahoma,31.8
Oklahoma,Brent Venables,Mixed,4,50.0,65.9,West Virginia,Rich Rodriguez,Strong defer,11,0.0,25.0,Oklahoma,40.9
Oklahoma,Brent Venables,Mixed,4,50.0,65.0,Notre Dame,Marcus Freeman,Strong defer,5,20.0,35.0,Oklahoma,30.0
Oklahoma,Brent Venables,Mixed,4,50.0,65.0,Tulane,Will Hall,Strong defer,5,20.0,35.0,Oklahoma,30.0
Oklahoma,Brent Venables,Mixed,4,50.0,65.0,Wake Forest,Jake Dickert,Strong defer,5,20.0,35.0,Oklahoma,30.0
Oklahoma,Brent Venables,Mixed,4,50.0,66.7,BYU,Kalani Sitake,Strong defer,6,16.7,33.4,Oklahoma,33.3
Oklahoma,Brent Venables,Mixed,4,50.0,66.7,Louisville,Jeff Brohm,Strong defer,6,16.7,33.4,Oklahoma,33.3
Oklahoma,Brent Venables,Mixed,4,50.0,66.7,Ohio State,Ryan Day,Strong defer,6,16.7,33.4,Oklahoma,33.3
Oklahoma,Brent Venables,Mixed,4,50.0,67.8,Akron,Joe Moorhead,Strong defer,7,14.3,32.1,Oklahoma,35.7
Oklahoma,Brent Venables,Mixed,4,50.0,67.8,Auburn,Alex Golesh,Strong defer,7,14.3,32.1,Oklahoma,35.7
Oklahoma,Brent Venables,Mixed,4,50.0,67.8,Florida State,Mike Norvell,Strong defer,7,14.3,32.1,Oklahoma,35.7
Oklahoma,Brent Venables,Mixed,4,50.0,67.8,James Madison,Billy Napier,Strong defer,7,14.3,32.1,Oklahoma,35.7
Oklahoma,Brent Venables,Mixed,4,50.0,67.8,Michigan,Kyle Whittingham,Strong defer,7,14.3,32.1,Oklahoma,35.7
Oklahoma,Brent Venables,Mixed,4,50.0,67.8,NC State,Dave Doeren,Strong defer,7,14.3,32.1,Oklahoma,35.7
Oklahoma,Brent Venables,Mixed,4,50.0,67.8,New Mexico State,Tony Sanchez,Strong defer,7,14.3,32.1,Oklahoma,35.7
Oklahoma,Brent Venables,Mixed,4,50.0,68.8,Arizona,Brent Brennan,Strong defer,8,12.5,31.2,Oklahoma,37.6
Oklahoma,Brent Venables,Mixed,4,50.0,68.8,Duke,Manny Diaz,Strong defer,8,12.5,31.2,Oklahoma,37.6
Oklahoma,Brent Venables,Mixed,4,50.0,68.8,Illinois,Bret Bielema,Strong defer,8,12.5,31.2,Oklahoma,37.6
Oklahoma,Brent Venables,Mixed,4,50.0,69.5,Arizona State,Kenny Dillingham,Strong defer,9,11.1,30.6,Oklahoma,38.9
Oklahoma,Brent Venables,Mixed,4,50.0,69.5,Boise State,Spencer Danielson,Strong defer,9,11.1,30.6,Oklahoma,38.9
Oklahoma,Brent Venables,Mixed,4,50.0,69.5,Louisiana,Michael Desormeaux,Strong defer,9,11.1,30.6,Oklahoma,38.9
Oklahoma,Brent Venables,Mixed,4,50.0,69.5,Navy,Brian Newberry,Strong defer,9,11.1,30.6,Oklahoma,38.9
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,Houston,Willie Fritz,Strong defer,9,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,Louisiana Tech,Sonny Cumbie,Strong defer,9,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,Nevada,Jeff Choate,Strong defer,9,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,South Alabama,Major Applewhite,Strong defer,9,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,Army,Jeff Monken,Strong defer,8,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,Baylor,Dave Aranda,Strong defer,8,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,Charlotte,Tim Albin,Strong defer,8,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,Colorado State,Jim Mora,Strong defer,8,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,68.8,Connecticut,Jason Candle,Strong defer,8,0.0,25.0,Oklahoma,43.8
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,Colorado,Deion Sanders,Strong defer,7,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,UL-Monroe,Bryant Vincent,Strong defer,7,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,UTSA,Jeff Traylor,Strong defer,7,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,Washington,Jedd Fisch,Strong defer,7,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,Eastern Michigan,Chris Creighton,Strong defer,6,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,Hawaii,Timmy Chang,Strong defer,6,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,Liberty,Jamey Chadwell,Strong defer,6,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,Memphis,Charles Huff,Strong defer,6,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,Penn State,Matt Campbell,Strong defer,6,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,Rutgers,Greg Schiano,Strong defer,6,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,Virginia,Tony Elliott,Strong defer,6,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,Wyoming,Jay Sawvel,Strong defer,6,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,Air Force,Troy Calhoun,Strong defer,5,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,Boston College,Bill O'Brien,Strong defer,5,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,Old Dominion,Ricky Rahne,Strong defer,5,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,75.0,Purdue,Barry Odom,Strong defer,5,0.0,25.0,Oklahoma,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,29.6,SMU,Rhett Lashlee,Strong take-ball,11,90.9,70.5,SMU,40.9
Oklahoma,Brent Venables,Mixed,4,50.0,25.0,Mississippi State,Jeff Lebby,Strong take-ball,8,100.0,75.0,Mississippi State,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,25.0,LSU,Lane Kiffin,Strong take-ball,6,100.0,75.0,LSU,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,25.0,North Texas,Neal Brown,Strong take-ball,6,100.0,75.0,North Texas,50.0
Oklahoma,Brent Venables,Mixed,4,50.0,32.1,Western Kentucky,Tyson Helton,Strong take-ball,7,85.7,67.8,Western Kentucky,35.7
Oklahoma,Brent Venables,Mixed,4,50.0,33.4,Texas A&M,Mike Elko,Strong take-ball,6,83.3,66.7,Texas A&M,33.3
Oklahoma,Brent Venables,Mixed,4,50.0,35.0,TCU,Sonny Dykes,Strong take-ball,5,80.0,65.0,TCU,30.0
Oklahoma,Brent Venables,Mixed,4,50.0,37.5,Texas,Steve Sarkisian,Strong take-ball,8,75.0,62.5,Texas,25.0
Cincinnati,Scott Satterfield,Mixed,7,42.9,56.5,South Carolina,Shane Beamer,Likely defer,10,30.0,43.5,Cincinnati,13.0
Cincinnati,Scott Satterfield,Mixed,7,42.9,51.5,Oregon,Dan Lanning,Likely defer,5,40.0,48.5,Cincinnati,3.0
Cincinnati,Scott Satterfield,Mixed,7,42.9,51.5,Western Michigan,Lance Taylor,Likely defer,5,40.0,48.5,Cincinnati,3.0
Cincinnati,Scott Satterfield,Mixed,7,42.9,52.7,Georgia State,Dell McGee,Likely defer,8,37.5,47.3,Cincinnati,5.4
Cincinnati,Scott Satterfield,Mixed,7,42.9,52.7,Miami-FL,Mario Cristobal,Likely defer,8,37.5,47.3,Cincinnati,5.4
Cincinnati,Scott Satterfield,Mixed,7,42.9,53.2,Missouri,Eli Drinkwitz,Likely defer,11,36.4,46.8,Cincinnati,6.4
Cincinnati,Scott Satterfield,Mixed,7,42.9,54.8,Clemson,Dabo Swinney,Likely defer,9,33.3,45.2,Cincinnati,9.6
Cincinnati,Scott Satterfield,Mixed,7,42.9,54.8,Iowa,Kirk Ferentz,Likely defer,9,33.3,45.2,Cincinnati,9.6
Cincinnati,Scott Satterfield,Mixed,7,42.9,54.8,Tennessee,Josh Heupel,Likely defer,6,33.3,45.2,Cincinnati,9.6
Cincinnati,Scott Satterfield,Mixed,7,42.9,57.2,Oklahoma State,Eric Morris,Likely defer,7,28.6,42.9,Cincinnati,14.3
Cincinnati,Scott Satterfield,Mixed,7,42.9,59.0,Maryland,Mike Locksley,Likely defer,8,25.0,41.0,Cincinnati,18.0
Cincinnati,Scott Satterfield,Mixed,7,42.9,59.0,UTEP,Scotty Walden,Likely defer,8,25.0,41.0,Cincinnati,18.0
Cincinnati,Scott Satterfield,Mixed,7,42.9,59.0,Vanderbilt,Clark Lea,Likely defer,8,25.0,41.0,Cincinnati,18.0
Cincinnati,Scott Satterfield,Mixed,7,42.9,60.3,Virginia Tech,James Franklin,Likely defer,9,22.2,39.6,Cincinnati,20.7
Cincinnati,Scott Satterfield,Mixed,7,42.9,40.2,Utah State,Bronco Mendenhall,Likely take-ball,8,62.5,59.8,Utah State,19.6
