snapshot_date,season,team,conference,book,win_total,over_odds,under_odds,source_url,notes
2026-04-28,2026,Alabama,,BetMGM,8.5,-125.0,100.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,preferred_state=OH; action_book_id=1665; action_book_display=BetMGM OH
2026-04-28,2026,Alabama,,DraftKings,8.5,110.0,-130.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-04-28,2026,Alabama,,FanDuel,8.5,-118.0,-104.0,https://api.sportsbook.fanduel.com/sbapi/content-managed-page?page=CUSTOM&customPageId=ncaaf&pbHorizontal=false&_ak=FhMFpcPWXMeyZxOx&timezone=America%2FNew_York,FanDuel OH; market_id=739.159438746; over_selection=96283335; under_selection=96283334
2026-04-28,2026,Arizona,,BetMGM,7.5,115.0,-145.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,preferred_state=OH; action_book_id=1665; action_book_display=BetMGM OH
2026-04-28,2026,Arizona,,DraftKings,7.5,-125.0,105.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-04-28,2026,Arizona,,FanDuel,7.5,114.0,-140.0,https://api.sportsbook.fanduel.com/sbapi/content-managed-page?page=CUSTOM&customPageId=ncaaf&pbHorizontal=false&_ak=FhMFpcPWXMeyZxOx&timezone=America%2FNew_York,FanDuel OH; market_id=739.159439302; over_selection=96283350; under_selection=96283351
2026-04-28,2026,Arizona State,,BetMGM,6.5,-115.0,-115.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,preferred_state=OH; action_book_id=1665; action_book_display=BetMGM OH
2026-04-28,2026,Arizona State,,DraftKings,6.5,-120.0,100.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-04-28,2026,Arizona State,,FanDuel,6.5,-110.0,-110.0,https://api.sportsbook.fanduel.com/sbapi/content-managed-page?page=CUSTOM&customPageId=ncaaf&pbHorizontal=false&_ak=FhMFpcPWXMeyZxOx&timezone=America%2FNew_York,FanDuel OH; market_id=739.159439126; over_selection=96283340; under_selection=96283341
2026-04-28,2026,Arkansas,,BetMGM,4.5,115.0,-145.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,preferred_state=OH; action_book_id=1665; action_book_display=BetMGM OH
2026-04-28,2026,Arkansas,,DraftKings,4.5,120.0,-140.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
