game_id_example,week_example,away_team_example,home_team_example,team,coach,segment,role,ats_record,ats_pct,ats_sample_size,ou_record,over_pct,ou_sample_size,ats_margin,total_margin
g5,0.0,North Carolina,TCU,North Carolina,Bill Belichick,Full game role,Favorite,3-1-0,75.0,4.0,3-1-0,75.0,4.0,6.12,-1.25
g5,0.0,North Carolina,TCU,North Carolina,Bill Belichick,Full game role,Underdog,4-4-0,50.0,8.0,3-5-0,37.5,8.0,-0.88,-2.0
g5,0.0,North Carolina,TCU,TCU,Sonny Dykes,Full game role,Favorite,41-42-2,49.4,85.0,35-31-1,53.03,67.0,-0.21,2.19
g5,0.0,North Carolina,TCU,TCU,Sonny Dykes,Full game role,Underdog,25-32-1,43.86,58.0,12-14-0,46.150000000000006,26.0,-0.6,-1.42
g5,0.0,North Carolina,TCU,TCU,Sonny Dykes,Full game role,Favorite,13-7-0,65.0,20.0,6-14-0,30.0,20.0,1.18,-1.58
g5,0.0,North Carolina,TCU,TCU,Sonny Dykes,Full game role,Underdog,4-2-0,66.67,6.0,5-1-0,83.33,6.0,1.83,5.33
g5,0.0,North Carolina,TCU,TCU,Sonny Dykes,Full game role,Favorite,5-9-0,35.709999999999994,14.0,8-6-0,57.14,14.0,-0.54,1.61
g5,0.0,North Carolina,TCU,TCU,Sonny Dykes,Full game role,Underdog,3-7-0,30.0,10.0,4-6-0,40.0,10.0,-2.4,-3.45
g6,0.0,Memphis,UNLV,Memphis,Charles Huff,Full game role,Favorite,21-20-1,51.22,42.0,18-23-1,43.9,42.0,-1.26,-2.5
g6,0.0,Memphis,UNLV,Memphis,Charles Huff,Full game role,Underdog,11-7-1,61.11,19.0,8-9-0,47.06,17.0,3.66,0.53
g6,0.0,Memphis,UNLV,Memphis,Charles Huff,Full game role,Favorite,11-6-0,64.71000000000001,17.0,4-13-0,23.53,17.0,1.53,-2.38
g6,0.0,Memphis,UNLV,Memphis,Charles Huff,Full game role,Underdog,5-3-0,62.5,8.0,3-5-0,37.5,8.0,2.75,0.12
g6,0.0,Memphis,UNLV,Memphis,Charles Huff,Full game role,Favorite,9-8-0,52.94,17.0,11-6-0,64.71000000000001,17.0,-0.09,3.88
g6,0.0,Memphis,UNLV,Memphis,Charles Huff,Full game role,Underdog,4-4-0,50.0,8.0,4-3-1,57.14,8.0,0.44,-0.44
g6,0.0,Memphis,UNLV,UNLV,Dan Mullen,Full game role,Favorite,42-37-1,53.16,80.0,25-28-1,47.17,54.0,0.66,1.38
g6,0.0,Memphis,UNLV,UNLV,Dan Mullen,Full game role,Underdog,23-16-1,58.97,40.0,9-9-1,50.0,19.0,2.12,5.58
g6,0.0,Memphis,UNLV,UNLV,Dan Mullen,Full game role,Favorite,5-4-0,55.559999999999995,9.0,7-2-0,77.78,9.0,-1.72,1.22
g6,0.0,Memphis,UNLV,UNLV,Dan Mullen,Full game role,Underdog,4-0-0,100.0,4.0,3-1-0,75.0,4.0,8.12,8.5
g6,0.0,Memphis,UNLV,UNLV,Dan Mullen,Full game role,Favorite,3-6-0,33.33,9.0,3-5-1,37.5,9.0,1.33,2.44
g6,0.0,Memphis,UNLV,UNLV,Dan Mullen,Full game role,Underdog,1-2-1,33.33,4.0,2-2-0,50.0,4.0,-2.0,-7.0
g7,0.0,San Jose State,USC,San Jose State,Ken Niumatalolo,Full game role,Favorite,31-29-1,51.67,61.0,14-13-1,51.849999999999994,28.0,0.97,4.88
g7,0.0,San Jose State,USC,San Jose State,Ken Niumatalolo,Full game role,Underdog,35-21-2,62.5,58.0,21-22-0,48.84,43.0,2.63,-0.91
g7,0.0,San Jose State,USC,San Jose State,Ken Niumatalolo,Full game role,Favorite,5-7-0,41.67,12.0,8-4-0,66.67,12.0,-1.5,2.33
g7,0.0,San Jose State,USC,San Jose State,Ken Niumatalolo,Full game role,Underdog,8-3-0,72.72999999999999,11.0,7-4-0,63.63999999999999,11.0,1.55,1.55
g7,0.0,San Jose State,USC,San Jose State,Ken Niumatalolo,Full game role,Favorite,4-4-1,50.0,9.0,5-4-0,55.559999999999995,9.0,-1.89,-0.94
g7,0.0,San Jose State,USC,San Jose State,Ken Niumatalolo,Full game role,Underdog,7-7-0,50.0,14.0,7-7-0,50.0,14.0,-0.96,1.07
g7,0.0,San Jose State,USC,USC,Lincoln Riley,Full game role,Favorite,45-52-1,46.39,98.0,57-39-2,59.38,98.0,-1.68,2.77
g7,0.0,San Jose State,USC,USC,Lincoln Riley,Full game role,Underdog,7-4-1,63.63999999999999,12.0,8-3-0,72.72999999999999,11.0,0.67,10.5
g7,0.0,San Jose State,USC,USC,Lincoln Riley,Full game role,Favorite,9-11-0,45.0,20.0,9-11-0,45.0,20.0,-1.88,0.38
g7,0.0,San Jose State,USC,USC,Lincoln Riley,Full game role,Underdog,3-2-0,60.0,5.0,2-3-0,40.0,5.0,-0.5,-1.1
g7,0.0,San Jose State,USC,USC,Lincoln Riley,Full game role,Favorite,11-7-0,61.11,18.0,8-10-0,44.440000000000005,18.0,3.56,-0.22
g7,0.0,San Jose State,USC,USC,Lincoln Riley,Full game role,Underdog,3-4-0,42.86,7.0,5-1-1,83.33,7.0,-0.21,4.86
g8,0.0,NC State,Virginia,NC State,Dave Doeren,Full game role,Favorite,42-43-3,49.41,88.0,26-33-2,44.07,61.0,0.18,-1.8
g8,0.0,NC State,Virginia,NC State,Dave Doeren,Full game role,Underdog,30-37-0,44.78,67.0,25-20-0,55.559999999999995,45.0,-1.63,2.81
g8,0.0,NC State,Virginia,NC State,Dave Doeren,Full game role,Favorite,5-9-0,35.709999999999994,14.0,9-5-0,64.29,14.0,-3.68,2.82
g8,0.0,NC State,Virginia,NC State,Dave Doeren,Full game role,Underdog,7-5-0,58.330000000000005,12.0,5-7-0,41.67,12.0,-1.12,2.38
g8,0.0,NC State,Virginia,NC State,Dave Doeren,Full game role,Favorite,6-6-0,50.0,12.0,3-9-0,25.0,12.0,-0.42,-3.54
g8,0.0,NC State,Virginia,NC State,Dave Doeren,Full game role,Underdog,8-6-0,57.14,14.0,8-5-1,61.53999999999999,14.0,1.14,4.39
g8,0.0,NC State,Virginia,Virginia,Tony Elliott,Full game role,Favorite,8-9-0,47.06,17.0,5-12-0,29.409999999999997,17.0,-2.85,-4.79
g8,0.0,NC State,Virginia,Virginia,Tony Elliott,Full game role,Underdog,18-11-0,62.07,29.0,13-14-2,48.15,29.0,0.16,0.07
g8,0.0,NC State,Virginia,Virginia,Tony Elliott,Full game role,Favorite,6-5-0,54.55,11.0,5-6-0,45.45,11.0,2.82,0.18
g8,0.0,NC State,Virginia,Virginia,Tony Elliott,Full game role,Underdog,6-7-0,46.150000000000006,13.0,5-7-1,41.67,13.0,-1.38,0.54
g8,0.0,NC State,Virginia,Virginia,Tony Elliott,Full game role,Favorite,5-7-0,41.67,12.0,5-7-0,41.67,12.0,-2.46,-2.88
g8,0.0,NC State,Virginia,Virginia,Tony Elliott,Full game role,Underdog,9-3-0,75.0,12.0,6-6-0,50.0,12.0,5.29,1.38
g9,1.0,UAlbany,Buffalo,UAlbany,,Full game role,Favorite,,,,,,,,
g9,1.0,UAlbany,Buffalo,UAlbany,,Full game role,Underdog,,,,,,,,
g9,1.0,UAlbany,Buffalo,Buffalo,Pete Lembo,Full game role,Favorite,11-15-1,42.309999999999995,27.0,5-5-0,50.0,10.0,-1.5,4.05
g9,1.0,UAlbany,Buffalo,Buffalo,Pete Lembo,Full game role,Underdog,14-17-1,45.16,32.0,9-5-1,64.29,15.0,-0.59,3.03
g9,1.0,UAlbany,Buffalo,Buffalo,Pete Lembo,Full game role,Favorite,4-5-0,44.440000000000005,9.0,2-7-0,22.220000000000002,9.0,-0.94,-2.5
g9,1.0,UAlbany,Buffalo,Buffalo,Pete Lembo,Full game role,Underdog,7-4-0,63.63999999999999,11.0,5-5-1,50.0,11.0,2.23,-3.18
g9,1.0,UAlbany,Buffalo,Buffalo,Pete Lembo,Full game role,Favorite,4-6-0,40.0,10.0,10-0-0,100.0,10.0,-1.3,5.0
g9,1.0,UAlbany,Buffalo,Buffalo,Pete Lembo,Full game role,Underdog,8-1-1,88.89,10.0,5-5-0,50.0,10.0,5.95,1.9
g10,1.0,Bethune-Cookman,Central Florida,Bethune-Cookman,,Full game role,Favorite,,,,,,,,
g10,1.0,Bethune-Cookman,Central Florida,Bethune-Cookman,,Full game role,Underdog,,,,,,,,
g10,1.0,Bethune-Cookman,Central Florida,Central Florida,Scott Frost,Full game role,Favorite,9-19-0,32.14,28.0,12-14-1,46.150000000000006,27.0,-3.59,-0.2
g10,1.0,Bethune-Cookman,Central Florida,Central Florida,Scott Frost,Full game role,Underdog,15-11-1,57.69,27.0,12-14-1,46.150000000000006,27.0,-0.57,-2.07
g10,1.0,Bethune-Cookman,Central Florida,Central Florida,Scott Frost,Full game role,Favorite,3-2-0,60.0,5.0,1-4-0,20.0,5.0,3.1,-4.9
