metric,value
raw_rows,3376
duplicate_source_rows,3312
canonical_team_side_rows,423
perspective_duplicate_rows,0
component_edge_observations,751
classified_component_observations,682
unclassified_component_observations,69
minimum_edge,5
minimum_focus_sample,15
