run_date,category,title,team,grade,score,reason,action,source,research_query,book,current_line,projected_line,opening_line,last_move_date,game_date,game_week,ev_pct,audit_game_line_move,audit_price_only,audit_malformed_or_nan
2026-07-28,Game line move,Central Michigan at New Mexico — Caesars Total Over Price -118 → -110,,LINE MOVE,8.0,Moved +8 point(s) · price nan → nan · moved between 2026-07-27 8:16 AM EDT and 2026-07-28 8:01 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,,True,True,True
2026-07-28,Game line move,Liberty at James Madison — Caesars Total Under Price -118 → -110,,LINE MOVE,8.0,Moved +8 point(s) · price nan → nan · moved between 2026-07-27 8:16 AM EDT and 2026-07-28 8:01 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,,True,True,True
2026-07-28,Game line move,Tennessee State at Georgi — FanDuel Total Under Price -110 → -118,,LINE MOVE,8.0,Moved -8 point(s) · price nan → nan · moved between 2026-07-27 8:16 AM EDT and 2026-07-28 8:01 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,,True,True,True
2026-07-28,Game line move,Tennessee State at Georgi — FanDuel Total Under Price -110 → -118,,LINE MOVE,8.0,Moved -8 point(s) · price nan → nan · moved between 2026-07-27 8:16 AM EDT and 2026-07-28 8:01 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,,True,True,True
2026-07-28,Game line move,Memphis at UNLV — Caesars Total Over Price -117 → -110,,LINE MOVE,7.0,Moved +7 point(s) · price nan → nan · moved between 2026-07-27 8:16 AM EDT and 2026-07-28 8:01 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,,True,True,True
2026-07-28,Game line move,UTEP at Oklahom — Caesars Total Under Price -115 → -108,,LINE MOVE,7.0,Moved +7 point(s) · price nan → nan · moved between 2026-07-27 8:16 AM EDT and 2026-07-28 8:01 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,,True,True,True
2026-07-28,Game line move,Central Michigan at New Mexico — Caesars Total Under Price -103 → -109,,LINE MOVE,6.0,Moved -6 point(s) · price nan → nan · moved between 2026-07-27 8:16 AM EDT and 2026-07-28 8:01 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,,True,True,True
2026-07-28,Game line move,Coastal Carolina at West Virgini — Caesars Total Over Price -106 → -112,,LINE MOVE,6.0,Moved -6 point(s) · price nan → nan · moved between 2026-07-27 8:16 AM EDT and 2026-07-28 8:01 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,,True,True,True
2026-07-28,Game line move,Coastal Carolina at West Virgini — Caesars Total Under Price -114 → -108,,LINE MOVE,6.0,Moved +6 point(s) · price nan → nan · moved between 2026-07-27 8:16 AM EDT and 2026-07-28 8:01 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,,True,True,True
2026-07-28,Game line move,Sacramento State at Eastern Michigan — Caesars Total Under Price -109 → -115,,LINE MOVE,6.0,Moved -6 point(s) · price nan → nan · moved between 2026-07-27 8:16 AM EDT and 2026-07-28 8:01 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,,True,True,True
2026-07-28,Game line move,San Jose State at Eastern Michigan — Caesars Total Under Price -109 → -115,,LINE MOVE,6.0,Moved -6 point(s) · price nan → nan · moved between 2026-07-27 8:16 AM EDT and 2026-07-28 8:01 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,,True,True,True
2026-07-28,Game line move,Tennessee State at Georgi — FanDuel Total Over Price -110 → -104,,LINE MOVE,6.0,Moved +6 point(s) · price nan → nan · moved between 2026-07-27 8:16 AM EDT and 2026-07-28 8:01 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,,True,True,True
2026-07-28,Game line move,Tennessee State at Georgi — FanDuel Total Over Price -110 → -104,,LINE MOVE,6.0,Moved +6 point(s) · price nan → nan · moved between 2026-07-27 8:16 AM EDT and 2026-07-28 8:01 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,,True,True,True
2026-07-28,Game line move,UTEP at Oklahom — Caesars Total Over Price -106 → -112,,LINE MOVE,6.0,Moved -6 point(s) · price nan → nan · moved between 2026-07-27 8:16 AM EDT and 2026-07-28 8:01 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,,True,True,True
2026-07-28,Game line move,Abilene Christian at Texas Tech Red Raiders — FanDuel Total Over Price -110 → -115,,LINE MOVE,5.0,Moved -5 point(s) · price nan → nan · moved between 2026-07-27 8:16 AM EDT and 2026-07-28 8:01 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,,True,True,True
2026-07-28,Game line move,Abilene Christian at Texas Tech Red Raiders — FanDuel Total Under Price -110 → -105,,LINE MOVE,5.0,Moved +5 point(s) · price nan → nan · moved between 2026-07-27 8:16 AM EDT and 2026-07-28 8:01 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,,True,True,True
2026-07-28,Game line move,Abilene Christian at Texas Tech — FanDuel Total Over Price -110 → -115,,LINE MOVE,5.0,Moved -5 point(s) · price nan → nan · moved between 2026-07-27 8:16 AM EDT and 2026-07-28 8:01 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,,True,True,True
2026-07-28,Game line move,Abilene Christian at Texas Tech — FanDuel Total Under Price -110 → -105,,LINE MOVE,5.0,Moved +5 point(s) · price nan → nan · moved between 2026-07-27 8:16 AM EDT and 2026-07-28 8:01 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,,True,True,True
2026-07-28,Game line move,Clemson at LSU — Bally Bet Total Over Price -108 → -113,,LINE MOVE,5.0,Moved -5 point(s) · price nan → nan · moved between 2026-07-27 8:16 AM EDT and 2026-07-28 8:01 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,,True,True,True
2026-07-28,Game line move,Clemson at LSU — Bally Bet Total Under Price -113 → -108,,LINE MOVE,5.0,Moved +5 point(s) · price nan → nan · moved between 2026-07-27 8:16 AM EDT and 2026-07-28 8:01 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,,True,True,True
2026-07-28,Game line move,Houston Baptist at Rice Owls — FanDuel Total Over Price -110 → -115,,LINE MOVE,5.0,Moved -5 point(s) · price nan → nan · moved between 2026-07-27 8:16 AM EDT and 2026-07-28 8:01 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,,True,True,True
2026-07-28,Game line move,Houston Baptist at Rice Owls — FanDuel Total Under Price -110 → -105,,LINE MOVE,5.0,Moved +5 point(s) · price nan → nan · moved between 2026-07-27 8:16 AM EDT and 2026-07-28 8:01 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,,True,True,True
2026-07-28,Game line move,Houston Christian at Rice — FanDuel Total Over Price -110 → -115,,LINE MOVE,5.0,Moved -5 point(s) · price nan → nan · moved between 2026-07-27 8:16 AM EDT and 2026-07-28 8:01 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,,True,True,True
2026-07-28,Game line move,Houston Christian at Rice — FanDuel Total Under Price -110 → -105,,LINE MOVE,5.0,Moved +5 point(s) · price nan → nan · moved between 2026-07-27 8:16 AM EDT and 2026-07-28 8:01 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,,True,True,True
2026-07-28,Game line move,Indiana State Sycamores at Purdue Boilermakers — FanDuel Total Over Price -115 → -110,,LINE MOVE,5.0,Moved +5 point(s) · price nan → nan · moved between 2026-07-27 8:16 AM EDT and 2026-07-28 8:01 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,,True,True,True
