game_id,week,date,away_team,home_team,away_rp_found,home_rp_found,spread_like_field_count,spread_like_fields,away_overall,away_offense,away_defense,home_overall,home_offense,home_defense,away_off_vs_def,away_def_vs_off,home_off_vs_def,home_def_vs_off,away_candidate_a_rp_only,home_candidate_a_rp_only,away_candidate_b_rp_only,home_candidate_b_rp_only
g22,1.0,2026-09-04,Miami-FL,Stanford,True,True,12,"{""blend_spread_home"": -24.8075, ""market_best_away_spread_home"": 22.5, ""market_best_away_spread_price"": -110.0, ""market_best_home_spread_home"": 23.5, ""market_best_home_spread_price"": -105.0, ""market_spread_hold_pct"": 3.6, ""market_spread_home"": 22.5, ""market_spread_open_home"": 22.5, ""market_spread_price"": -110.0, ""projected_margin_home"": -24.808, ""projection_spread_home"": -24.8075, ""site_spread_home"": -24.8075}",49.0,,,60.0,,,,,,,False,False,False,False
g23,1.0,2026-09-05,Duquesne,Air Force,False,True,0,{},,,,,,,,,,,,,,
g24,1.0,2026-09-05,East Carolina,Alabama,True,True,14,"{""blend_spread_home"": 23.7925, ""market_best_away_spread_home"": -27.5, ""market_best_away_spread_price"": -105.0, ""market_best_home_spread_home"": -26.5, ""market_best_home_spread_price"": -105.0, ""market_spread_hold_away_line"": 27.0, ""market_spread_hold_home_line"": -27.0, ""market_spread_hold_pct"": 0.44, ""market_spread_home"": -26.5, ""market_spread_open_home"": -25.5, ""market_spread_price"": -105.0, ""projected_margin_home"": 23.793, ""projection_spread_home"": 23.7925, ""site_spread_home"": 23.7925}",42.0,,,48.0,,,,,,,False,False,False,False
g25,1.0,2026-09-05,Maine,Appalachian State,False,True,9,"{""market_best_away_spread_home"": -22.5, ""market_best_away_spread_price"": -115.0, ""market_best_home_spread_home"": -22.5, ""market_best_home_spread_price"": -105.0, ""market_spread_hold_away_line"": 22.5, ""market_spread_hold_home_line"": -22.5, ""market_spread_hold_pct"": 4.71, ""market_spread_home"": -22.5, ""market_spread_price"": -105.0}",,,,,,,,,,,,,,
g26,1.0,2026-09-05,Northern Arizona,Arizona,False,True,0,{},,,,,,,,,,,,,,
g27,1.0,2026-09-05,Morgan State,Arizona State,False,True,0,{},,,,,,,,,,,,,,
g28,1.0,2026-09-05,North Alabama,Arkansas,False,True,9,"{""market_best_away_spread_home"": -40.5, ""market_best_away_spread_price"": -110.0, ""market_best_home_spread_home"": -40.5, ""market_best_home_spread_price"": -110.0, ""market_spread_hold_away_line"": 40.5, ""market_spread_hold_home_line"": -40.5, ""market_spread_hold_pct"": 4.76, ""market_spread_home"": -40.5, ""market_spread_price"": -110.0}",,,,,,,,,,,,,,
g29,1.0,2026-09-05,Bryant,Army,False,True,9,"{""market_best_away_spread_home"": -37.5, ""market_best_away_spread_price"": -105.0, ""market_best_home_spread_home"": -37.5, ""market_best_home_spread_price"": -115.0, ""market_spread_hold_away_line"": 37.5, ""market_spread_hold_home_line"": -37.5, ""market_spread_hold_pct"": 4.71, ""market_spread_home"": -37.5, ""market_spread_price"": -115.0}",,,,,,,,,,,,,,
g30,1.0,2026-09-05,Baylor,Auburn,True,True,14,"{""blend_spread_home"": 7.255, ""market_best_away_spread_home"": -7.5, ""market_best_away_spread_price"": -115.0, ""market_best_home_spread_home"": -7.0, ""market_best_home_spread_price"": -110.0, ""market_spread_hold_away_line"": 7.25, ""market_spread_hold_home_line"": -7.25, ""market_spread_hold_pct"": 4.87, ""market_spread_home"": -7.0, ""market_spread_open_home"": -6.5, ""market_spread_price"": -110.0, ""projected_margin_home"": 7.255, ""projection_spread_home"": 7.255, ""site_spread_home"": 7.255}",53.0,,,57.0,,,,,,,False,False,False,False
g31,1.0,2026-09-05,Utah Tech,BYU,False,True,0,{},,,,,,,,,,,,,,
g32,1.0,2026-09-05,Tarleton State,Bowling Green,False,True,0,{},,,,,,,,,,,,,,
g33,1.0,2026-09-05,UCLA,California,True,True,12,"{""blend_spread_home"": 1.6675, ""market_best_away_spread_home"": -1.5, ""market_best_away_spread_price"": -115.0, ""market_best_home_spread_home"": 1.5, ""market_best_home_spread_price"": -108.0, ""market_spread_hold_pct"": 6.32, ""market_spread_home"": -1.0, ""market_spread_open_home"": -1.5, ""market_spread_price"": -112.0, ""projected_margin_home"": 1.667, ""projection_spread_home"": 1.6675, ""site_spread_home"": 1.6675}",67.0,,,58.0,,,,,,,False,False,False,False
g34,1.0,2026-09-05,The Citadel,Charlotte,False,True,9,"{""market_best_away_spread_home"": -14.5, ""market_best_away_spread_price"": -122.0, ""market_best_home_spread_home"": -14.5, ""market_best_home_spread_price"": -100.0, ""market_spread_hold_away_line"": 14.5, ""market_spread_hold_home_line"": -14.5, ""market_spread_hold_pct"": 4.95, ""market_spread_home"": -14.5, ""market_spread_price"": -100.0}",,,,,,,,,,,,,,
g35,1.0,2026-09-05,Boston College,Cincinnati,True,True,14,"{""blend_spread_home"": 9.44, ""market_best_away_spread_home"": -7.5, ""market_best_away_spread_price"": -105.0, ""market_best_home_spread_home"": -7.5, ""market_best_home_spread_price"": -100.0, ""market_spread_hold_away_line"": 7.5, ""market_spread_hold_home_line"": -7.5, ""market_spread_hold_pct"": 1.22, ""market_spread_home"": -7.5, ""market_spread_open_home"": -9.5, ""market_spread_price"": -100.0, ""projected_margin_home"": 9.44, ""projection_spread_home"": 9.44, ""site_spread_home"": 9.44}",50.0,,,57.0,,,,,,,False,False,False,False
g36,1.0,2026-09-05,Wyoming,Colorado State,True,True,14,"{""blend_spread_home"": 1.995, ""market_best_away_spread_home"": -4.0, ""market_best_away_spread_price"": -112.0, ""market_best_home_spread_home"": -3.5, ""market_best_home_spread_price"": -114.0, ""market_spread_hold_away_line"": 3.75, ""market_spread_hold_home_line"": -3.75, ""market_spread_hold_pct"": 5.1, ""market_spread_home"": -3.5, ""market_spread_open_home"": -4.0, ""market_spread_price"": -114.0, ""projected_margin_home"": 1.995, ""projection_spread_home"": 1.995, ""site_spread_home"": 1.995}",40.0,,,46.0,,,,,,,False,False,False,False
g37,1.0,2026-09-05,Lafayette,Connecticut,False,True,0,{},,,,,,,,,,,,,,
