model_id,threshold,week_scope,n,record,wins,losses,pushes,win_pct,roi,avg_clv,median_clv,positive_clv_pct,beat_close_pct,won_line_move_pct,clv_implied_ev,mae,rmse,bias,avg_edge,median_edge
spread_4src_25_25_25_25_v1,0.5,W0,0,0-0-0,0,0,0,,,,,,,,,,,,,
spread_4src_25_25_25_25_v1,0.5,W1,169,74-93-2,74,93,2,0.4431137724550898,-0.1532241117064434,0.4940828402366864,0.5,0.5976331360946746,0.5976331360946746,0.7214285714285714,,12.016272189349113,15.19678503400711,-2.4159171597633136,2.4675147928994083,2.0225
spread_4src_25_25_25_25_v1,0.5,W2,223,117-103-3,117,103,3,0.5318181818181819,0.016081766790202172,0.9506726457399103,0.5,0.5919282511210763,0.5919282511210763,0.6984126984126984,,11.645358744394617,14.777533024391978,0.18517937219730954,3.03237668161435,2.5125
spread_4src_25_25_25_25_v1,0.5,W0-2,392,191-196-5,191,196,5,0.4935400516795866,-0.0569097981739129,0.7538265306122449,0.5,0.5943877551020408,0.5943877551020408,0.7082066869300911,,11.805267857142857,14.959722888365402,-0.9362117346938773,2.7888520408163266,2.205
spread_4src_25_25_25_25_v1,0.5,W0-4,912,451-447-14,451,447,14,0.5022271714922049,-0.037504897800330415,0.9676535087719298,0.5,0.5953947368421053,0.5953947368421053,0.6864728192161821,,12.21263980263158,15.346706254631773,-0.28197642543859647,2.8082264254385962,2.1825
spread_4src_25_25_25_25_v1,0.5,W5+,2547,1317-1202-28,1317,1202,28,0.5228265184597062,-0.0005688358203016982,0.7985865724381626,0.5,0.5763643502159403,0.5763643502159403,0.6895255988727101,,12.356184727129957,15.539069143907817,0.06654986258343147,2.4151855123674912,2.0325
spread_4src_25_25_25_25_v1,1.0,W0,0,0-0-0,0,0,0,,,,,,,,,,,,,
spread_4src_25_25_25_25_v1,1.0,W1,160,73-85-2,73,85,2,0.4620253164556962,-0.11542135465567016,0.49375,0.5,0.5875,0.5875,0.7121212121212122,,12.168203125,15.263215153955523,-2.5301406250000005,2.660015625,2.1825
spread_4src_25_25_25_25_v1,1.0,W2,218,114-101-3,114,101,3,0.5302325581395348,0.01208464213189653,1.110091743119266,1.0,0.6422018348623854,0.6422018348623854,0.7291666666666666,,11.687098623853208,14.795080839876686,0.2233830275229358,3.2281766055045864,2.5925000000000002
spread_4src_25_25_25_25_v1,1.0,W0-2,378,187-186-5,187,186,5,0.5013404825737265,-0.04188615015913701,0.8492063492063492,0.5,0.6190476190476191,0.6190476190476191,0.7222222222222222,,11.89074074074074,14.995016880617374,-0.9421296296296294,2.9876851851851844,2.46875
spread_4src_25_25_25_25_v1,1.0,W0-4,889,442-433-14,442,433,14,0.5051428571428571,-0.03221979476412156,1.0489313835770528,0.5,0.609673790776153,0.609673790776153,0.7038961038961039,,12.251664791901012,15.364872811296278,-0.24494375703037122,3.0081046119235095,2.3725
spread_4src_25_25_25_25_v1,1.0,W5+,2442,1273-1138-31,1273,1138,31,0.5279966818747408,0.009363455625148917,0.8757166257166257,0.5,0.5831285831285832,0.5831285831285832,0.6983815595880334,,12.34962633087633,15.558191578949964,0.15801699426699425,2.6462192874692874,2.1975
spread_4src_25_25_25_25_v1,1.5,W0,0,0-0-0,0,0,0,,,,,,,,,,,,,
spread_4src_25_25_25_25_v1,1.5,W1,149,71-75-3,71,75,3,0.4863013698630137,-0.0704904210629141,0.5805369127516778,0.5,0.610738255033557,0.610738255033557,0.7338709677419355,,12.300604026845637,15.451942241790322,-2.503255033557047,2.9130872483221473,2.4325
spread_4src_25_25_25_25_v1,1.5,W2,205,108-94-3,108,94,3,0.5346534653465347,0.021539316638574134,1.3634146341463416,1.0,0.6634146341463415,0.6634146341463415,0.7555555555555555,,11.882621951219512,15.011347980818362,0.2996707317073173,3.624524390243902,2.8225
spread_4src_25_25_25_25_v1,1.5,W0-2,354,179-169-6,179,169,6,0.514367816091954,-0.017196363919396912,1.0338983050847457,1.0,0.6412429378531074,0.6412429378531074,0.7467105263157895,,12.058552259887003,15.19835255519325,-0.8800918079096045,3.325077683615819,2.67375
