model_id,checkpoint,threshold,n,record,wins,losses,pushes,win_pct,roi,avg_clv,median_clv,positive_clv_pct,beat_close_pct,won_line_move_pct,clv_implied_ev,mae,rmse,bias,avg_edge,median_edge
total_sp50_massey50_v1,CLOSE,0.5,3265,1695-1540-30,1695,1540,30,0.5239567233384853,0.00027843519420855153,0.0,0.0,0.0,0.0,,,12.839869831546709,16.15937139501666,0.32965543644716694,3.728292496171516,3.1499999999999986
total_sp50_massey50_v1,CLOSE,1.0,2909,1515-1366-28,1515,1366,28,0.5258590767094758,0.0038751210975342984,0.0,0.0,0.0,0.0,,,12.881101753179786,16.172480467892328,0.5125902371949124,4.095041251289103,3.549999999999997
total_sp50_massey50_v1,CLOSE,1.5,2582,1333-1225-24,1333,1225,24,0.5211102423768569,-0.005105274276459395,0.0,0.0,0.0,0.0,,,12.967476762199846,16.276918410958817,0.6405790085205267,4.457852439969016,3.924999999999997
total_sp50_massey50_v1,CLOSE,2.0,2290,1186-1082-22,1186,1082,22,0.5229276895943563,-0.001667328304882894,0.0,0.0,0.0,0.0,,,13.009628820960698,16.285309572134697,0.8925982532751092,4.805021834061136,4.237500000000001
total_sp50_massey50_v1,CLOSE,2.5,1999,1046-933-20,1046,933,20,0.5285497726124305,0.008959024967028972,0.0,0.0,0.0,0.0,,,13.075,16.3861139628315,1.0271010505252627,5.1778514257128565,4.600000000000001
total_sp50_massey50_v1,CLOSE,3.0,1726,911-797-18,911,797,18,0.5333723653395784,0.018065943326661754,0.0,0.0,0.0,0.0,,,13.164325028968713,16.446900044529343,0.9948580533024334,5.565744495944379,4.950000000000003
total_sp50_massey50_v1,CLOSE,3.5,1486,781-689-16,781,689,16,0.5312925170068027,0.01413189771197847,0.0,0.0,0.0,0.0,,,13.173771870794077,16.484445477945055,1.1617261103633918,5.944330417227457,5.350000000000001
total_sp50_massey50_v1,CLOSE,4.0,1262,659-592-11,659,592,11,0.5267785771382894,0.005618786918311487,0.0,0.0,0.0,0.0,,,13.315590332805069,16.606366966655298,1.3231576862123615,6.337460380348653,5.799999999999997
total_sp50_massey50_v1,CLOSE,4.5,1051,547-494-10,547,494,10,0.5254562920268973,0.0031139174811867457,0.0,0.0,0.0,0.0,,,13.305708848715508,16.4984654593054,1.6221693625118936,6.763843958135109,6.25
total_sp50_massey50_v1,CLOSE,5.0,849,444-395-10,444,395,10,0.5292014302741359,0.010172395331405936,0.0,0.0,0.0,0.0,,,13.499411071849234,16.727717145712063,1.7478798586572437,7.248468786808009,6.724999999999994
