model_id,checkpoint,threshold,n,record,wins,losses,pushes,win_pct,roi,avg_clv,median_clv,positive_clv_pct,beat_close_pct,won_line_move_pct,clv_implied_ev,mae,rmse,bias,avg_edge,median_edge
total_sp50_massey50_v1,CLOSE,6.0,590,320-262-8,320,262,8,0.5498281786941581,0.04899845916795069,0.0,0.0,0.0,0.0,,,13.758516949152542,17.13983648414972,1.9655508474576275,8.031991525423729,7.5
total_sp50_massey50_v1,CLOSE,7.0,368,196-166-6,196,166,6,0.5414364640883977,0.033102766798418976,0.0,0.0,0.0,0.0,,,13.917459239130435,17.401129427909208,2.1432744565217394,8.982948369565218,8.4875
total_sp50_massey50_v1,CLOSE,8.0,235,126-105-4,126,105,4,0.5454545454545454,0.040618955512572545,0.0,0.0,0.0,0.0,,,14.233617021276595,17.851141122116037,2.851702127659575,9.848723404255319,9.375
total_sp50_massey50_v1,CLOSE,9.0,145,82-60-3,82,60,3,0.5774647887323944,0.10031347962382446,0.0,0.0,0.0,0.0,,,14.502413793103448,17.9063495288201,2.0886206896551722,10.711034482758622,10.149999999999999
total_sp50_massey50_v1,CLOSE,10.0,80,42-36-2,42,36,2,0.5384615384615384,0.027272727272727292,0.0,0.0,0.0,0.0,,,14.838437500000001,18.35356679401854,3.3271875,11.7046875,11.275000000000002
total_sp50_massey50_v1,SUN_2PM_ET,0.5,1404,757-644-3,757,644,3,0.5403283369022127,0.031468531468531465,0.4024216524216524,0.0,0.4886039886039886,0.4886039886039886,0.5784148397976391,,12.763301282051284,16.040825943670363,0.537232905982906,3.2022257834757837,2.825000000000003
total_sp50_massey50_v1,SUN_2PM_ET,1.0,1249,681-565-3,681,565,3,0.5465489566613162,0.043307373171264284,0.3979183346677342,0.0,0.4859887910328263,0.4859887910328263,0.5748106060606061,,12.736809447558047,15.96319311188905,0.6702762209767812,3.5085468374699755,3.1000000000000014
total_sp50_massey50_v1,SUN_2PM_ET,1.5,1092,600-489-3,600,489,3,0.5509641873278237,0.051698301698301696,0.4107142857142857,0.0,0.47710622710622713,0.47710622710622713,0.5700218818380745,,12.695444139194139,15.989635117919747,0.6714056776556776,3.836607142857143,3.375
total_sp50_massey50_v1,SUN_2PM_ET,2.0,923,510-410-3,510,410,3,0.5543478260869565,0.058110903181325724,0.4198266522210184,0.0,0.48320693391115926,0.48320693391115926,0.5747422680412371,,12.574783315276274,15.932009713305959,0.7204496208017334,4.2206663055254605,3.75
total_sp50_massey50_v1,SUN_2PM_ET,2.5,791,438-350-3,438,350,3,0.5558375634517766,0.06091253878864498,0.4506953223767383,0.0,0.49051833122629585,0.49051833122629585,0.5773809523809523,,12.506099873577751,15.925971109600129,0.531826801517067,4.552496839443743,4.100000000000001
total_sp50_massey50_v1,SUN_2PM_ET,3.0,661,377-281-3,377,281,3,0.5729483282674772,0.09338467886122954,0.5136157337367625,0.0,0.4977307110438729,0.4977307110438729,0.589605734767025,,12.21232980332829,15.637900544324696,0.7629349470499243,4.91180030257186,4.449999999999996
total_sp50_massey50_v1,SUN_2PM_ET,3.5,521,303-215-3,303,215,3,0.584942084942085,0.11603559588204498,0.5710172744721689,0.5,0.5143953934740882,0.5143953934740882,0.6022471910112359,,12.189779270633398,15.74885034496486,0.7940978886756238,5.3656909788867555,4.850000000000001
total_sp50_massey50_v1,SUN_2PM_ET,4.0,412,251-159-2,251,159,2,0.6121951219512195,0.16791703442188877,0.5983009708737864,0.5,0.5169902912621359,0.5169902912621359,0.6085714285714285,,12.618932038834952,16.28655811156425,0.44575242718446617,5.796601941747572,5.325000000000003
total_sp50_massey50_v1,SUN_2PM_ET,4.5,322,188-132-2,188,132,2,0.5875,0.12083568605307735,0.7003105590062112,0.5,0.5279503105590062,0.5279503105590062,0.6181818181818182,,13.225077639751554,16.996615197833652,-0.14604037267080747,6.231599378881987,5.737500000000001
total_sp50_massey50_v1,SUN_2PM_ET,5.0,244,147-95-2,147,95,2,0.6074380165289256,0.1583457526080477,0.7745901639344263,0.5,0.5409836065573771,0.5409836065573771,0.631578947368421,,13.093442622950821,17.10669118201183,-0.5235655737704921,6.708401639344262,6.225000000000001
total_sp50_massey50_v1,SUN_2PM_ET,6.0,145,82-61-2,82,61,2,0.5734265734265734,0.09341692789968649,1.1275862068965516,1.0,0.593103448275862,0.593103448275862,0.7049180327868853,,12.559999999999999,15.844633596050855,2.2599999999999993,7.599310344827587,7.174999999999997
total_sp50_massey50_v1,SUN_2PM_ET,7.0,82,49-32-1,49,32,1,0.6049382716049383,0.1529933481152993,1.2378048780487805,1.0,0.5853658536585366,0.5853658536585366,0.7058823529411765,,11.221951219512196,13.951310149159784,2.190243902439024,8.514634146341463,8.0
total_sp50_massey50_v1,SUN_2PM_ET,8.0,41,25-15-1,25,15,1,0.625,0.18847006651884698,1.4146341463414633,1.0,0.5609756097560976,0.5609756097560976,0.7419354838709677,,11.123170731707315,14.126089424855854,-0.21829268292682952,9.674390243902439,9.200000000000003
total_sp50_massey50_v1,SUN_2PM_ET,9.0,23,15-7-1,15,7,1,0.6818181818181818,0.2885375494071146,1.2391304347826086,1.0,0.6086956521739131,0.6086956521739131,0.7777777777777778,,10.682608695652174,13.470493115792333,-4.930434782608695,10.719565217391304,10.5
total_sp50_massey50_v1,SUN_2PM_ET,10.0,16,10-5-1,10,5,1,0.6666666666666666,0.2556818181818181,1.65625,1.0,0.6875,0.6875,0.8461538461538461,,11.3515625,14.610498954091199,-5.0015625,11.3546875,11.2
total_sp50_massey50_v1,SUN_9AM_ET,0.5,1020,526-493-1,526,493,1,0.5161923454367027,-0.014527629233511582,0.43333333333333335,0.0,0.4774509803921569,0.4774509803921569,0.5736160188457008,,12.661789215686275,15.942166137384241,1.2599754901960785,3.1275735294117646,2.6374999999999993
total_sp50_massey50_v1,SUN_9AM_ET,1.0,902,470-431-1,470,431,1,0.5216426193118757,-0.004132231404958677,0.4240576496674058,0.0,0.4700665188470067,0.4700665188470067,0.5683646112600537,,12.655543237250553,15.857913968151236,1.7603104212860312,3.44129711751663,3.0
total_sp50_massey50_v1,SUN_9AM_ET,1.5,766,402-363-1,402,363,1,0.5254901960784314,0.00320436743413245,0.402088772845953,0.0,0.45691906005221933,0.45691906005221933,0.5582137161084529,,12.589882506527415,15.847981778006666,1.614686684073107,3.8319190600522193,3.325000000000003
total_sp50_massey50_v1,SUN_9AM_ET,2.0,653,351-301-1,351,301,1,0.5383435582822086,0.027704301823750527,0.4333843797856049,0.0,0.4563552833078101,0.4563552833078101,0.5570093457943925,,12.67251148545176,15.994826463061765,1.6606431852986219,4.195712098009188,3.7250000000000014
total_sp50_massey50_v1,SUN_9AM_ET,2.5,556,293-262-1,293,262,1,0.527927927927928,0.007848266841072597,0.5197841726618705,0.0,0.4694244604316547,0.4694244604316547,0.5698689956331878,,12.648111510791368,15.961122182132106,1.645323741007194,4.537769784172662,4.100000000000001
total_sp50_massey50_v1,SUN_9AM_ET,3.0,455,250-204-1,250,204,1,0.5506607929515418,0.05114885114885115,0.4967032967032967,0.0,0.46153846153846156,0.46153846153846156,0.5614973262032086,,12.482747252747252,15.844483908593247,1.5881318681318681,4.942967032967033,4.549999999999997
total_sp50_massey50_v1,SUN_9AM_ET,3.5,365,200-164-1,200,164,1,0.5494505494505495,0.04881693648816937,0.536986301369863,0.0,0.4794520547945205,0.4794520547945205,0.5737704918032787,,12.584452054794523,16.12780935493228,1.606917808219178,5.371712328767123,4.924999999999997
total_sp50_massey50_v1,SUN_9AM_ET,4.0,290,163-126-1,163,126,1,0.5640138408304498,0.07648902821316614,0.5706896551724138,0.5,0.503448275862069,0.503448275862069,0.5983606557377049,,13.011120689655174,16.64244515098212,1.696810344827586,5.7957758620689654,5.337500000000002
total_sp50_massey50_v1,SUN_9AM_ET,4.5,233,134-98-1,134,98,1,0.5775862068965517,0.10222395630120953,0.7253218884120172,0.5,0.5407725321888412,0.5407725321888412,0.6363636363636364,,12.560836909871245,16.130373559848437,1.647317596566523,6.178433476394849,5.850000000000001
total_sp50_massey50_v1,SUN_9AM_ET,5.0,175,107-67-1,107,67,1,0.6149425287356322,0.172987012987013,0.6857142857142857,0.5,0.5428571428571428,0.5428571428571428,0.6375838926174496,,12.016428571428571,15.633804376597345,1.6432857142857138,6.652428571428572,6.299999999999997
total_sp50_massey50_v1,SUN_9AM_ET,6.0,111,64-46-1,64,46,1,0.5818181818181818,0.10974610974610971,0.9504504504504504,1.0,0.6126126126126126,0.6126126126126126,0.723404255319149,,12.453828828828833,15.706377993817819,3.137162162162161,7.372747747747747,6.875
total_sp50_massey50_v1,SUN_9AM_ET,7.0,54,33-21-0,33,21,0,0.6111111111111112,0.16666666666666666,0.7037037037037037,1.0,0.5925925925925926,0.5925925925925926,0.6666666666666666,,11.819444444444443,14.632118400590153,3.7537037037037035,8.388888888888888,7.662499999999998
total_sp50_massey50_v1,SUN_9AM_ET,8.0,22,12-10-0,12,10,0,0.5454545454545454,0.04132231404958677,1.0681818181818181,1.0,0.6363636363636364,0.6363636363636364,0.7368421052631579,,11.853409090909093,14.023106945648347,-1.8375000000000012,9.873863636363637,9.75
total_sp50_massey50_v1,SUN_9AM_ET,9.0,14,8-6-0,8,6,0,0.5714285714285714,0.0909090909090909,1.2142857142857142,1.0,0.7142857142857143,0.7142857142857143,0.7692307692307693,,12.275,14.632357734047606,-4.660714285714286,10.74642857142857,10.325
total_sp50_massey50_v1,SUN_9AM_ET,10.0,11,7-4-0,7,4,0,0.6363636363636364,0.21487603305785122,1.2727272727272727,1.0,0.7272727272727273,0.7272727272727273,0.8,,12.697727272727274,15.408371027700259,-4.0613636363636365,11.161363636363637,10.924999999999997
total_sp50_massey50_v1,SUN_9PM_ET,0.5,3198,1656-1529-13,1656,1529,13,0.5199372056514914,-0.007362556143043944,0.30284552845528456,0.0,0.48717948717948717,0.48717948717948717,0.5709050934408209,,12.869183864915573,16.16024795532191,0.3342245153220764,3.4542682926829267,2.924999999999997
total_sp50_massey50_v1,SUN_9PM_ET,1.0,2877,1501-1364-12,1501,1364,12,0.5239092495636998,0.00018959143046734208,0.3168230795968022,0.0,0.4921793534932221,0.4921793534932221,0.5744421906693712,,12.830848105665623,16.14007441387758,0.5746958637469587,3.7573861661452903,3.174999999999997
total_sp50_massey50_v1,SUN_9PM_ET,1.5,2524,1325-1189-10,1325,1189,10,0.5270485282418457,0.0061590548912260545,0.3373613312202853,0.0,0.49128367670364503,0.49128367670364503,0.5732778548312529,,12.8473058637084,16.186206443184723,0.5238708399366085,4.110558637083994,3.549999999999997
total_sp50_massey50_v1,SUN_9PM_ET,2.0,2176,1149-1019-8,1149,1019,8,0.5299815498154982,0.011739639037433157,0.34375,0.0,0.49494485294117646,0.49494485294117646,0.5780998389694042,,12.888017003676469,16.290938754087506,0.4858340992647059,4.490475643382353,3.924999999999997
total_sp50_massey50_v1,SUN_9PM_ET,2.5,1863,989-868-6,989,868,6,0.5325794291868605,0.016688625384277563,0.3370907139023081,0.0,0.49221685453569514,0.49221685453569514,0.5752823086574655,,12.903690284487384,16.302811690473195,0.6281669350509931,4.868129361245303,4.299999999999997
total_sp50_massey50_v1,SUN_9PM_ET,3.0,1554,833-716-5,833,716,5,0.5377663008392511,0.02655902655902656,0.3333333333333333,0.0,0.4929214929214929,0.4929214929214929,0.5763732129420617,,13.045125482625483,16.450339484649906,0.6365990990990991,5.293581081081081,4.774999999999999
total_sp50_massey50_v1,SUN_9PM_ET,3.5,1281,699-578-4,699,578,4,0.5473766640563822,0.04485132353984814,0.34543325526932084,0.0,0.49804839968774395,0.49804839968774395,0.5773755656108597,,13.025995316159253,16.48398899090578,0.5001951600312255,5.736221701795473,5.200000000000003
total_sp50_massey50_v1,SUN_9PM_ET,4.0,1065,588-473-4,588,473,4,0.5541941564561734,0.05778915919760989,0.35774647887323946,0.5,0.5023474178403756,0.5023474178403756,0.5821545157780196,,13.101901408450706,16.562064291372298,0.6141549295774649,6.143122065727699,5.625
total_sp50_massey50_v1,SUN_9PM_ET,4.5,869,481-384-4,481,384,4,0.5560693641618497,0.06130348362799456,0.40678941311852707,0.5,0.5109321058688148,0.5109321058688148,0.5888594164456233,,13.111680092059839,16.659174126173482,0.8420598388952819,6.575604142692751,6.024999999999999
total_sp50_massey50_v1,SUN_9PM_ET,5.0,719,412-304-3,412,304,3,0.5754189944134078,0.0981160702996586,0.43949930458970793,0.5,0.5229485396383866,0.5229485396383866,0.5987261146496815,,12.899826147426982,16.489024012956648,1.120201668984701,6.962343532684284,6.350000000000001
total_sp50_massey50_v1,SUN_9PM_ET,6.0,442,245-196-1,245,196,1,0.5555555555555556,0.060468942821884,0.47850678733031676,0.5,0.5158371040723982,0.5158371040723982,0.6,,13.288970588235292,16.38251187756481,2.1796945701357466,7.911142533936652,7.25
total_sp50_massey50_v1,SUN_9PM_ET,7.0,261,148-112-1,148,112,1,0.5692307692307692,0.08638105189829329,0.5574712643678161,0.5,0.5325670498084292,0.5325670498084292,0.6123348017621145,,13.04712643678161,16.45936902022861,2.3551724137931034,8.93199233716475,8.399999999999999
total_sp50_massey50_v1,SUN_9PM_ET,8.0,155,99-55-1,99,55,1,0.6428571428571429,0.22580645161290322,0.7645161290322581,1.0,0.5612903225806452,0.5612903225806452,0.6692307692307692,,12.498387096774193,15.919287601583669,2.619677419354839,9.950645161290321,9.299999999999997
total_sp50_massey50_v1,SUN_9PM_ET,9.0,95,62-32-1,62,32,1,0.6595744680851063,0.2564593301435407,0.9,1.0,0.6,0.6,0.7125,,13.16894736842105,16.496200120665748,0.7189473684210532,10.879473684210529,10.424999999999997
total_sp50_massey50_v1,SUN_9PM_ET,10.0,57,35-21-1,35,21,1,0.625,0.18979266347687399,1.0263157894736843,1.0,0.6491228070175439,0.6491228070175439,0.7551020408163265,,13.280263157894739,16.64625603288261,0.704824561403509,11.867105263157894,11.424999999999997
