model_id,develop_seasons,test_season,checkpoint,edge_threshold,dev_n,dev_mae,dev_rmse,dev_bias,test_n,test_mae,test_rmse,test_bias,test_bet_n,test_bet_record,test_bet_win_pct,test_bet_roi,test_bet_avg_clv,test_bet_median_clv,test_bet_positive_clv_pct,test_bet_beat_close_pct,test_bet_won_line_move_pct
spread_4src_15_15_30_40_v1,2021-2023,2024,SUN_9AM_ET,2,2069,12.423417351377475,15.51867117988337,0.37750096665055577,714,12.446772408963586,15.742767185333419,-0.6116547619047621,223,130-92-1,0.5855855855855856,0.11376031631541869,1.100896860986547,1.0,0.6322869955156951,0.6322869955156951,0.7421052631578947
spread_4src_15_15_30_40_v1,2021-2023,2024,SUN_9AM_ET,3,2069,12.423417351377475,15.51867117988337,0.37750096665055577,714,12.446772408963586,15.742767185333419,-0.6116547619047621,119,71-48-0,0.5966386554621849,0.13785819811518332,1.2142857142857142,1.0,0.6638655462184874,0.6638655462184874,0.7821782178217822
spread_4src_15_15_30_40_v1,2021-2023,2024,SUN_9AM_ET,4,2069,12.423417351377475,15.51867117988337,0.37750096665055577,714,12.446772408963586,15.742767185333419,-0.6116547619047621,60,39-21-0,0.65,0.24240520792938797,1.3166666666666667,1.0,0.6333333333333333,0.6333333333333333,0.7755102040816326
spread_4src_15_15_30_40_v1,2021-2023,2024,SUN_9AM_ET,5,2069,12.423417351377475,15.51867117988337,0.37750096665055577,714,12.446772408963586,15.742767185333419,-0.6116547619047621,28,16-12-0,0.5714285714285714,0.0883228748282071,0.8035714285714286,0.75,0.5357142857142857,0.5357142857142857,0.7142857142857143
spread_4src_15_15_30_40_v1,2021-2024,2025,SUN_9AM_ET,2,2783,12.429409270571327,15.576472201346174,0.1237254761049228,683,11.908893850658858,15.180290036631925,-0.9885717423133237,213,121-90-2,0.5734597156398105,0.09261640762727344,1.4272300469483568,1.0,0.6901408450704225,0.6901408450704225,0.8076923076923077
spread_4src_15_15_30_40_v1,2021-2024,2025,SUN_9AM_ET,3,2783,12.429409270571327,15.576472201346174,0.1237254761049228,683,11.908893850658858,15.180290036631925,-0.9885717423133237,115,70-44-1,0.6140350877192983,0.16676000491137083,1.6565217391304348,1.0,0.7304347826086957,0.7304347826086957,0.8484848484848485
spread_4src_15_15_30_40_v1,2021-2024,2025,SUN_9AM_ET,4,2783,12.429409270571327,15.576472201346174,0.1237254761049228,683,11.908893850658858,15.180290036631925,-0.9885717423133237,55,33-22-0,0.6,0.14014267052250182,1.6818181818181819,1.0,0.7272727272727273,0.7272727272727273,0.851063829787234
spread_4src_15_15_30_40_v1,2021-2024,2025,SUN_9AM_ET,5,2783,12.429409270571327,15.576472201346174,0.1237254761049228,683,11.908893850658858,15.180290036631925,-0.9885717423133237,29,14-15-0,0.4827586206896552,-0.08083620527398637,1.9482758620689655,2.0,0.7241379310344828,0.7241379310344828,0.875
spread_4src_15_15_35_35_v1,2021-2023,2024,SUN_9AM_ET,2,2069,12.42146060898985,15.51643547758047,0.3702203963267276,714,12.438340336134452,15.729733166706877,-0.578852941176471,233,134-99-0,0.575107296137339,0.09451394502805589,1.0429184549356223,1.0,0.6223175965665236,0.6223175965665236,0.7360406091370558
spread_4src_15_15_35_35_v1,2021-2023,2024,SUN_9AM_ET,3,2069,12.42146060898985,15.51643547758047,0.3702203963267276,714,12.438340336134452,15.729733166706877,-0.578852941176471,122,75-47-0,0.6147540983606558,0.172014178312599,1.2827868852459017,1.0,0.680327868852459,0.680327868852459,0.7980769230769231
