model_id,threshold,checkpoint,n,record,wins,losses,pushes,win_pct,roi,avg_clv,median_clv,positive_clv_pct,beat_close_pct,won_line_move_pct,clv_implied_ev,mae,rmse,bias,avg_edge,median_edge
total_sp50_massey50_v1,0.5,CLOSE,292,152-138-2,152,138,2,0.5241379310344828,0.0006226650062266586,0.0,0.0,0.0,0.0,,,12.556849315068494,15.925605486220602,1.7436643835616437,2.644520547945205,2.1000000000000014
total_sp50_massey50_v1,0.5,SUN_2PM_ET,8,4-4-0,4,4,0,0.5,-0.04545454545454547,2.0625,1.5,1.0,1.0,1.0,,10.212499999999999,12.321957028004926,6.762499999999998,2.0375000000000005,1.4750000000000014
total_sp50_massey50_v1,0.5,SUN_9AM_ET,1020,526-493-1,526,493,1,0.5161923454367027,-0.014527629233511585,0.43333333333333335,0.0,0.4774509803921569,0.4774509803921569,0.5736160188457008,,12.661789215686275,15.942166137384241,1.2599754901960785,3.1275735294117646,2.6374999999999993
total_sp50_massey50_v1,0.5,SUN_9PM_ET,2221,1158-1053-10,1158,1053,10,0.5237449118046132,-0.00012279480987269982,0.2521386762719496,0.0,0.48266546600630345,0.48266546600630345,0.5557283566614827,,12.91950697883836,16.230380451672517,-0.13654885186852764,3.465027014858172,2.875
total_sp50_massey50_v1,1.0,CLOSE,415,211-200-4,211,200,4,0.51338199513382,-0.019715224534501634,0.0,0.0,0.0,0.0,,,13.071325301204821,16.390527770709813,-0.06180722891566253,2.8155421686746984,2.424999999999997
total_sp50_massey50_v1,1.0,SUN_2PM_ET,23,13-10-0,13,10,0,0.5652173913043478,0.07905138339920947,2.4565217391304346,2.0,1.0,1.0,1.0,,12.527173913043478,15.492399083028621,1.040217391304347,2.446739130434782,1.8249999999999957
total_sp50_massey50_v1,1.0,SUN_9AM_ET,902,470-431-1,470,431,1,0.5216426193118757,-0.004132231404958677,0.4240576496674058,0.0,0.4700665188470067,0.4700665188470067,0.5683646112600537,,12.655543237250553,15.857913968151236,1.760310421286031,3.44129711751663,3.0
total_sp50_massey50_v1,1.0,SUN_9PM_ET,2047,1068-969-10,1068,969,10,0.524300441826215,0.0009326286805524771,0.2830972154372252,0.0,0.49193942354665365,0.49193942354665365,0.5650953984287318,,12.867696629213484,16.219081640007765,0.03472154372252087,3.7399487054225693,3.125
total_sp50_massey50_v1,1.5,CLOSE,500,253-242-5,253,242,5,0.5111111111111111,-0.023999999999999987,0.0,0.0,0.0,0.0,,,12.55795,15.7437039399882,0.47385000000000005,3.1721500000000007,2.7375000000000007
total_sp50_massey50_v1,1.5,SUN_2PM_ET,28,17-11-0,17,11,0,0.6071428571428571,0.15909090909090912,2.6785714285714284,2.0,1.0,1.0,1.0,,14.044642857142858,16.79109165386728,1.3464285714285715,2.9910714285714297,2.4750000000000014
