model_id,threshold,origin_checkpoint,later_checkpoint,n,avg_origin_edge,mean_remaining_edge,remaining_edge_pct,edge_persistence_pct,positive_edge_persistence_pct,same_side_persistence_pct,reversal_pct,strengthened_pct,avg_clv,roi
spread_4src_25_25_25_25_v1,0.5,FRI_2PM_ET,CLOSE,5,0.7264999999999999,0.9265000000000005,1.0612642442009759,0.8,0.8,0.8,0.2,0.4,-0.2,0.1458458889367197
spread_4src_25_25_25_25_v1,0.5,MON_3PM_ET,CLOSE,23,1.1991304347826086,0.5904347826086953,0.4285933947819335,0.4782608695652174,0.6086956521739131,0.6086956521739131,0.391304347826087,0.2608695652173913,0.6086956521739131,0.0738683352775213
spread_4src_25_25_25_25_v1,0.5,MON_3PM_ET,FRI_2PM_ET,16,0.98671875,0.9554687499999996,0.9590678870094596,0.625,0.875,0.8125,0.125,0.4375,0.65625,-0.05199399668623578
spread_4src_25_25_25_25_v1,0.5,MON_3PM_ET,THU_2PM_ET,23,1.1991304347826086,1.0686956521739126,0.9281853657544371,0.8260869565217391,0.9130434782608695,0.8695652173913043,0.08695652173913043,0.391304347826087,0.6086956521739131,0.0738683352775213
spread_4src_25_25_25_25_v1,0.5,MON_3PM_ET,TUE_2PM_ET,23,1.1991304347826086,1.0904347826086953,0.9057431713457054,0.7391304347826086,0.9130434782608695,0.782608695652174,0.08695652173913043,0.391304347826087,0.6086956521739131,0.0738683352775213
spread_4src_25_25_25_25_v1,0.5,MON_3PM_ET,WED_2PM_ET,23,1.1991304347826086,1.0686956521739126,0.9343552880396713,0.782608695652174,0.9130434782608695,0.8260869565217391,0.08695652173913043,0.391304347826087,0.6086956521739131,0.0738683352775213
spread_4src_25_25_25_25_v1,0.5,MON_9AM_ET,CLOSE,33,0.8459090909090908,1.0580303030303033,1.2490392567688116,0.6666666666666666,0.7878787878787878,0.7878787878787878,0.21212121212121213,0.48484848484848486,-0.21212121212121213,-0.07068760047670171
spread_4src_25_25_25_25_v1,0.5,MON_9AM_ET,FRI_2PM_ET,21,0.8271428571428571,1.0890476190476193,1.422582450178291,0.7619047619047619,0.9523809523809523,0.8571428571428571,0.047619047619047616,0.5714285714285714,-0.4523809523809524,-0.17836181351912295
spread_4src_25_25_25_25_v1,0.5,MON_9AM_ET,MON_3PM_ET,33,0.8459090909090908,0.8913636363636365,1.0646748009053437,0.7878787878787878,0.9393939393939394,0.9090909090909091,0.06060606060606061,0.5454545454545454,-0.21212121212121213,-0.07068760047670171
spread_4src_25_25_25_25_v1,0.5,MON_9AM_ET,THU_2PM_ET,33,0.8459090909090908,1.042878787878788,1.2529939187265213,0.7575757575757576,0.9090909090909091,0.8484848484848485,0.09090909090909091,0.6060606060606061,-0.21212121212121213,-0.07068760047670171
spread_4src_25_25_25_25_v1,0.5,MON_9AM_ET,TUE_2PM_ET,33,0.8459090909090908,1.0277272727272728,1.275569812448057,0.7878787878787878,0.9696969696969697,0.9393939393939394,0.030303030303030304,0.6060606060606061,-0.21212121212121213,-0.07068760047670171
spread_4src_25_25_25_25_v1,0.5,MON_9AM_ET,WED_2PM_ET,33,0.8459090909090908,1.0580303030303033,1.2902664179299512,0.7575757575757576,0.9090909090909091,0.8787878787878788,0.09090909090909091,0.6060606060606061,-0.21212121212121213,-0.07068760047670171
spread_4src_25_25_25_25_v1,0.5,SAT_11PM_ET,CLOSE,378,2.6043055555555554,1.7193849206349208,0.7403034984916783,0.7380952380952381,0.8068783068783069,0.8068783068783069,0.1931216931216931,0.31216931216931215,0.8849206349206349,0.0044263360525064535
spread_4src_25_25_25_25_v1,0.5,SAT_11PM_ET,FRI_2PM_ET,312,2.6548477564102564,3.2830528846153846,1.4504576857974503,0.9326923076923077,0.9615384615384616,0.8814102564102564,0.038461538461538464,0.5897435897435898,0.8862179487179487,0.013307844309949052
spread_4src_25_25_25_25_v1,0.5,SAT_11PM_ET,MON_3PM_ET,377,2.605417771883289,2.9661604774535806,1.3085460623276253,0.896551724137931,0.9363395225464191,0.8779840848806366,0.0636604774535809,0.4854111405835544,0.8726790450928382,0.0020697556631042316
spread_4src_25_25_25_25_v1,0.5,SAT_11PM_ET,MON_9AM_ET,377,2.605417771883289,2.9449403183023874,1.2898655203206573,0.8992042440318302,0.9363395225464191,0.8753315649867374,0.0636604774535809,0.493368700265252,0.8726790450928382,0.0020697556631042316
spread_4src_25_25_25_25_v1,0.5,SAT_11PM_ET,SUN_12PM_ET,373,2.5984048257372656,3.1292359249329755,1.345876301340565,0.9490616621983914,0.967828418230563,0.9329758713136729,0.032171581769437,0.5201072386058981,0.8927613941018767,0.005079085526448324
spread_4src_25_25_25_25_v1,0.5,SAT_11PM_ET,SUN_2PM_ET,370,2.616668918918919,2.539641891891892,1.019134384289944,0.9405405405405406,0.9621621621621622,0.9405405405405406,0.03783783783783784,0.372972972972973,0.9,8.92622699820693e-05
spread_4src_25_25_25_25_v1,0.5,SAT_11PM_ET,SUN_4PM_ET,376,2.610272606382979,3.0663896276595746,1.3522078362172651,0.9228723404255319,0.9601063829787234,0.9042553191489362,0.0398936170212766,0.5186170212765957,0.875,0.00473483480050611
spread_4src_25_25_25_25_v1,0.5,SAT_11PM_ET,SUN_9AM_ET,360,2.597125,2.572125,1.0208642248895823,0.95,0.9722222222222222,0.9638888888888889,0.027777777777777776,0.38055555555555554,0.8805555555555555,0.006582242017981807
spread_4src_25_25_25_25_v1,0.5,SAT_11PM_ET,SUN_9PM_ET,377,2.605417771883289,2.2910941644562337,0.937107714808262,0.8806366047745358,0.9363395225464191,0.9071618037135278,0.0636604774535809,0.3448275862068966,0.8726790450928382,0.0020697556631042316
spread_4src_25_25_25_25_v1,0.5,SAT_11PM_ET,THU_2PM_ET,360,2.613208333333333,3.243763888888889,1.4245913022482521,0.9222222222222223,0.95,0.8972222222222223,0.05,0.5833333333333334,0.8361111111111111,0.012386599326157101
spread_4src_25_25_25_25_v1,0.5,SAT_11PM_ET,TUE_2PM_ET,377,2.605417771883289,3.0245159151193644,1.3455160416681964,0.8992042440318302,0.9230769230769231,0.8779840848806366,0.07692307692307693,0.5358090185676393,0.8726790450928382,0.0020697556631042316
spread_4src_25_25_25_25_v1,0.5,SAT_11PM_ET,WED_2PM_ET,357,2.63968487394958,3.1985084033613447,1.4110069152768796,0.9131652661064426,0.9411764705882353,0.8879551820728291,0.058823529411764705,0.5630252100840336,0.834733893557423,0.004698702518787138
spread_4src_25_25_25_25_v1,0.5,SUN_12PM_ET,CLOSE,169,4.143683431952663,1.439541420118343,0.42254875145987786,0.621301775147929,0.7159763313609467,0.7159763313609467,0.28402366863905326,0.26627218934911245,2.7041420118343193,0.20584069499552457
spread_4src_25_25_25_25_v1,0.5,SUN_12PM_ET,FRI_2PM_ET,125,3.4365199999999994,2.46452,0.8014704056671939,0.768,0.856,0.752,0.144,0.368,2.144,0.12877246474116594
spread_4src_25_25_25_25_v1,0.5,SUN_12PM_ET,MON_3PM_ET,169,4.143683431952663,3.049008875739645,1.0558059753664129,0.7988165680473372,0.863905325443787,0.7988165680473372,0.13609467455621302,0.3609467455621302,2.7041420118343193,0.20584069499552457
spread_4src_25_25_25_25_v1,0.5,SUN_12PM_ET,MON_9AM_ET,169,4.143683431952663,3.114097633136095,1.1066575710270918,0.8284023668639053,0.8994082840236687,0.8402366863905325,0.10059171597633136,0.35502958579881655,2.7041420118343193,0.20584069499552457
spread_4src_25_25_25_25_v1,0.5,SUN_12PM_ET,SUN_2PM_ET,119,3.0769117647058826,2.211365546218487,0.8642917116665546,0.7899159663865546,0.9327731092436975,0.8991596638655462,0.06722689075630252,0.33613445378151263,1.5924369747899159,0.035256989674611605
spread_4src_25_25_25_25_v1,0.5,SUN_12PM_ET,SUN_4PM_ET,168,4.0833482142857145,3.3303720238095242,0.9587113053991115,0.8988095238095238,0.9523809523809523,0.9047619047619048,0.047619047619047616,0.36904761904761907,2.6488095238095237,0.17373260389430747
spread_4src_25_25_25_25_v1,0.5,SUN_12PM_ET,SUN_9PM_ET,169,4.143683431952663,1.7472337278106511,0.647361360953995,0.6982248520710059,0.8165680473372781,0.7751479289940828,0.1834319526627219,0.28402366863905326,2.7041420118343193,0.20584069499552457
spread_4src_25_25_25_25_v1,0.5,SUN_12PM_ET,THU_2PM_ET,164,4.183064024390244,3.1434298780487806,1.0851241522499966,0.8109756097560976,0.8353658536585366,0.7804878048780488,0.16463414634146342,0.3719512195121951,2.7134146341463414,0.2080575488350194
spread_4src_25_25_25_25_v1,0.5,SUN_12PM_ET,TUE_2PM_ET,169,4.143683431952663,2.9780029585798817,1.0552197917154973,0.7988165680473372,0.8520710059171598,0.7751479289940828,0.14792899408284024,0.3609467455621302,2.7041420118343193,0.20584069499552457
spread_4src_25_25_25_25_v1,0.5,SUN_12PM_ET,WED_2PM_ET,165,4.1829090909090905,3.0313939393939395,1.0788522613245772,0.7878787878787878,0.8363636363636363,0.7696969696969697,0.16363636363636364,0.3575757575757576,2.757575757575758,0.2123062358668733
spread_4src_25_25_25_25_v1,0.5,SUN_2PM_ET,CLOSE,674,2.4845956973293766,1.681925074183976,0.7235762397644759,0.6988130563798219,0.7818991097922848,0.7818991097922848,0.21810089020771514,0.3367952522255193,0.8026706231454006,-0.026179579460589956
spread_4src_25_25_25_25_v1,0.5,SUN_2PM_ET,FRI_2PM_ET,658,2.481181610942249,2.136196808510638,0.9986954234114525,0.8009118541033434,0.8632218844984803,0.8100303951367781,0.13677811550151975,0.41185410334346506,0.7819148936170213,-0.025710887278366127
spread_4src_25_25_25_25_v1,0.5,SUN_2PM_ET,MON_3PM_ET,674,2.4845956973293766,2.0973553412462906,0.8729014931555001,0.8427299703264095,0.9035608308605341,0.870919881305638,0.09643916913946587,0.3857566765578635,0.8026706231454006,-0.026179579460589956
spread_4src_25_25_25_25_v1,0.5,SUN_2PM_ET,MON_9AM_ET,674,2.4845956973293766,2.1848924332344213,0.9073536812795312,0.8768545994065282,0.9376854599406528,0.8991097922848664,0.06231454005934718,0.3857566765578635,0.8026706231454006,-0.026179579460589956
spread_4src_25_25_25_25_v1,0.5,SUN_2PM_ET,SUN_4PM_ET,670,2.4856119402985075,2.3094925373134325,0.9551073896266036,0.9104477611940298,0.9597014925373134,0.9283582089552239,0.04029850746268657,0.3716417910447761,0.8074626865671641,-0.026064505036745456
spread_4src_25_25_25_25_v1,0.5,SUN_2PM_ET,SUN_9PM_ET,674,2.4845956973293766,2.160411721068249,0.8896381291453369,0.884272997032641,0.9332344213649851,0.9050445103857567,0.06676557863501484,0.33827893175074186,0.8026706231454006,-0.026179579460589956
spread_4src_25_25_25_25_v1,0.5,SUN_2PM_ET,THU_2PM_ET,672,2.4867485119047616,2.103563988095238,0.9343747757908121,0.8095238095238095,0.8690476190476191,0.8288690476190477,0.13095238095238096,0.41369047619047616,0.8050595238095238,-0.02896312258127894
