checkpoint,threshold,cohort,evaluated_model,side_agreement_n,side_disagreement_n,n,record,wins,losses,pushes,win_pct,roi,avg_clv,median_clv,positive_clv_pct,beat_close_pct,won_line_move_pct,clv_implied_ev,mae,rmse,bias,avg_edge,median_edge
MON_3PM_ET,4.5,FOUR_SOURCE_SELECTED,5src,334,0,334,176-156-2,176,156,2,0.5301204819277109,0.01860652251330881,0.8622754491017964,0.5,0.5718562874251497,0.5718562874251497,0.6945454545454546,,13.303929640718563,16.680842931397265,-1.0231661676646704,5.614497005988024,5.158
MON_3PM_ET,4.5,FIVE_SOURCE_SELECTED,4src,297,0,297,153-142-2,153,142,2,0.5186440677966102,-0.003255424396990786,0.8131313131313131,0.5,0.5521885521885522,0.5521885521885522,0.6804979253112033,,13.15827441077441,16.54192655127503,-1.0620959595959594,5.948930976430977,5.5575
MON_3PM_ET,4.5,FIVE_SOURCE_SELECTED,5src,297,0,297,153-142-2,153,142,2,0.5186440677966102,-0.003255424396990756,0.8131313131313131,0.5,0.5521885521885522,0.5521885521885522,0.6804979253112033,,13.15827441077441,16.54192655127503,-1.0620959595959594,5.953225589225589,5.352
MON_3PM_ET,4.5,BOTH_QUALIFY,4src,250,0,250,131-118-1,131,118,1,0.5261044176706827,0.011000105045101169,0.892,0.5,0.568,0.568,0.6926829268292682,,13.218609999999998,16.704266207319616,-1.49379,6.316949999999999,5.9075
MON_3PM_ET,4.5,BOTH_QUALIFY,5src,250,0,250,131-118-1,131,118,1,0.5261044176706827,0.011000105045101193,0.892,0.5,0.568,0.568,0.6926829268292682,,13.218609999999998,16.704266207319616,-1.49379,6.138152,5.497
MON_3PM_ET,4.5,UNION,4src,381,0,381,198-180-3,198,180,3,0.5238095238095238,0.006555619979694447,0.8044619422572179,0.5,0.5590551181102362,0.5590551181102362,0.684887459807074,,13.246371391076115,16.557165809671357,-0.7447047244094487,5.722814960629921,5.2475
MON_3PM_ET,4.5,UNION,5src,381,0,381,198-180-3,198,180,3,0.5238095238095238,0.006555619979694465,0.8044619422572179,0.5,0.5590551181102362,0.5590551181102362,0.684887459807074,,13.246371391076115,16.557165809671357,-0.7447047244094487,5.534939632545932,5.084
MON_3PM_ET,5.0,FOUR_SOURCE_SELECTED,4src,230,0,230,123-106-1,123,106,1,0.537117903930131,0.03052225517918698,0.9826086956521739,0.5,0.5652173913043478,0.5652173913043478,0.6842105263157895,,12.91504347826087,16.526302735928727,-1.959282608695652,6.521195652173913,6.0287500000000005
MON_3PM_ET,5.0,FOUR_SOURCE_SELECTED,5src,230,0,230,123-106-1,123,106,1,0.537117903930131,0.030522255179187007,0.9826086956521739,0.5,0.5652173913043478,0.5652173913043478,0.6842105263157895,,12.91504347826087,16.526302735928727,-1.959282608695652,6.139156521739132,5.564
MON_3PM_ET,5.0,FIVE_SOURCE_SELECTED,4src,208,0,208,106-102-0,106,102,0,0.5096153846153846,-0.018928696630183765,0.90625,0.5,0.5528846153846154,0.5528846153846154,0.672514619883041,,13.218497596153847,16.47328691429908,-0.9551081730769229,6.456213942307692,6.1375
MON_3PM_ET,5.0,FIVE_SOURCE_SELECTED,5src,208,0,208,106-102-0,106,102,0,0.5096153846153846,-0.01892869663018374,0.90625,0.5,0.5528846153846154,0.5528846153846154,0.672514619883041,,13.218497596153847,16.47328691429908,-0.9551081730769229,6.477182692307693,5.8629999999999995
MON_3PM_ET,5.0,BOTH_QUALIFY,4src,171,0,171,88-83-0,88,83,0,0.5146198830409356,-0.011588218783543588,1.0730994152046784,0.5,0.5789473684210527,0.5789473684210527,0.6923076923076923,,12.710614035087715,16.23101687424204,-0.7310233918128651,6.894619883040936,6.3375
MON_3PM_ET,5.0,BOTH_QUALIFY,5src,171,0,171,88-83-0,88,83,0,0.5146198830409356,-0.011588218783543588,1.0730994152046784,0.5,0.5789473684210527,0.5789473684210527,0.6923076923076923,,12.710614035087715,16.23101687424204,-0.7310233918128651,6.7081286549707615,6.09
MON_3PM_ET,5.0,UNION,4src,267,0,267,141-125-1,141,125,1,0.5300751879699248,0.018968296644646984,0.8651685393258427,0.5,0.5468164794007491,0.5468164794007491,0.6697247706422018,,13.282368913857677,16.671853458131185,-1.9636423220973784,6.231413857677902,5.855
MON_3PM_ET,5.0,UNION,5src,267,0,267,141-125-1,141,125,1,0.5300751879699248,0.018968296644646995,0.8651685393258427,0.5,0.5468164794007491,0.5468164794007491,0.6697247706422018,,13.282368913857677,16.671853458131185,-1.9636423220973784,6.038089887640449,5.458
MON_3PM_ET,6.0,FOUR_SOURCE_SELECTED,4src,117,0,117,66-51-0,66,51,0,0.5641025641025641,0.08680056884089297,1.1623931623931625,0.5,0.5641025641025641,0.5641025641025641,0.66,,12.295662393162392,16.459218909962537,-2.2660470085470084,7.576089743589745,6.9375
MON_3PM_ET,6.0,FOUR_SOURCE_SELECTED,5src,117,0,117,66-51-0,66,51,0,0.5641025641025641,0.086800568840893,1.1623931623931625,0.5,0.5641025641025641,0.5641025641025641,0.66,,12.295662393162392,16.459218909962537,-2.2660470085470084,7.205521367521369,6.47
MON_3PM_ET,6.0,FIVE_SOURCE_SELECTED,4src,96,0,96,56-40-0,56,40,0,0.5833333333333334,0.12372253358258532,1.40625,0.5,0.6145833333333334,0.6145833333333334,0.7023809523809523,,12.589401041666667,16.1171112304303,-2.223880208333333,7.649661458333334,7.11875
MON_3PM_ET,6.0,FIVE_SOURCE_SELECTED,5src,96,0,96,56-40-0,56,40,0,0.5833333333333334,0.12372253358258534,1.40625,0.5,0.6145833333333334,0.6145833333333334,0.7023809523809523,,12.589401041666667,16.1171112304303,-2.223880208333333,7.761854166666667,6.968999999999999
MON_3PM_ET,6.0,BOTH_QUALIFY,4src,82,0,82,47-35-0,47,35,0,0.573170731707317,0.10488134571962474,1.5060975609756098,0.5,0.6219512195121951,0.6219512195121951,0.6986301369863014,,12.474786585365853,16.32898451028707,-1.2225304878048777,8.064969512195121,7.25375
MON_3PM_ET,6.0,BOTH_QUALIFY,5src,82,0,82,47-35-0,47,35,0,0.573170731707317,0.10488134571962478,1.5060975609756098,0.5,0.6219512195121951,0.6219512195121951,0.6986301369863014,,12.474786585365853,16.32898451028707,-1.2225304878048777,7.972658536585367,7.084
MON_3PM_ET,6.0,UNION,4src,131,0,131,75-56-0,75,56,0,0.5725190839694656,0.10254014831529344,1.1259541984732824,0.5,0.5648854961832062,0.5648854961832062,0.6666666666666666,,12.398797709923663,16.29146286437932,-2.888339694656488,7.323988549618321,6.7275
MON_3PM_ET,6.0,UNION,5src,131,0,131,75-56-0,75,56,0,0.5725190839694656,0.10254014831529347,1.1259541984732824,0.5,0.5648854961832062,0.5648854961832062,0.6666666666666666,,12.398797709923663,16.29146286437932,-2.888339694656488,7.133022900763359,6.458
MON_3PM_ET,7.0,FOUR_SOURCE_SELECTED,4src,56,0,56,30-26-0,30,26,0,0.5357142857142857,0.033584093135433424,1.9553571428571428,1.0,0.6607142857142857,0.6607142857142857,0.74,,12.909017857142857,17.1879510590164,-1.8904464285714284,8.828482142857142,7.57
MON_3PM_ET,7.0,FOUR_SOURCE_SELECTED,5src,56,0,56,30-26-0,30,26,0,0.5357142857142857,0.033584093135433424,1.9553571428571428,1.0,0.6607142857142857,0.6607142857142857,0.74,,12.909017857142857,17.1879510590164,-1.8904464285714284,8.659642857142858,7.833
