model_id,threshold,checkpoint,n,record,wins,losses,pushes,win_pct,roi,avg_clv,median_clv,positive_clv_pct,beat_close_pct,won_line_move_pct,clv_implied_ev,mae,rmse,bias,avg_edge,median_edge
spread_4src_25_25_25_25_v1,0.5,CLOSE,1,0-1-0,0,1,0,0.0,-1.0,0.0,0.0,0.0,0.0,,,7.2625,7.2625,-7.2625,4.2625,4.2625
spread_4src_25_25_25_25_v1,0.5,FRI_2PM_ET,5,3-2-0,3,2,0,0.6,0.1458458889367197,-0.2,0.0,0.2,0.2,0.3333333333333333,,7.4875,8.974557440342114,2.7734999999999994,0.7264999999999999,0.6325
spread_4src_25_25_25_25_v1,0.5,MON_3PM_ET,23,13-10-0,13,10,0,0.5652173913043478,0.0738683352775213,0.6086956521739131,0.5,0.6521739130434783,0.6521739130434783,0.75,,12.489782608695657,13.703407165182776,-1.1504347826086954,1.1991304347826086,0.8825
spread_4src_25_25_25_25_v1,0.5,MON_9AM_ET,33,16-17-0,16,17,0,0.48484848484848486,-0.07068760047670171,-0.21212121212121213,0.0,0.3333333333333333,0.3333333333333333,0.4782608695652174,,9.583636363636364,12.640255574348506,-0.49696969696969706,0.8459090909090908,0.74
spread_4src_25_25_25_25_v1,0.5,SAT_11PM_ET,378,197-177-4,197,177,4,0.5267379679144385,0.0044263360525064535,0.8849206349206349,0.5,0.5846560846560847,0.5846560846560847,0.7106109324758842,,11.61598544973545,14.609501046127447,-0.7477579365079365,2.6043055555555554,2.2162499999999996
spread_4src_25_25_25_25_v1,0.5,SUN_12PM_ET,169,101-65-3,101,65,3,0.608433734939759,0.20584069499552457,2.7041420118343193,1.5,0.6804733727810651,0.6804733727810651,0.756578947368421,,13.238180473372779,16.75364010941146,-0.3792751479289939,4.143683431952663,2.85
spread_4src_25_25_25_25_v1,0.5,SUN_2PM_ET,674,338-325-11,338,325,11,0.5098039215686274,-0.026179579460589956,0.8026706231454006,0.5,0.5652818991097923,0.5652818991097923,0.656896551724138,,12.442577893175075,15.866358327785319,-1.1319695845697328,2.4845956973293766,2.1412500000000003
spread_4src_25_25_25_25_v1,0.5,SUN_4PM_ET,1176,579-580-17,579,580,17,0.4995685936151855,-0.045648854862453486,0.8031462585034014,0.5,0.6062925170068028,0.6062925170068028,0.7017716535433071,,12.59484056122449,15.737480208641708,1.0409204931972789,2.5340795068027213,2.0925000000000002
spread_4src_25_25_25_25_v1,0.5,SUN_9AM_ET,704,372-329-3,372,329,3,0.5306704707560628,0.011319257872191549,0.7315340909090909,1.0,0.5596590909090909,0.5596590909090909,0.68760907504363,,11.99979758522727,15.190963874712713,-0.05312855113636372,2.436118607954546,2.0962500000000004
spread_4src_25_25_25_25_v1,0.5,SUN_9PM_ET,270,134-132-4,134,132,4,0.5037593984962406,-0.03858231658092778,0.40185185185185185,0.5,0.5407407407407407,0.5407407407407407,0.6517857142857143,,12.453444444444441,15.25659264298795,-0.13483333333333367,2.0928518518518517,1.6975
