model_id,threshold,season,n,record,wins,losses,pushes,win_pct,roi,avg_clv,median_clv,positive_clv_pct,beat_close_pct,won_line_move_pct,clv_implied_ev,mae,rmse,bias,avg_edge,median_edge
total_sp50_massey50_v1,0.5,2021,696,364-328-4,364,328,4,0.5260115606936416,0.0041797283176593595,0.19899425287356323,0.0,0.40804597701149425,0.40804597701149425,0.5737373737373738,,12.73010057471264,16.43047039495295,0.19324712643678177,3.4704741379310344,2.8500000000000014
total_sp50_massey50_v1,0.5,2022,704,364-337-3,364,337,3,0.5192582025677603,-0.008651859504132227,0.3700284090909091,0.0,0.4616477272727273,0.4616477272727273,0.5546075085324232,,12.732137784090908,16.003196008700815,0.7071377840909091,3.5415838068181813,2.924999999999997
total_sp50_massey50_v1,0.5,2023,724,369-351-4,369,351,4,0.5125,-0.02147162230035158,0.0856353591160221,0.0,0.4419889502762431,0.4419889502762431,0.5387205387205387,,13.061671270718232,16.199904668142526,-0.13674033149171264,3.3937845303867396,2.875
total_sp50_massey50_v1,0.5,2024,707,373-332-2,373,332,2,0.5290780141843971,0.01002957438601003,0.3055162659123055,0.0,0.4582743988684583,0.4582743988684583,0.5586206896551724,,12.855304101838756,16.325129285278162,0.14596888260254567,3.0785714285714287,2.575000000000003
total_sp50_massey50_v1,0.5,2025,710,370-340-0,370,340,0,0.5211267605633803,-0.005121638924455816,0.48098591549295777,0.0,0.4422535211267606,0.4422535211267606,0.591337099811676,,12.660035211267605,15.607921060280376,1.2797535211267603,3.002922535211267,2.6000000000000014
total_sp50_massey50_v1,1.0,2021,648,334-310-4,334,310,4,0.5186335403726708,-0.009820426487093144,0.2037037037037037,0.0,0.39969135802469136,0.39969135802469136,0.5846501128668171,,12.728510802469136,16.38442373848662,0.03915895061728378,3.7645447530864202,3.125
total_sp50_massey50_v1,1.0,2022,674,350-321-3,350,321,3,0.5216095380029806,-0.004181278661990823,0.3991097922848665,0.0,0.4317507418397626,0.4317507418397626,0.5596153846153846,,12.741060830860535,16.03262452460246,0.7546364985163204,3.828820474777448,3.200000000000003
total_sp50_massey50_v1,1.0,2023,695,349-341-5,349,341,5,0.5057971014492754,-0.03413996075866579,0.12158273381294964,0.0,0.437410071942446,0.437410071942446,0.5487364620938628,,13.115143884892088,16.310644695893643,-0.04305755395683414,3.6156474820143885,3.0249999999999986
total_sp50_massey50_v1,1.0,2024,688,370-315-3,370,315,3,0.5401459854014599,0.031051797040169134,0.32703488372093026,0.0,0.4476744186046512,0.4476744186046512,0.5620437956204379,,12.85090843023256,16.295032442550678,0.3019258720930232,3.2552688953488373,2.7375000000000007
total_sp50_massey50_v1,1.0,2025,682,359-323-0,359,323,0,0.5263929618768328,0.004932018128499077,0.45161290322580644,0.0,0.4281524926686217,0.4281524926686217,0.6008230452674898,,12.721700879765397,15.673407185907259,1.3861436950146626,3.2432551319648093,2.8125
