case,role,seasons_available,positive_ats_margin_seasons,positive_clv_seasons,ats_above_52_4_seasons
def_vs_off_gap,Favorite,2,0,1,0
def_vs_off_gap,Underdog,2,0,1,0
off_vs_def_gap,Favorite,3,3,2,3
off_vs_def_gap,Underdog,2,0,2,0
overall_gap,Favorite,3,1,2,1
overall_gap,Underdog,2,0,1,0
