case,role,matchup_class,games,ats_w,ats_l,ats_p,ats_pct,avg_ats_margin,clv_games,avg_clv,median_clv,positive_clv_pct,seasons
def_vs_off_gap,Favorite,Independent FBS vs Unknown,3.0,1.0,2.0,0.0,0.3333333333333333,-4.972222222222221,2.0,-0.75,-0.75,0.5,2.0
def_vs_off_gap,Favorite,Unknown vs Independent FBS,1.0,0.0,1.0,0.0,0.0,-0.1666666666666665,0.0,,,,1.0
def_vs_off_gap,Favorite,Unknown vs Unknown,140.0,67.0,73.0,0.0,0.4785714285714286,-2.22,83.0,0.0783132530120482,0.0,0.37349397590361444,3.0
def_vs_off_gap,Underdog,Independent FBS vs Unknown,2.0,1.0,1.0,0.0,0.5,-11.75,0.0,,,,2.0
def_vs_off_gap,Underdog,Unknown vs Independent FBS,2.0,2.0,0.0,0.0,1.0,9.291666666666666,1.0,0.0,0.0,0.0,2.0
def_vs_off_gap,Underdog,Unknown vs Unknown,89.0,38.0,50.0,1.0,0.4318181818181818,-1.4138576779026217,53.0,-0.03773584905660377,0.0,0.4528301886792453,3.0
off_vs_def_gap,Favorite,Independent FBS vs Unknown,2.0,2.0,0.0,0.0,1.0,25.916666666666668,2.0,-2.75,-2.75,0.0,2.0
off_vs_def_gap,Favorite,Unknown vs Independent FBS,2.0,1.0,1.0,0.0,0.5,-0.41666666666666696,0.0,,,,2.0
off_vs_def_gap,Favorite,Unknown vs Unknown,179.0,100.0,78.0,1.0,0.5617977528089888,1.068994413407821,104.0,0.16346153846153846,0.0,0.4326923076923077,3.0
off_vs_def_gap,Underdog,Independent FBS vs Unknown,1.0,0.0,1.0,0.0,0.0,-11.833333333333332,0.0,,,,1.0
off_vs_def_gap,Underdog,Unknown vs Independent FBS,2.0,2.0,0.0,0.0,1.0,6.999999999999999,2.0,0.0,0.0,0.5,2.0
off_vs_def_gap,Underdog,Unknown vs Unknown,108.0,52.0,55.0,1.0,0.48598130841121495,-0.389351851851852,52.0,0.34615384615384615,0.0,0.4423076923076923,3.0
overall_gap,Favorite,Independent FBS vs Unknown,1.0,1.0,0.0,0.0,1.0,1.5,1.0,-2.0,-2.0,0.0,1.0
overall_gap,Favorite,Unknown vs Independent FBS,1.0,0.0,1.0,0.0,0.0,-12.666666666666666,0.0,,,,1.0
overall_gap,Favorite,Unknown vs Unknown,149.0,74.0,74.0,1.0,0.5,-0.5601230425055927,93.0,0.3602150537634409,0.0,0.44086021505376344,3.0
overall_gap,Underdog,Independent FBS vs Unknown,1.0,0.0,1.0,0.0,0.0,-23.666666666666668,0.0,,,,1.0
overall_gap,Underdog,Unknown vs Independent FBS,3.0,3.0,0.0,0.0,1.0,7.277777777777778,3.0,0.0,0.0,0.3333333333333333,2.0
overall_gap,Underdog,Unknown vs Unknown,73.0,38.0,34.0,1.0,0.5277777777777778,-0.4382420091324201,41.0,0.04878048780487805,0.0,0.4634146341463415,3.0
