case,threshold,role,spread_bucket,season,games,ats_graded,ats_w,ats_l,ats_p,ats_pct,avg_ats_margin,clv_games,avg_clv,median_clv,positive_clv_games,positive_clv_pct,zero_clv_games,negative_clv_games,avg_opening_spread,avg_closing_spread
def_vs_off_gap,gap_10+,Underdog,unknown,2024,1.0,1.0,0.0,1.0,0.0,0.0,-1.6666666666666667,0.0,,,0.0,,0.0,0.0,,1.5
off_vs_def_gap,gap_10+,Favorite,favorite_15_to_21,2023,9.0,9.0,5.0,4.0,0.0,0.5555555555555556,-0.9861111111111112,1.0,0.5,0.5,1.0,1.0,0.0,0.0,-16.0,-17.38888888888889
off_vs_def_gap,gap_10+,Favorite,favorite_15_to_21,2024,16.0,16.0,10.0,6.0,0.0,0.625,3.21875,14.0,-0.5714285714285714,-0.25,4.0,0.2857142857142857,3.0,7.0,-17.321428571428573,-17.09375
off_vs_def_gap,gap_10+,Favorite,favorite_15_to_21,2025,11.0,11.0,4.0,7.0,0.0,0.36363636363636365,-7.431818181818181,11.0,1.3636363636363635,1.0,8.0,0.7272727272727273,2.0,1.0,-16.40909090909091,-17.772727272727273
off_vs_def_gap,gap_10+,Favorite,favorite_1_to_7,2023,21.0,21.0,12.0,8.0,1.0,0.6,2.8793650793650793,0.0,,,0.0,,0.0,0.0,,-4.119047619047619
off_vs_def_gap,gap_10+,Favorite,favorite_1_to_7,2024,17.0,17.0,8.0,9.0,0.0,0.47058823529411764,-0.4362745098039215,13.0,-0.5,0.0,3.0,0.23076923076923078,5.0,5.0,-3.5384615384615383,-2.8823529411764706
off_vs_def_gap,gap_10+,Favorite,favorite_1_to_7,2025,21.0,21.0,14.0,7.0,0.0,0.6666666666666666,6.428571428571427,21.0,0.30952380952380953,0.0,10.0,0.47619047619047616,5.0,6.0,-4.714285714285714,-5.023809523809524
off_vs_def_gap,gap_10+,Favorite,favorite_22plus,2023,23.0,23.0,13.0,10.0,0.0,0.5652173913043478,2.4644927536231878,0.0,,,0.0,,0.0,0.0,,-31.369565217391305
off_vs_def_gap,gap_10+,Favorite,favorite_22plus,2024,13.0,13.0,6.0,7.0,0.0,0.46153846153846156,-4.602564102564102,11.0,-0.3181818181818182,0.0,4.0,0.36363636363636365,3.0,4.0,-30.09090909090909,-29.307692307692307
off_vs_def_gap,gap_10+,Favorite,favorite_22plus,2025,16.0,16.0,6.0,10.0,0.0,0.375,-2.083333333333333,16.0,0.53125,0.0,7.0,0.4375,4.0,5.0,-28.0,-28.53125
off_vs_def_gap,gap_10+,Favorite,favorite_8_to_14,2023,14.0,14.0,11.0,3.0,0.0,0.7857142857142857,4.8744047619047635,0.0,,,0.0,,0.0,0.0,,-11.178571428571429
off_vs_def_gap,gap_10+,Favorite,favorite_8_to_14,2024,9.0,9.0,5.0,4.0,0.0,0.5555555555555556,3.518518518518519,6.0,-1.1666666666666667,-0.75,0.0,0.0,2.0,4.0,-9.916666666666666,-9.333333333333334
off_vs_def_gap,gap_10+,Favorite,favorite_8_to_14,2025,12.0,12.0,8.0,4.0,0.0,0.6666666666666666,2.4583333333333335,12.0,0.375,1.0,7.0,0.5833333333333334,0.0,5.0,-10.708333333333334,-11.083333333333334
off_vs_def_gap,gap_10+,Favorite,unknown,2024,1.0,1.0,1.0,0.0,0.0,1.0,0.5,1.0,1.5,1.5,1.0,1.0,0.0,0.0,2.5,1.0
off_vs_def_gap,gap_10+,Underdog,underdog_15_to_21,2023,2.0,2.0,0.0,2.0,0.0,0.0,-3.3125,0.0,,,0.0,,0.0,0.0,,19.5
off_vs_def_gap,gap_10+,Underdog,underdog_15_to_21,2024,4.0,4.0,2.0,2.0,0.0,0.5,1.2916666666666652,4.0,-0.375,1.0,2.0,0.5,1.0,1.0,15.125,15.5
off_vs_def_gap,gap_10+,Underdog,underdog_15_to_21,2025,2.0,2.0,2.0,0.0,0.0,1.0,16.958333333333332,2.0,-0.5,-0.5,0.0,0.0,1.0,1.0,14.5,15.0
off_vs_def_gap,gap_10+,Underdog,underdog_1_to_7,2023,21.0,21.0,15.0,6.0,0.0,0.7142857142857143,4.574603174603174,0.0,,,0.0,,0.0,0.0,,4.428571428571429
off_vs_def_gap,gap_10+,Underdog,underdog_1_to_7,2024,15.0,15.0,5.0,10.0,0.0,0.3333333333333333,-5.166666666666666,11.0,0.9090909090909091,0.0,5.0,0.45454545454545453,3.0,3.0,4.2727272727272725,3.3
off_vs_def_gap,gap_10+,Underdog,underdog_1_to_7,2025,15.0,15.0,6.0,9.0,0.0,0.4,-2.8111111111111113,14.0,0.4642857142857143,0.0,6.0,0.42857142857142855,3.0,5.0,4.857142857142857,4.4
off_vs_def_gap,gap_10+,Underdog,underdog_22plus,2023,6.0,6.0,2.0,4.0,0.0,0.3333333333333333,-2.201388888888889,0.0,,,0.0,,0.0,0.0,,28.416666666666668
off_vs_def_gap,gap_10+,Underdog,underdog_22plus,2024,7.0,7.0,4.0,3.0,0.0,0.5714285714285714,-4.547619047619047,5.0,0.4,0.5,3.0,0.6,1.0,1.0,28.6,29.571428571428573
off_vs_def_gap,gap_10+,Underdog,underdog_22plus,2025,4.0,4.0,2.0,1.0,1.0,0.6666666666666666,5.666666666666667,4.0,-2.25,-2.5,0.0,0.0,1.0,3.0,29.75,32.0
off_vs_def_gap,gap_10+,Underdog,underdog_8_to_14,2023,16.0,16.0,8.0,8.0,0.0,0.5,0.4406249999999998,0.0,,,0.0,,0.0,0.0,,10.84375
off_vs_def_gap,gap_10+,Underdog,underdog_8_to_14,2024,7.0,7.0,3.0,4.0,0.0,0.42857142857142855,0.21428571428571427,3.0,-0.6666666666666666,-0.5,0.0,0.0,1.0,2.0,10.166666666666666,9.785714285714286
off_vs_def_gap,gap_10+,Underdog,underdog_8_to_14,2025,10.0,10.0,5.0,5.0,0.0,0.5,-1.9583333333333335,10.0,1.25,1.5,7.0,0.7,1.0,2.0,11.15,9.9
off_vs_def_gap,gap_10+,Underdog,unknown,2024,1.0,1.0,0.0,1.0,0.0,0.0,-1.6666666666666667,0.0,,,0.0,,0.0,0.0,,1.5
off_vs_def_gap,gap_10+,Underdog,unknown,2025,1.0,1.0,0.0,1.0,0.0,0.0,-13.666666666666666,1.0,0.5,0.5,1.0,1.0,0.0,0.0,1.5,1.0
overall_gap,gap_10+,Favorite,favorite_15_to_21,2023,9.0,9.0,5.0,4.0,0.0,0.5555555555555556,-1.1990740740740742,1.0,0.5,0.5,1.0,1.0,0.0,0.0,-16.0,-17.333333333333332
overall_gap,gap_10+,Favorite,favorite_15_to_21,2024,14.0,14.0,9.0,5.0,0.0,0.6428571428571429,2.8809523809523805,12.0,0.0,0.0,4.0,0.3333333333333333,4.0,4.0,-17.583333333333332,-17.857142857142858
overall_gap,gap_10+,Favorite,favorite_15_to_21,2025,10.0,10.0,3.0,7.0,0.0,0.3,-10.091666666666667,10.0,1.0,0.75,7.0,0.7,2.0,1.0,-17.0,-18.0
overall_gap,gap_10+,Favorite,favorite_1_to_7,2023,16.0,16.0,10.0,5.0,1.0,0.6666666666666666,1.5270833333333331,0.0,,,0.0,,0.0,0.0,,-4.6875
overall_gap,gap_10+,Favorite,favorite_1_to_7,2024,15.0,15.0,4.0,11.0,0.0,0.26666666666666666,-3.861111111111111,12.0,0.125,0.0,3.0,0.25,4.0,5.0,-2.5833333333333335,-2.6333333333333333
overall_gap,gap_10+,Favorite,favorite_1_to_7,2025,16.0,16.0,8.0,8.0,0.0,0.5,2.4374999999999996,16.0,0.0625,0.0,7.0,0.4375,4.0,5.0,-5.09375,-5.15625
overall_gap,gap_10+,Favorite,favorite_22plus,2023,19.0,19.0,11.0,8.0,0.0,0.5789473684210527,3.53421052631579,0.0,,,0.0,,0.0,0.0,,-32.28947368421053
overall_gap,gap_10+,Favorite,favorite_22plus,2024,13.0,13.0,7.0,6.0,0.0,0.5384615384615384,-3.2435897435897445,12.0,-0.16666666666666666,0.0,5.0,0.4166666666666667,3.0,4.0,-29.5,-29.307692307692307
overall_gap,gap_10+,Favorite,favorite_22plus,2025,16.0,16.0,6.0,10.0,0.0,0.375,-0.5208333333333333,16.0,0.46875,0.0,6.0,0.375,4.0,6.0,-29.59375,-30.0625
overall_gap,gap_10+,Favorite,favorite_8_to_14,2023,7.0,7.0,3.0,4.0,0.0,0.42857142857142855,-3.1666666666666674,0.0,,,0.0,,0.0,0.0,,-10.214285714285714
