season,week,date,game_id,team,opponent,side,role,spread,spread_bucket,ats_margin,ats_result,team_overall,team_offense,team_defense,opp_overall,opp_offense,opp_defense,overall_gap,off_vs_def_gap,def_vs_off_gap,team_overall_pct,opp_overall_pct,team_offense_pct,opp_offense_pct,team_defense_pct,opp_defense_pct,case,threshold,game_id_key,market_opening_home_spread,market_closing_home_spread,market_season,market_week,market_home_team,market_home_key,market_away_team,market_away_key,team_key,opponent_key,team_is_home_market,team_is_away_market,market_team_identity_valid,team_opening_spread,team_closing_spread,team_clv,market_joined
2023,1,2023-09-01T00:00:00.000Z,401520176,Utah,Florida,home,Favorite,-6.3,favorite_1_to_7,6.7,W,76.0,83.0,69.0,54.0,55.0,53.0,22.0,30.0,14.0,0.8959731543624161,0.1845637583892617,0.9563758389261744,0.1996644295302013,0.674496644295302,0.285234899328859,overall_high_low,top25_bottom25,401520176,,-5.5,2023,1,Utah,utah,Florida,florida,utah,florida,True,False,True,,-5.5,,False
2023,1,2023-09-02T16:00:00.000Z,401520172,Louisiana Tech,SMU,away,Underdog,20.125,underdog_15_to_21,-3.875,L,72.0,62.0,81.0,52.0,56.0,48.0,20.0,14.0,25.0,0.8036912751677853,0.1275167785234899,0.3674496644295302,0.2197986577181208,0.959731543624161,0.1442953020134228,overall_high_low,top25_bottom25,401520172,,-21.0,2023,1,SMU,smu,Louisiana Tech,louisiana tech,louisiana tech,smu,False,True,True,,21.0,,False
2023,1,2023-09-02T16:00:00.000Z,401520162,Michigan,East Carolina,home,Favorite,-35.4,favorite_22plus,-8.399999999999999,L,81.0,84.0,78.0,34.0,30.0,39.0,47.0,45.0,48.0,0.964765100671141,0.0050335570469798,0.9681208053691276,0.0050335570469798,0.8993288590604027,0.0520134228187919,overall_high_low,top25_bottom25,401520162,,-36.0,2023,1,Michigan,michigan,East Carolina,east carolina,michigan,east carolina,True,False,True,,-36.0,,False
2023,1,2023-09-02T19:30:00.000Z,401520180,Wisconsin,Buffalo,home,Favorite,-27.0,favorite_22plus,-6.0,L,72.0,75.0,68.0,53.0,57.0,49.0,19.0,26.0,11.0,0.8036912751677853,0.1677852348993288,0.7533557046979866,0.25,0.6442953020134228,0.1912751677852349,overall_high_low,top25_bottom25,401520180,,-29.0,2023,1,Wisconsin,wisconsin,Buffalo,buffalo,wisconsin,buffalo,True,False,True,,-29.0,,False
2023,1,2023-09-02T22:30:00.000Z,401523996,USC,Nevada,home,Favorite,-37.875,favorite_22plus,14.125,W,76.0,75.0,78.0,53.0,53.0,54.0,23.0,21.0,25.0,0.8959731543624161,0.1677852348993288,0.7533557046979866,0.1761744966442953,0.8993288590604027,0.3070469798657718,overall_high_low,top25_bottom25,401523996,,-37.5,2023,1,USC,usc,Nevada,nevada,usc,nevada,True,False,True,,-37.5,,False
2023,1,2023-09-03T16:00:00.000Z,401520171,Rutgers,Northwestern,home,Favorite,-6.1,favorite_1_to_7,10.9,W,73.0,73.0,72.0,56.0,46.0,66.0,17.0,7.0,26.0,0.8389261744966443,0.2432885906040268,0.6963087248322147,0.1124161073825503,0.7449664429530202,0.5906040268456376,overall_high_low,top25_bottom25,401520171,,-5.0,2023,1,Rutgers,rutgers,Northwestern,northwestern,rutgers,northwestern,True,False,True,,-5.0,,False
2023,2,2023-09-09T16:00:00.000Z,401523999,Utah,Baylor,away,Favorite,-7.0,favorite_1_to_7,0.0,P,76.0,83.0,69.0,55.0,60.0,51.0,21.0,32.0,9.0,0.8959731543624161,0.2063758389261745,0.9563758389261744,0.3120805369127516,0.674496644295302,0.2483221476510067,overall_high_low,top25_bottom25,401523999,,7.0,2023,2,Baylor,baylor,Utah,utah,utah,baylor,False,True,True,,-7.0,,False
2023,2,2023-09-09T19:30:00.000Z,401525497,Syracuse,Western Michigan,home,Favorite,-24.666666666666668,favorite_22plus,16.333333333333332,W,73.0,73.0,72.0,49.0,67.0,31.0,24.0,42.0,5.0,0.8389261744966443,0.0738255033557047,0.6963087248322147,0.5134228187919463,0.7449664429530202,0.0134228187919463,overall_high_low,top25_bottom25,401525497,,-24.5,2023,2,Syracuse,syracuse,Western Michigan,western michigan,syracuse,western michigan,True,False,True,,-24.5,,False
2023,2,2023-09-09T21:00:00.000Z,401524004,Washington,Tulsa,home,Favorite,-33.666666666666664,favorite_22plus,-0.6666666666666643,L,73.0,74.0,73.0,40.0,41.0,38.0,33.0,36.0,32.0,0.8389261744966443,0.035234899328859,0.7348993288590604,0.0553691275167785,0.7751677852348994,0.0385906040268456,overall_high_low,top25_bottom25,401524004,,-34.0,2023,2,Washington,washington,Tulsa,tulsa,washington,tulsa,True,False,True,,-34.0,,False
2023,2,2023-09-09T23:00:00.000Z,401520183,Texas,Alabama,away,Underdog,7.166666666666667,underdog_1_to_7,17.166666666666668,W,74.0,85.0,63.0,40.0,43.0,38.0,34.0,47.0,20.0,0.8708053691275168,0.035234899328859,0.981543624161074,0.0755033557046979,0.4731543624161073,0.0385906040268456,overall_high_low,top25_bottom25,401520183,,-7.0,2023,2,Alabama,alabama,Texas,texas,texas,alabama,False,True,True,,7.0,,False
