case,threshold,role,games,ats_graded,ats_w,ats_l,ats_p,ats_pct,avg_ats_margin,clv_games,avg_clv,median_clv,positive_clv_games,positive_clv_pct,zero_clv_games,negative_clv_games,avg_opening_spread,avg_closing_spread
def_vs_off_gap,gap_10+,Favorite,144.0,144.0,68.0,76.0,0.0,0.4722222222222222,-2.2630787037037035,85.0,0.058823529411764705,0.0,32.0,0.3764705882352941,19.0,34.0,-15.494117647058824,-16.770833333333332
def_vs_off_gap,gap_10+,Underdog,93.0,93.0,41.0,51.0,1.0,0.44565217391304346,-1.4059139784946237,54.0,-0.037037037037037035,0.0,24.0,0.4444444444444444,11.0,19.0,11.166666666666666,12.172043010752688
off_vs_def_gap,gap_10+,Favorite,183.0,183.0,103.0,79.0,1.0,0.5659340659340659,1.3243169398907104,106.0,0.10849056603773585,0.0,45.0,0.42452830188679247,24.0,37.0,-14.608490566037736,-15.289617486338798
off_vs_def_gap,gap_10+,Underdog,111.0,111.0,54.0,56.0,1.0,0.4909090909090909,-0.3593093093093093,54.0,0.3333333333333333,0.0,24.0,0.4444444444444444,12.0,18.0,11.296296296296296,10.707207207207206
overall_gap,gap_10+,Favorite,151.0,151.0,75.0,75.0,1.0,0.5,-0.6266556291390728,94.0,0.3351063829787234,0.0,41.0,0.43617021276595747,24.0,29.0,-15.941489361702128,-16.67549668874172
overall_gap,gap_10+,Underdog,77.0,77.0,41.0,35.0,1.0,0.5394736842105263,-0.4392857142857141,44.0,0.045454545454545456,0.0,20.0,0.45454545454545453,9.0,15.0,11.761363636363637,11.181818181818182
